dataset,algorithm,ensemble_size,cores,batch_size,inc_rate,instances,time,delay,out_rate,acc
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,500,4712,11500.0,27.18600082397461,697.0,423.0118408203125,75.20909090909092
elecNormNew,OzaBagExecutorMAXChunk,25,4,2000,4042,18000.0,42.10200119018555,2599.0,427.5331115722656,75.84375
airlines,OzaBagASHTExecutorMAXChunk,25,4,2000,4989,68000.0,738.0,20312.0,92.14092254638672,64.69242424242424
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,500,3368,100000.0,600.0009765625,1671.0,166.66639709472656,68.6110552763819
GMSC,OzaBagExecutorMAXChunk,25,4,500,8499,26000.0,34.25600051879883,411.0,758.9910888671875,93.28627450980392
covtypeNorm,LBagExecutorMAXChunk,25,4,2000,702,76000.0,599.4210205078125,10041.0,126.78901672363281,89.45
GMSC,LBagExecutorMAXChunk,25,4,50,2037,138450.0,383.2950134277344,91.0,361.21002197265625,93.42052023121387
airlines,OzaBagASHTExecutorMAXChunk,25,4,25,2735,368075.0,600.0079956054688,35.0,613.4501342773438,62.59964678712131
airlines,LBagExecutorMAXChunk,25,4,50,214
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,2000,3314,80000.0,482.45599365234375,6568.0,165.8182373046875,71.03076923076924
GMSC,OzaBagExecutorMAXChunk,25,4,50,6990,40250.0,48.301998138427734,37.0,833.2988891601562,93.33084577114428
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,25,2142,45300.0,216.14300537109375,66.0,209.58346557617188,83.80563224737713
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,50,1012,133450.0,600.0159912109375,147.0,222.41073608398438,89.45802098950524
GMSC,OzaBagASHTExecutorMAXChunk,25,4,2000,8906,68000.0,116.53800201416016,2081.0,583.5006713867188,93.25454545454545
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,25,213,28450.0,600.0640258789062,420.0,47.41160583496094,66.6103781882146
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,50,489,45300.0,371.4549865722656,262.0,121.95286560058594,89.52486187845304
GMSC,LBagExecutorMAXChunk,25,4,25,1861,150000.0,525.4140014648438,49.0,285.4891662597656,93.32822137022838
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,875,40000.0,109.71900177001953,4175.0,364.5676574707031,88.67105263157895
GMSC,OzaBagExecutorMAXChunk,25,4,25,6653,70775.0,45.38600158691406,11.0,1559.4014892578125,93.60424028268551
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,50,1699,149500.0,532.89599609375,106.0,280.54254150390625,93.53830712612914
airlines,OzaBagExecutorMAXChunk,25,4,50,5027,277550.0,451.9729919433594,58.0,614.0853881835938,60.74234234234234
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,25,844,85450.0,599.280029296875,101.0,142.5877685546875,89.513608428446
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,50,2708,132050.0,600.0059814453125,132.0,220.08114624023438,73.45151515151515
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,1801,142000.0,266.94000244140625,2784.0,531.9547119140625,93.55499999999999
covtypeNorm,OzaBagExecutorMAXChunk,25,4,500,3708,98500.0,600.0770263671875,1697.0,164.14559936523438,70.39285714285714
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,2000,2528,34000.0,77.0530014038086,2905.0,441.25469970703125,80.115625
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,50,4141,19650.0,45.2400016784668,66.0,434.3501281738281,71.85204081632654
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,25,1574,150000.0,290.385986328125,31.0,516.5538330078125,93.53358893148858
GMSC,OzaBagASHTExecutorMAXChunk,25,4,25,6863,85650.0,56.27199935913086,11.0,1522.0714111328125,93.36525547445255
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,519,44000.0,263.3909912109375,8719.0,167.05203247070312,89.3452380952381
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,50,996,83700.0,600.030029296875,217.0,139.49301147460938,86.50567842199641
airlines,OzaBagASHTExecutorMAXChunk,25,4,50,3799,95750.0,600.676025390625,264.0,159.4037322998047,64.06583072100314
airlines,OzaBagAdwinExecutorMAXChunk,25,4,2000,970,94000.0,599.2979736328125,10161.0,156.85018920898438,65.64021739130435
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,500,2794,28000.0,65.65699768066406,763.0,426.458740234375,80.80727272727273
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,50,2523,36800.0,170.28799438476562,130.0,216.1044921875,84.31836734693877
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,25,3926,26125.0,75.97000122070312,41.0,343.8857421875,79.37547892720306
airlines,OzaBagAdwinExecutorMAXChunk,25,4,500,753,34000.0,1641.68896484375,23746.0,20.710378646850586,65.29253731343285
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,500,276,27500.0,705.1630249023438,10812.0,38.99807357788086,66.73333333333333
elecNormNew,LBagExecutorMAXChunk,25,4,25,1258,45300.0,110.26300048828125,42.0,410.8359069824219,90.07399226946438
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,500,276,34000.0,600.9539794921875,5694.0,56.57670974731445,89.22089552238805
GMSC,OzaBagExecutorMAXChunk,25,4,2000,8410,48000.0,92.08899688720703,2246.0,521.2349243164062,93.18478260869566
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,1080,60000.0,600.0910034179688,11585.0,99.98483276367188,88.99310344827586
