dataset,algorithm,ensemble_size,cores,batch_size,inc_rate,instances,time,delay,out_rate,acc
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,50,251,40409.0,599.4119873046875,437.0,67.41439819335938,74.94239203151713
airlines,OzaBagExecutorMAXChunk,25,4,25,170,10880.0,599.4039916992188,753.0,18.151363372802734,63.08613542146476
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,500,1709,150000.0,326.35400390625,640.0,459.62359619140625,93.46889632107023
GMSC,OzaBagASHTExecutorMAXChunk,25,4,100,2263,150000.0,351.28399658203125,134.0,427.00494384765625,93.36557705136758
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,100,1496,45312.0,73.23200225830078,104.0,618.7459106445312,78.87728921525259
airlines,OzaBagASHTExecutorMAXChunk,25,4,25,177,23198.0,599.2839965820312,368.0,38.70952606201172,64.48884477624823
airlines,OzaBagASHTExecutorMAXChunk,25,4,2000,177,29322.0,598.2880249023438,22421.0,49.00983810424805,63.659322157967935
airlines,LBagExecutorMAXChunk,25,4,500,46,6248.0,599.2559814453125,28176.0,10.426261901855469,63.3437717466945
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,25,1208,45312.0,190.42799377441406,60.0,237.94821166992188,80.85984940490648
airlines,OzaBagExecutorMAXChunk,25,4,2000,170,23613.0,599.322998046875,30721.0,39.39945602416992,61.94420024984962
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,500,68,10136.0,599.2650146484375,19125.0,16.914052963256836,58.08426733084268
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,500,316,43171.0,599.7969970703125,4091.0,71.97602081298828,78.06707131306977
airlines,LBagExecutorMAXChunk,25,4,2000,46,5223.0,599.2349853515625,134772.0,8.716113090515137,60.65777226186783
GMSC,OzaBagExecutorMAXChunk,25,4,50,2260,150000.0,214.3800048828125,44.0,699.692138671875,93.4644881627209
elecNormNew,OzaBagExecutorMAXChunk,25,4,500,1664,45312.0,58.21500015258789,432.0,778.3560791015625,77.25386057306079
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,25,316,45312.0,566.5540161132812,174.0,79.9782485961914,81.82701437498619
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,2000,1496,45312.0,95.16699981689453,2670.0,476.1314392089844,75.66032508311784
covtypeNorm,OzaBagExecutorMAXChunk,25,4,25,288,41560.0,599.3380126953125,206.0,69.34317016601562,75.29071867100036
airlines,OzaBagAdwinExecutorMAXChunk,25,4,500,170,35500.0,604.93798828125,5606.0,58.68370056152344,64.96285714285715
GMSC,LBagExecutorMAXChunk,25,4,500,716,90065.0,599.3060302734375,1863.0,150.2821502685547,93.46173170323229
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,25,283,43706.0,599.39501953125,201.0,72.91685485839844,79.88828094594905
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,50,169,19237.0,599.6380004882812,858.0,32.08102035522461,83.33767655183198
GMSC,OzaBagASHTExecutorMAXChunk,25,4,50,2263,150000.0,309.2330017089844,60.0,485.0711364746094,93.40780260086696
covtypeNorm,LBagExecutorMAXChunk,25,4,2000,150,28915.0,599.291015625,25076.0,48.248680114746094,66.52052758684748
airlines,OzaBagASHTExecutorMAXChunk,25,4,500,177,23399.0,599.2830200195312,7592.0,39.04499053955078,64.49626621249837
airlines,OzaBagAdwinExecutorMAXChunk,25,4,50,170,25024.0,599.718994140625,678.0,41.7262077331543,67.2058941298951
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,50,1208,45312.0,77.11399841308594,58.0,587.5975952148438,79.78657593566348
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,66,8910.0,599.2689819335938,80367.0,14.868114471435547,62.21418234442836
airlines,OzaBagASHTExecutorMAXChunk,25,4,100,177,25244.0,599.52001953125,1381.0,42.107017517089844,64.79478205536113
covtypeNorm,OzaBagExecutorMAXChunk,25,4,2000,288,36507.0,599.2869873046875,19754.0,60.91739273071289,64.51734430695222
GMSC,LBagExecutorMAXChunk,25,4,25,716,135105.0,599.39599609375,61.0,225.4019012451172,93.36245188036719
GMSC,OzaBagASHTExecutorMAXChunk,25,4,2000,2263,150000.0,247.64500427246094,1969.0,605.7057495117188,93.34932432432433
covtypeNorm,LBagExecutorMAXChunk,25,4,25,150,21098.0,599.4030151367188,388.0,35.19835662841797,76.58615289707208
GMSC,OzaBagExecutorMAXChunk,25,4,25,2260,150000.0,205.59800720214844,20.0,729.5790405273438,93.48624770795132
GMSC,LBagExecutorMAXChunk,25,4,100,716,101643.0,599.3569946289062,350.0,169.5867462158203,93.44415666269462
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,50,540,62334.0,599.3930053710938,271.0,103.99520874023438,93.44936099158693
elecNormNew,LBagExecutorMAXChunk,25,4,25,524,40721.0,599.2839965820312,191.0,67.94941711425781,83.17033615097307
airlines,OzaBagAdwinExecutorMAXChunk,25,4,100,170,14788.0,597.2839965820312,2215.0,24.75874137878418,64.31100217864923
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,25,207,32182.0,599.3300170898438,256.0,53.696624755859375,79.93593929782007
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,100,1208,45312.0,133.3090057373047,164.0,339.9020080566406,79.31743784835884
airlines,OzaBagAdwinExecutorMAXChunk,25,4,25,170,32261.0,599.489990234375,266.0,53.8140754699707,67.25400173718825
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,50,1496,45312.0,214.35400390625,129.0,211.3886260986328,79.1326057178207
covtypeNorm,LBagExecutorMAXChunk,25,4,100,150,22138.0,599.4749755859375,1551.0,36.92898178100586,73.56384426898993
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,50,66,9350.0,599.7979736328125,2018.0,15.588582038879395,65.43010752688173
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,50,68,9546.0,599.27001953125,1773.0,15.929380416870117,77.13774220724515
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,25,68,12036.0,599.489013671875,710.0,20.077098846435547,78.37815335942054
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,25,66,10562.0,599.8070068359375,856.0,17.608997344970703,65.58792825282337
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,25,169,27556.0,599.4329833984375,308.0,45.97010803222656,84.00348697831535
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,500,295,44928.0,599.31298828125,3914.0,74.96583557128906,93.37579904564689
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,50,283,48740.0,599.4719848632812,357.0,81.30488586425781,81.26720065721913
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,50,69,7583.0,599.2420043945312,2469.0,12.654319763183594,65.76397185716182
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,500,1208,45312.0,102.07499694824219,690.0,443.9089050292969,78.36963313398196
elecNormNew,OzaBagExecutorMAXChunk,25,4,50,1664,45312.0,112.16799926757812,72.0,403.9654846191406,78.41235473465599
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,500,540,74388.0,599.3270263671875,2335.0,124.11921691894531,93.46713945430922
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,100,69,8944.0,599.25,4356.0,14.925323486328125,65.07236544549977
covtypeNorm,OzaBagExecutorMAXChunk,25,4,50,288,49977.0,599.323974609375,362.0,83.38895416259766,77.63134175896809
covtypeNorm,OzaBagExecutorMAXChunk,25,4,100,288,44287.0,599.3259887695312,798.0,73.8946762084961,75.44526670740262
