,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,methodology_x,ensemble_size,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,methodology_y,avg_times_duration,joules,JPIold,JPI,PERC,tput
79,OzaBagExecutorMAXChunk,elecNormNew,4,50,2296,2188.780517578125,43270.0,19.768999099731445,21.0,79.0328551596483,2,25,25,4.6127659574468085,216.79999999999998,2280.7671012231335,45312.0,2,115.31914893617021,91.18976606003781,0.00010660425138541273,0.002665106284635318,50,2188.7805134549176
53,OzaBagExecutorMAXChunk,elecNormNew,4,50,2081,2080.17626953125,45300.0,21.777000427246094,19.0,78.4596685082873,3,25,28,4.161538461538461,216.39999999999998,2072.258300557944,45312.0,3,116.5230769230769,90.62582485492412,9.186619120393954e-05,0.0025722533537103067,10,2080.1762920169353
204,OzaBagExecutorMAXChunk,elecNormNew,4,50,1276,1261.68115234375,44878.0,35.56999969482422,31.0,78.92388685642902,2,25,41,4.032,302.4,1268.4620122053636,45312.0,2,165.312,143.41823876953126,8.984357591693034e-05,0.0036835866125941442,90,1261.6812028404427
43,OzaBagExecutorMAXChunk,elecNormNew,4,50,416,414.4139404296875,45300.0,109.31099700927734,67.0,75.46077348066298,3,25,114,3.235748792270532,669.8000000000001,413.9102792469376,45312.0,3,368.87536231884064,353.70292655465687,7.14293331627049e-05,0.00814294398054836,50,414.41393125483376
87,OzaBagExecutorMAXChunk,elecNormNew,4,50,255,254.829833984375,30549.0,119.87999725341795,112.0,80.02885340502968,2,25,126,3.232727272727273,711.2,254.47321071571372,30549.0,2,407.3236363636364,387.5393365755948,0.00010582105053282506,0.01333345236713596,10,254.82983566826036
169,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,50,2270,2143.429443359375,42800.0,19.968000411987305,23.0,85.64678362573099,3,25,25,4.995744680851065,234.80000000000004,2257.585571222161,45312.0,3,124.89361702127661,99.75503184541745,0.00011672300656194076,0.002918075164048519,90,2143.429442955443
23,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,50,1940,1845.982666015625,43148.0,23.374000549316406,27.0,79.56285674509257,2,25,29,4.62037037037037,249.5,1930.3058703246145,45312.0,2,133.99074074074073,107.99653957508228,0.00010708191272759735,0.003105375469100323,50,1845.9826724553534
168,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,50,1261,1257.8441162109375,45300.0,36.013999938964844,31.0,85.39447513812155,3,25,42,4.332,324.9,1253.964300539643,45312.0,3,181.944,156.0126477355957,9.562913907284768e-05,0.004016423841059602,10,1257.8441738427478
94,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,50,1077,1073.2099609375,45312.0,42.22100067138672,36.0,79.79320401219566,2,25,47,4.340697674418604,373.29999999999995,1069.5873855160041,45312.0,2,204.0127906976744,183.26859942591466,9.579576435422413e-05,0.004502400924648535,90,1073.2099969081987
133,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,50,252,249.82899475097656,29950.0,119.88200378417967,35.0,87.1371237458194,3,25,126,3.309649122807018,754.6000000000001,249.4731493590331,29950.0,3,417.01578947368426,396.7673686646579,0.00011050581378320596,0.013923732536683948,50,249.82899062913708
206,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,50,215,214.8619079589844,25757.0,119.8769989013672,135.0,81.58089236394757,2,25,126,3.269868995633188,748.8000000000001,214.5772934786231,25757.0,2,412.00349344978173,391.98208199713434,0.0001269506928459521,0.015995787298589966,10,214.86190208342163
171,OzaBagAdwin,elecNormNew,1,1,1051,758.1375732421875,39828.0,52.53400039672852,5195.0,84.20206889625389,1,25,59,3.872641509433962,410.49999999999994,1044.9943497613062,45312.0,1,228.48584905660374,203.4453505929911,9.723414455744606e-05,0.0057368145288893176,90,758.1375813611222
86,OzaBagAdwin,elecNormNew,1,1,584,563.087646484375,44074.0,78.27200317382812,746.0,84.11081363161955,1,25,85,3.638709677419355,564.0,577.7602101317148,45312.0,1,309.2903225806452,284.8090954196069,8.255909782228422e-05,0.00701752331489416,50,563.0876713621284
71,OzaBagAdwin,elecNormNew,1,1,116,114.95394134521484,13777.0,119.8479995727539,90.0,89.06873775132466,1,25,126,3.226637554585153,738.9000000000001,114.80259320367315,13777.0,1,406.5563318777293,386.70605626335316,0.00023420465664405555,0.029509786737150996,10,114.95394206923456
140,OzaBagASHTExecutorMAXChunk,elecNormNew,4,50,3727,3376.32763671875,44500.0,13.18000030517578,14.0,78.56017997750281,3,25,19,4.675,168.29999999999998,3701.3559875837277,45312.0,3,88.825,61.616501426696765,0.00010505617977528089,0.001996067415730337,90,3376.3276911704525
0,OzaBagASHTExecutorMAXChunk,elecNormNew,4,50,2354,2247.466064453125,44347.0,19.73200035095215,22.0,79.48619545341671,2,25,25,4.474468085106382,210.29999999999995,2327.392264625815,45312.0,2,111.86170212765956,88.29020582564333,0.00010089674803496025,0.002522418700874006,50,2247.4660050297475
175,OzaBagASHTExecutorMAXChunk,elecNormNew,4,50,2070,2065.098388671875,45300.0,21.93600082397461,19.0,78.79558011049724,3,25,27,4.374,218.7,2053.1037607612143,45312.0,3,118.09799999999998,95.94806760406493,9.655629139072847e-05,0.0026070198675496687,10,2065.0983907007367
128,OzaBagASHTExecutorMAXChunk,elecNormNew,4,50,1307,1302.892578125,45312.0,34.77799987792969,31.0,79.04423136405815,2,25,41,4.130263157894737,313.9,1297.4458824876876,45312.0,2,169.3407894736842,143.64229160108064,9.115164101992268e-05,0.00373721728181683,90,1302.8926378470444
81,OzaBagASHTExecutorMAXChunk,elecNormNew,4,50,414,409.2325744628906,45300.0,110.69499969482422,67.0,77.41436464088397,3,25,116,3.230952380952381,678.5,408.68749549029513,45312.0,3,374.79047619047617,357.6502728235154,7.132345211815411e-05,0.008273520445705876,50,409.2325771253252
68,OzaBagASHTExecutorMAXChunk,elecNormNew,4,50,261,259.7896423339844,31148.0,119.89700317382812,108.0,80.44568782558363,2,25,126,3.3615720524017467,769.8,259.43694819257036,31148.0,2,423.55807860262007,403.04241503586417,0.00010792256492878344,0.013598243181026714,10,259.7896459083406
129,OzaBagASHT,elecNormNew,1,1,1301,896.5195922851562,38536.0,42.98400115966797,3994.0,82.97695661199917,1,25,51,3.829787234042554,360.00000000000006,1289.8010304289658,45312.0,1,195.31914893617025,164.6195789093667,9.938206440841171e-05,0.005068485284828997,90,896.519611025845
13,OzaBagASHT,elecNormNew,1,1,723,693.1126708984375,43716.0,63.071998596191406,677.0,83.16405892579375,1,25,70,3.6703124999999996,469.79999999999995,717.0187514835035,45312.0,1,256.921875,231.49394484758375,8.395810458413395e-05,0.005877067320889377,50,693.1126486079004
135,OzaBagASHT,elecNormNew,1,1,144,139.90306091308594,16772.0,119.88300323486328,84.0,86.99022179823515,1,25,126,3.197368421052632,729.0000000000001,139.75734951003267,16772.0,1,402.8684210526316,383.3101287641024,0.0001906372776682943,0.02402029698620508,10,139.9030683869498
214,OzaBag,elecNormNew,1,1,1395,966.5711669921876,38109.0,39.42699813842773,3438.0,81.99375475609436,1,25,46,3.854117647058823,327.59999999999997,1386.154363853284,45312.0,1,177.28941176470585,151.95628929586965,0.00010113405355844611,0.004652166463688521,90,966.5711770954448
59,OzaBag,elecNormNew,1,1,775,739.0169677734375,43316.0,58.61299896240234,783.0,82.3090774771447,1,25,65,3.6689075630252095,436.5999999999999,770.8351053876121,45312.0,1,238.47899159663862,215.0456751847467,8.470097799947386e-05,0.005505563569965801,50,739.0169547165691
179,OzaBag,elecNormNew,1,1,155,154.93145751953125,18569.0,119.85299682617188,101.0,86.2943615703592,1,25,126,3.2157894736842105,733.2,154.71974803569495,18569.0,1,405.18947368421055,385.4220055831106,0.0001731805414230282,0.021820748219301554,10,154.93146180509316
152,LeveragingBag,elecNormNew,1,1,457,414.7740478515625,42589.0,102.68000030517578,5195.0,89.6499096010707,1,25,109,3.9036269430051806,753.3999999999999,453.7461697142056,45312.0,1,425.49533678756467,400.82441569906433,9.165810286705912e-05,0.009990733212509442,90,414.774054084739
186,LeveragingBag,elecNormNew,1,1,254,249.73941040039065,29950.0,119.9250030517578,1127.0,90.03005008347246,1,25,127,3.629437229437229,838.3999999999999,249.4814617364576,29950.0,1,460.9385281385281,435.26027081642303,0.00012118321300291249,0.015390268051369886,50,249.7394141159541
93,LeveragingBag,elecNormNew,1,1,50,49.94124984741211,5993.0,120.0009994506836,133.0,90.67245119305856,1,25,127,3.2935064935064933,760.8,49.92428150638199,6000.0,1,418.27532467532467,395.22407091809555,0.0005495589009688793,0.06979398042304767,10,49.941250718190254
178,LBagExecutorMAXChunk,elecNormNew,4,50,1184,1069.423583984375,42100.0,39.367000579833984,46.0,90.59928656361474,3,25,45,5.095180722891567,422.90000000000003,1175.0427882371248,45312.0,3,229.28313253012053,200.58198247243126,0.0001210256703774719,0.005446155166986236,90,1069.4236131763112
