dataset,algorithm,ensemble_size,cores,batch_size,inc_rate,methodology,instances,time,delay,out_rate,acc
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,50,2354,2,44347.0,19.73200035095215,22.0,2247.466064453125,79.48619545341671
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,50,440,3,45100.0,109.26200103759766,121.0,412.7693176269531,89.63817980022198
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,50,48,3,5400.0,120.13400268554688,675.0,44.949806213378906,91.51401869158879
elecNormNew,LBagExecutorMAXChunk,25,4,50,120,2,14376.0,119.82599639892578,253.0,119.97396850585938,83.01689236353484
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,50,77,2,8986.0,120.00399780273438,541.0,74.8808364868164,76.86884512085945
airlines,OzaBagAdwinExecutorMAXChunk,25,4,50,221,2,26356.0,119.93800354003906,199.0,219.74685668945312,67.27362578879344
GMSC,OzaBagASHTExecutorMAXChunk,25,4,50,1843,2,150000.0,81.67900085449219,20.0,1836.457275390625,93.40313437812604
GMSC,OzaBagAdwin,25,1,1,1538,1,145629.0,100.93199920654297,3306.0,1442.8427734375,93.49374094445474
GMSC,LeveragingBag,25,1,1,71,1,8389.0,120.0009994506836,88.0,69.90775299072266,93.44379544641794
covtypeNorm,OzaBagExecutorMAXChunk,25,4,50,267,3,31700.0,119.9530029296875,111.0,264.2701721191406,71.44075829383885
covtypeNorm,OzaBagASHT,25,1,1,219,1,22286.0,120.0009994506836,6062.0,185.71511840820312,71.1253701875617
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,50,22,3,2400.0,121.10199737548828,1649.0,19.818004608154297,72.68085106382979
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,50,31,2,3600.0,120.15499877929688,973.0,29.961299896240234,65.63380281690141
elecNormNew,OzaBagASHT,25,1,1,723,1,43716.0,63.071998596191406,677.0,693.1126708984375,83.16405892579375
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,50,30,2,3600.0,120.2040023803711,987.0,29.949085235595703,63.014084507042256
GMSC,OzaBagExecutorMAXChunk,25,4,50,1843,2,150000.0,81.7030029296875,21.0,1835.9178466796875,93.45315105035012
covtypeNorm,LeveragingBag,25,1,1,136,1,12774.0,120.0009994506836,9759.0,106.44911193847656,74.25238766243933
elecNormNew,AdaptiveRandomForestSequential,25,1,1,158,1,18569.0,119.92400360107422,1976.0,154.8397216796875,89.6009478162529
airlines,LBagExecutorMAXChunk,25,4,50,13,2,1200.0,120.39700317382812,2858.0,9.967025756835938,74.43478260869566
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,50,319,2,37737.0,119.94499969482422,122.0,314.61920166015625,93.55480669726961
airlines,OzaBagAdwinExecutorMAXChunk,25,4,50,614,3,46400.0,120.04399871826172,129.0,386.5249328613281,85.64832793959008
GMSC,OzaBagExecutorMAXChunk,25,4,50,3495,3,147750.0,42.981998443603516,11.0,3437.485595703125,93.41232227488152
GMSC,LeveragingBag,25,1,1,641,1,71610.0,120.00499725341797,4811.0,596.7251586914062,93.42968859097891
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,50,1940,2,43148.0,23.374000549316406,27.0,1845.982666015625,79.56285674509257
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,50,39,2,4200.0,120.0989990234375,862.0,34.97114944458008,82.16867469879519
GMSC,LBagExecutorMAXChunk,25,4,50,163,2,19168.0,119.875,188.0,159.89990234375,93.52965791400774
airlines,OzaBagASHT,25,1,1,91,1,10754.0,120.00299835205078,1786.0,89.61442565917969,63.957597173144876
covtypeNorm,LeveragingBag,25,1,1,15,1,1800.0,119.96600341796875,96.0,15.004250526428223,68.83333333333333
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,50,72,2,8350.0,120.26000213623047,693.0,69.43289184570312,66.24096385542168
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,50,1529,3,145950.0,108.07599639892578,36.0,1350.4385986328125,93.52090472926662
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,50,272,2,32346.0,119.95099639892578,156.0,269.6601257324219,71.81694327470895
elecNormNew,AdaptiveRandomForestSequential,25,1,1,284,1,27884.0,120.0009994506836,9113.0,232.36473083496094,88.89327212738488
GMSC,OzaBagExecutorMAXChunk,25,4,50,699,3,83250.0,120.00499725341797,42.0,693.7211303710938,93.41947115384616
GMSC,OzaBag,25,1,1,225,1,26955.0,119.86900329589844,78.0,224.8704833984375,93.47059914672603
airlines,LBagExecutorMAXChunk,25,4,50,118,2,9750.0,123.62899780273438,632.0,78.864990234375,61.69072164948454
covtypeNorm,LBagExecutorMAXChunk,25,4,50,26,2,3000.0,120.16300201416016,1124.0,24.966087341308594,65.96610169491525
GMSC,LBagExecutorMAXChunk,25,4,50,1018,3,121350.0,119.92900085449219,39.0,1011.8486938476562,93.38746908491343
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,50,130,2,10350.0,120.99299621582031,583.0,85.54214477539062,66.0485436893204
elecNormNew,StreamingRandomPatches,25,1,1,82,1,9584.0,119.99299621582031,1243.0,79.87133026123047,91.35016694490818
covtypeNorm,LBagExecutorMAXChunk,25,4,50,66,3,7750.0,120.00599670410156,506.0,64.58010864257812,73.76623376623377
airlines,OzaBagASHTExecutorMAXChunk,25,4,50,379,3,44900.0,119.9469985961914,80.0,374.3320007324219,65.39576365663322
airlines,LBagExecutorMAXChunk,25,4,50,66,2,7800.0,120.40399932861328,721.0,64.78189849853516,62.8
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,50,14,2,1200.0,120.4520034790039,3058.0,9.962474822998047,76.69565217391305
elecNormNew,OzaBagExecutorMAXChunk,25,4,50,416,3,45300.0,109.31099700927734,67.0,414.4139404296875,75.46077348066298
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,50,1052,2,125450.0,120.03600311279297,43.0,1045.1031494140625,93.6116427432217
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,50,1766,2,150000.0,85.11900329589844,22.0,1762.2386474609375,93.44781593864622
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,50,3179,2,149102.0,47.38800048828125,14.0,3146.408447265625,93.31709738883075
covtypeNorm,OzaBagASHT,25,1,1,24,1,2400.0,119.98999786376953,79.0,20.001667022705078,68.29166666666666
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,50,159,2,18569.0,119.91000366210938,266.0,154.85780334472656,70.55456558129488
covtypeNorm,LBagExecutorMAXChunk,25,4,50,333,3,39500.0,119.96399688720703,122.0,329.26544189453125,85.36121673003802
airlines,OzaBagExecutorMAXChunk,25,4,50,502,3,59900.0,119.94000244140625,45.0,499.4163513183594,64.8705096073517
airlines,StreamingRandomPatches,25,1,1,62,1,2723.0,120.01699829101562,24544.0,22.688453674316406,73.26478149100257
covtypeNorm,OzaBagAdwin,25,1,1,243,1,19873.0,120.0009994506836,12300.0,165.60694885253906,74.83017158959392
elecNormNew,OzaBagExecutorMAXChunk,25,4,50,2081,3,45300.0,21.777000427246094,19.0,2080.17626953125,78.4596685082873
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,50,353,2,41930.0,119.89199829101562,75.0,349.7314147949219,93.35482330468004
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,50,244,3,28750.0,119.96900177001953,170.0,239.64523315429688,90.16724738675958
airlines,OzaBagAdwinExecutorMAXChunk,25,4,50,398,2,38950.0,120.01200103759766,153.0,324.5508728027344,68.53984575835476
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,50,101,3,11950.0,119.82499694824219,302.0,99.72877502441406,75.52941176470588
airlines,AdaptiveRandomForestSequential,25,1,1,6,1,598.0,120.01200103759766,72.0,4.982834815979004,72.40802675585284
elecNormNew,OzaBag,25,1,1,775,1,43316.0,58.612998962402344,783.0,739.0169677734375,82.3090774771447
covtypeNorm,OzaBagASHT,25,1,1,122,1,14376.0,119.93099975585938,292.0,119.86892700195312,64.69115191986644
covtypeNorm,AdaptiveRandomForestSequential,25,1,1,21,1,2400.0,119.99299621582031,232.0,20.00116729736328,71.0
elecNormNew,LBagExecutorMAXChunk,25,4,50,658,3,44750.0,69.27400207519531,61.0,645.9854736328125,90.40492170022372
airlines,OzaBagASHTExecutorMAXChunk,25,4,50,3419,3,142450.0,120.02899932861328,42.0,1186.7965087890625,65.83286516853933
airlines,OzaBagASHTExecutorMAXChunk,25,4,50,39,2,4200.0,120.08499908447266,840.0,34.97522735595703,69.10843373493975
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,50,15,2,1800.0,120.16100311279297,1980.0,14.979901313781738,69.48571428571428
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,50,158,2,18569.0,119.95800018310547,241.0,154.79583740234375,71.76953399211621
GMSC,LeveragingBag,25,1,1,356,1,42529.0,119.93199920654297,912.0,354.6092834472656,93.35982506054692
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,50,261,2,31148.0,119.89700317382812,108.0,259.7896423339844,80.44568782558363
covtypeNorm,OzaBag,25,1,1,158,1,18569.0,119.93399810791016,418.0,154.8268280029297,67.6934676073025
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,50,849,3,101100.0,120.08300018310547,48.0,841.9176635742188,93.48342404750125
elecNormNew,OzaBagAdwin,25,1,1,116,1,13777.0,119.8479995727539,90.0,114.95394134521484,89.06873775132466
covtypeNorm,OzaBagAdwin,25,1,1,135,1,16173.0,119.9489974975586,707.0,134.83230590820312,71.58844988561182
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,50,459,3,44500.0,99.69999694824219,93.0,446.3390197753906,88.83689538807648
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,50,498,3,58100.0,120.01599884033203,79.0,484.10211181640625,87.17829457364341
GMSC,OzaBagASHTExecutorMAXChunk,25,4,50,728,3,86850.0,119.99800109863281,37.0,723.7620849609375,93.28917050691244
GMSC,OzaBagAdwin,25,1,1,170,1,20366.0,119.86000061035156,81.0,169.91490173339844,93.53333988019247
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,50,506,3,58650.0,120.0009994506836,83.0,488.7459411621094,88.79692832764505
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,50,827,3,42550.0,55.481998443603516,65.0,766.9154052734375,88.72705882352942
elecNormNew,OzaBagExecutorMAXChunk,25,4,50,2296,2,43270.0,19.768999099731445,21.0,2188.780517578125,79.0328551596483
GMSC,LBagExecutorMAXChunk,25,4,50,1474,2,150000.0,102.45899963378906,33.0,1464.000244140625,93.45515171723908
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,50,414,3,45300.0,110.69499969482422,67.0,409.2325744628906,77.41436464088397
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,50,169,3,19750.0,119.8479995727539,182.0,164.7920684814453,93.5482233502538
GMSC,OzaBagAdwin,25,1,1,854,1,101661.0,120.0009994506836,622.0,847.16796875,93.40455041756425
airlines,OzaBagAdwin,25,1,1,16,1,1798.0,119.97000122070312,136.0,14.987079620361328,73.63737486095661
covtypeNorm,LBagExecutorMAXChunk,25,4,50,241,2,28752.0,119.98300170898438,174.0,239.63394165039062,79.55891575499965
elecNormNew,OzaBagAdwin,25,1,1,584,1,44074.0,78.27200317382812,746.0,563.087646484375,84.11081363161955
elecNormNew,OzaBagExecutorMAXChunk,25,4,50,255,2,30549.0,119.87999725341797,112.0,254.829833984375,80.02885340502968
airlines,LBagExecutorMAXChunk,25,4,50,21,3,2400.0,120.4990005493164,1569.0,19.917177200317383,72.12765957446808
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,50,116,2,13778.0,120.00399780273438,262.0,114.8128433227539,93.40034965034964
airlines,AdaptiveRandomForestSequential,25,1,1,32,1,3473.0,120.04499816894531,4223.0,28.930818557739258,70.25626259717824
covtypeNorm,LBagExecutorMAXChunk,25,4,50,134,2,15574.0,119.91200256347656,319.0,129.87857055664062,70.70342695181654
GMSC,OzaBagASHTExecutorMAXChunk,25,4,50,6556,3,148300.0,22.961000442504883,7.0,6458.77783203125,93.19325463743677
elecNormNew,LeveragingBag,25,1,1,50,1,5993.0,120.0009994506836,133.0,49.94124984741211,90.67245119305856
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,50,1077,2,45312.0,42.22100067138672,36.0,1073.2099609375,79.79320401219566
airlines,OzaBagAdwin,25,1,1,152,1,12155.0,120.00299835205078,10558.0,101.28913879394531,63.83381324557795
GMSC,OzaBagASHTExecutorMAXChunk,25,4,50,368,2,43727.0,119.89900207519531,80.0,364.6986083984375,93.35806030633972
covtypeNorm,AdaptiveRandomForestSequential,25,1,1,105,1,12369.0,119.8949966430664,1763.0,103.16527557373047,74.87266553480475
airlines,LeveragingBag,25,1,1,5,1,598.0,119.94499969482422,78.0,4.985618591308594,75.91973244147158
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,50,575,2,68850.0,120.02999877929688,83.0,573.6066284179688,93.44622093023256
covtypeNorm,AdaptiveRandomForestSequential,25,1,1,189,1,19615.0,120.00199890136719,8077.0,163.4556121826172,77.24700484323222
airlines,OzaBagAdwin,25,1,1,84,1,9583.0,120.00599670410156,1860.0,79.85433959960938,64.07179380152354
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,50,91,3,10750.0,119.81700134277344,351.0,89.72015380859375,89.11214953271028
GMSC,StreamingRandomPatches,25,1,1,149,1,17372.0,120.01300048828125,1143.0,144.75099182128906,93.57011282523601
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,50,119,3,8200.0,120.0199966430664,730.0,68.32194519042969,65.96319018404908
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,50,14,2,1200.0,120.77400207519531,2988.0,9.9359130859375,76.34782608695653
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,50,132,2,8550.0,120.31700134277344,702.0,71.0622787475586,65.68235294117648
