dataset,algorithm,batch_size,JPI_normalized,delay_normalized
airlines,AdaptiveRandomForest,25,0.04882353297090003,0.0005596327200831071
airlines,AdaptiveRandomForest,25,0.0507124266450511,0.0006015213967360344
airlines,AdaptiveRandomForest,25,0.13891126482506344,0.0013990818002077678
airlines,LBag,25,0.034543162649717137,0.0003736469957441105
airlines,LBag,25,0.03686021351235552,0.0004021312958681009
airlines,LBag,25,0.13872306514412067,0.0013303843704969673
airlines,StreamingRandomPatches,25,0.056587679982156545,0.0006568144499178982
airlines,StreamingRandomPatches,25,0.05743020274956738,0.0006584899969840153
airlines,StreamingRandomPatches,25,0.14226537551793034,0.001477832512315271
airlines,OzaBagAdwin,25,0.01044794837316139,0.00012231493582654738
airlines,OzaBagAdwin,25,0.01075587208030019,0.00012566602995878155
airlines,OzaBagAdwin,25,0.038807582388721354,0.00039040246640528135
airlines,OzaBagASHT,25,0.0040416832213652784,5.1941959049629706e-05
airlines,OzaBagASHT,25,0.0038378223642987317,5.0266411983512615e-05
airlines,OzaBagASHT,25,0.010010086426959747,0.00010388391809925941
airlines,OzaBag,25,0.002573691070280037,3.1835394256224655e-05
airlines,OzaBag,25,0.002298992512460849,2.6808753057873395e-05
airlines,OzaBag,25,0.006065774624575312,6.367078851244931e-05me 
GMSC,AdaptiveRandomForest,25,0.0025809386817991545,2.8484300123990483e-05
GMSC,AdaptiveRandomForest,25,0.0039478118895566764,4.0213129586810096e-05
GMSC,AdaptiveRandomForest,25,0.016604466662434928,0.0001575014242150062
GMSC,LBag,25,0.0022068653450750377,2.345765892563922e-05
GMSC,LBag,25,0.0033578087236319763,3.686203545457592e-05
GMSC,LBag,25,0.014076977835807544,0.00013571931235548405
GMSC,StreamingRandomPatches,25,0.004949341432874823,5.529305318186388e-05
GMSC,StreamingRandomPatches,25,0.007063877571927706,7.539961797526893e-05
GMSC,StreamingRandomPatches,25,0.03044726392630722,0.00029657183070272447
GMSC,OzaBagAdwin,25,0.001265948427526196,1.5079923595053785e-05
GMSC,OzaBagAdwin,25,0.0019696006946495316,2.0106564793405048e-05
GMSC,OzaBagAdwin,25,0.008486308757288041,7.87507121075031e-05
GMSC,OzaBagASHT,25,0.0008545188080507835,8.377735330585436e-06
GMSC,OzaBagASHT,25,0.0009457850060535361,1.0053282396702524e-05
GMSC,OzaBagASHT,25,0.0037198540387788598,3.518648838845883e-05
GMSC,OzaBag,25,0.0008565855129549529,8.377735330585436e-06
GMSC,OzaBag,25,0.0009451592503784534,8.377735330585436e-06
GMSC,OzaBag,25,0.0038370352793292914,3.686203545457592e-05
elecNormNew,AdaptiveRandomForest,25,0.004995549834697883,5.1941959049629706e-05
elecNormNew,AdaptiveRandomForest,25,0.00712364660461651,7.372407090915184e-05
elecNormNew,AdaptiveRandomForest,25,0.030478374246333588,0.00029489628363660737
elecNormNew,LBag,25,0.003880755825706886,4.0213129586810096e-05
elecNormNew,LBag,25,0.005300148070144534,5.529305318186388e-05
elecNormNew,LBag,25,0.02089382966945487,7.037297677691766e-05
elecNormNew,StreamingRandomPatches,25,0.009445481602260443,0.00010220837103314231
elecNormNew,StreamingRandomPatches,25,0.01342003924982503,0.00013739485942160115
