dataset,algorithm,ensemble_size,cores,instances,time,delay,out_rate,acc
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,79345.0,599.3060302734375,273.0,132.39479064941406,80.2336507936508
GMSC,LBagExecutorMAXChunk,25,4,56247.0,599.4320068359375,473.0,93.83383178710938,93.43792021515016
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,29056.0,599.5050048828125,1566.0,48.466651916503906,79.2875226039783
airlines,OzaBagASHTExecutorMAXChunk,25,4,152613.0,599.5570068359375,253.0,254.54293823242188,66.35177539223783
airlines,OzaBagAdwinExecutorMAXChunk,25,4,16585.0,599.3690185546875,2260.0,27.670766830444336,64.67986798679868
elecNormNew,LBagExecutorMAXChunk,25,4,39407.0,599.280029296875,1159.0,65.75724029541016,90.02059202059202
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,45301.0,174.2100067138672,133.0,260.0367126464844,76.95743504698729
airlines,LBagExecutorMAXChunk,25,4,17700.0,599.2360229492188,2244.0,29.53761100769043,60.70689655172414
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,8470.0,598.2039794921875,7637.0,14.159049987792969,66.19935691318328
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,23783.0,599.2579956054688,1838.0,39.68741226196289,93.59645232815964
GMSC,OzaBagExecutorMAXChunk,25,4,149882.0,492.3429870605469,299.0,304.4259948730469,93.40931947703655
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,8577.0,601.4229736328125,2662.0,14.261178016662598,65.33333333333333
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,23590.0,599.43798828125,1669.0,39.3535270690918,89.0755939524838
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,15139.0,599.3740234375,1769.0,25.258018493652344,91.13698630136986
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,6876.0,599.2000122070312,1154.0,11.475299835205078,82.44363636363636
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,42994.0,598.2769775390625,417.0,71.863037109375,84.89252336448598
GMSC,OzaBagASHTExecutorMAXChunk,25,4,149987.0,297.20001220703125,128.0,504.6668701171875,93.28440366972477
covtypeNorm,LBagExecutorMAXChunk,25,4,15620.0,599.2459716796875,2056.0,26.066091537475586,75.17948717948718
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,149987.0,580.4149780273438,223.0,258.41339111328125,93.35516204477113
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,26580.0,599.2730102539062,1297.0,44.35374069213867,81.57703349282298
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,37127.0,599.260986328125,1459.0,61.95464324951172,93.4442916093535
airlines,OzaBagExecutorMAXChunk,25,4,217569.0,599.4580078125,385.0,362.9428405761719,62.074348581354954
elecNormNew,OzaBagExecutorMAXChunk,25,4,45304.0,237.16000366210938,385.0,191.0271453857422,76.89805013927577
covtypeNorm,OzaBagExecutorMAXChunk,25,4,125268.0,599.4429931640625,237.0,208.9739990234375,82.12777889044662
