dataset,algorithm,ensemble_size,cores,instances,time,delay,out_rate,acc
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,79942.0,599.3699951171875,570.0,133.376708984375,80.54516232722597
GMSC,LBagExecutorMAXChunk,25,4,28150.0,599.2509765625,1223.0,46.97530746459961,93.54462659380692
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,33316.0,599.2769775390625,409.0,55.593658447265625,79.73553719008264
airlines,OzaBagASHTExecutorMAXChunk,25,4,126316.0,599.4860229492188,266.0,210.70716857910156,64.27734608487746
airlines,OzaBagAdwinExecutorMAXChunk,25,4,31463.0,599.280029296875,1824.0,52.5013313293457,67.32019704433498
elecNormNew,LBagExecutorMAXChunk,25,4,41717.0,599.39501953125,776.0,69.5985107421875,90.21287128712872
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,45066.0,280.2749938964844,303.0,160.79208374023438,77.80616246498599
airlines,LBagExecutorMAXChunk,25,4,13847.0,599.2310180664062,1460.0,23.10795021057129,61.598484848484844
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,6040.0,599.4920043945312,6435.0,10.075197219848633,67.80434782608695
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,34125.0,599.3779907226562,837.0,56.93402099609375,93.56068503350707
GMSC,OzaBagExecutorMAXChunk,25,4,149987.0,316.2090148925781,94.0,474.32867431640625,93.27132820341252
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,6907.0,599.2119750976562,3816.0,11.526805877685547,65.712
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,23391.0,599.260986328125,2323.0,39.033077239990234,89.38426966292134
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,18336.0,599.2449951171875,1339.0,30.59850311279297,91.15905947441217
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,7672.0,599.2080078125,2187.0,12.803566932678223,82.13698630136986
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,45310.0,411.2669982910156,301.0,110.17173767089844,84.39246119733924
GMSC,OzaBagASHTExecutorMAXChunk,25,4,149783.0,203.12899780273438,96.0,737.3787231445312,93.34449280214263
covtypeNorm,LBagExecutorMAXChunk,25,4,16141.0,599.22802734375,2241.0,26.936323165893555,75.77741407528642
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,113715.0,599.3049926757812,196.0,189.7447967529297,93.36425889109786
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,29912.0,599.3519897460938,563.0,49.90723419189453,82.36148648648648
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,57039.0,599.2860107421875,1009.0,95.17826080322266,93.425
airlines,OzaBagExecutorMAXChunk,25,4,107304.0,599.4660034179688,177.0,178.9993133544922,64.16709692560431
elecNormNew,OzaBagExecutorMAXChunk,25,4,45309.0,494.302001953125,327.0,91.66259002685547,77.32295719844358
covtypeNorm,OzaBagExecutorMAXChunk,25,4,106616.0,599.5079956054688,226.0,177.8391571044922,81.57220004695938
