dataset,algorithm,ensemble_size,cores,instances,time,delay,out_rate,acc
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,99063.0,599.3280029296875,418.0,165.29013061523438,80.64048644540158
GMSC,LBagExecutorMAXChunk,25,4,71557.0,599.5239868164062,418.0,119.35636138916016,93.30147575544623
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,38384.0,599.5759887695312,1025.0,64.0185775756836,80.3772575250836
airlines,OzaBagASHTExecutorMAXChunk,25,4,172006.0,599.364013671875,295.0,286.9808654785156,66.01223063482819
airlines,OzaBagAdwinExecutorMAXChunk,25,4,28363.0,599.2520141601562,1850.0,47.33066940307617,67.07078039927404
elecNormNew,LBagExecutorMAXChunk,25,4,43320.0,599.2830200195312,1384.0,72.286376953125,90.07231772377
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,45301.0,258.1390075683594,72.0,175.49072265625,76.08609271523179
airlines,LBagExecutorMAXChunk,25,4,14980.0,599.5269775390625,1849.0,24.986364364624023,61.448392554991536
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,10292.0,599.2219848632812,5243.0,17.17560386657715,65.19576719576719
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,28272.0,599.2520141601562,2245.0,47.17881393432617,93.60000000000001
GMSC,OzaBagExecutorMAXChunk,25,4,149992.0,263.1960144042969,220.0,569.8870239257812,93.41361431677538
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,10981.0,599.39599609375,2757.0,18.32010841369629,65.0757946210269
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,29563.0,599.2750244140625,1622.0,49.33127212524414,88.70298769771529
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,17345.0,599.4210205078125,1086.0,28.936256408691406,90.89956331877728
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,10526.0,599.2310180664062,775.0,17.565845489501953,82.09976247030879
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,45293.0,435.3110046386719,458.0,104.04744720458984,84.62701500833796
GMSC,OzaBagASHTExecutorMAXChunk,25,4,149574.0,400.32501220703125,264.0,373.63140869140625,93.34003013561023
covtypeNorm,LBagExecutorMAXChunk,25,4,29299.0,599.2940063476562,2931.0,48.889190673828125,82.27906976744185
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,110996.0,599.3610229492188,175.0,185.1905517578125,93.39055793991416
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,38235.0,599.4140014648438,656.0,63.78730010986328,84.5062955599735
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,29997.0,599.3090209960938,1302.0,50.052642822265625,93.58674803836095
airlines,OzaBagExecutorMAXChunk,25,4,154923.0,599.333984375,558.0,258.491943359375,62.55555555555555
elecNormNew,OzaBagExecutorMAXChunk,25,4,45011.0,266.1549987792969,390.0,169.11573791503906,76.94736842105263
covtypeNorm,OzaBagExecutorMAXChunk,25,4,123861.0,599.4580078125,583.0,206.62164306640625,82.01822969414624
