dataset,algorithm,ensemble_size,cores,batch_size,inc_rate,instances,time,delay,out_rate
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,500,33,3600.0,119.96199798583984,9301.0,30.009504318237305
covtypeNorm,OzaBagExecutorMAXChunk,25,4,50,81,9584.0,119.81500244140625,440.0,79.98998260498047
elecNormNew,OzaBagExecutorMAXChunk,25,4,500,852,45312.0,53.402000427246094,410.0,848.507568359375
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,500,72,8400.0,119.99800109863281,5032.0,70.00116729736328
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,500,457,54509.0,119.98799896240234,649.0,454.287109375
GMSC,OzaBagExecutorMAXChunk,25,4,2000,113,13179.0,120.00399780273438,9489.0,109.82134246826172
elecNormNew,OzaBagExecutorMAXChunk,25,4,2000,473,45312.0,96.67400360107422,2615.0,468.7092590332031
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,500,60,7200.0,119.99500274658203,5414.0,60.002498626708984
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,50,668,45312.0,68.25399780273438,49.0,663.8732299804688
GMSC,LBagExecutorMAXChunk,25,4,50,166,19767.0,119.86000061035156,177.0,164.9174041748047
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,192,22762.0,119.83799743652344,7404.0,189.93975830078125
GMSC,LBagExecutorMAXChunk,25,4,500,33,3600.0,119.96900177001953,8864.0,30.00775146484375
covtypeNorm,LBagExecutorMAXChunk,25,4,2000,63,7200.0,119.99299621582031,22098.0,60.003501892089844
GMSC,LBagExecutorMAXChunk,25,4,2000,33,3600.0,119.96900177001953,34846.0,30.00775146484375
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,500,107,12579.0,119.85900115966797,3086.0,104.94831085205078
GMSC,OzaBagASHTExecutorMAXChunk,25,4,500,172,20366.0,119.81900024414062,1594.0,169.97303771972656
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,50,91,10800.0,120.01399993896484,284.0,89.989501953125
elecNormNew,OzaBagExecutorMAXChunk,25,4,50,473,45312.0,96.66899871826172,61.0,468.7335205078125
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,2000,33,3600.0,119.96299743652344,34419.0,30.009252548217773
GMSC,OzaBagExecutorMAXChunk,25,4,500,566,67687.0,119.92500305175781,526.0,564.4110717773438
