,algorithm,dataset,cores_x,instances,time,delay,acc,ensemble_size,inc_rate_x,cores_y,duration,avg_measure,sum_measure,inc_rate_y,prod_rate,tt_inst_prod,avg_times_duration,joules,IPS,JPI,tput
17,LBagExecutorMAXChunk,covtypeNorm,4,20109.0,599.3920288085938,1796.0,78.22976501305483,25,100,4,612,3.159202175883953,3484.6,,,,1933.431731640979,1893.6006016196063,33.54899470380092,0.09614758225873883,33.54899470380092
19,AdaptiveRandomForestExecutorMAXChunk,covtypeNorm,4,16320.0,599.2349853515625,2990.0,74.13559322033898,25,100,4,612,3.0127717391304345,3326.1,,,,1843.816304347826,1805.3582289654273,27.234724939207766,0.1129789402173913,27.234724939207766
8,StreamingRandomPatchesExecutorMAXChunk,airlines,4,6606.0,599.2080078125,5270.0,66.52459016393443,25,100,4,611,3.2287920072661214,3554.8999999999996,,,,1972.7919164396,1934.7180263148557,11.024552265441525,0.2986363785103845,11.024552265441525
21,OzaBagExecutorMAXChunk,airlines,4,273064.0,599.3579711914062,380.0,60.99184458902227,25,100,4,613,3.5678119349005426,3946.0,,,,2187.0687160940324,2138.396522894475,455.59417430822225,0.008009363065413356,455.59417430822225
4,OzaBagAdwinExecutorMAXChunk,airlines,4,28980.0,599.4600219726562,1484.0,67.45811051693404,25,100,4,612,3.2978260869565217,3640.8,,,,2018.2695652173913,1976.9148985489555,48.34350738625552,0.06964353227113151,48.34350738625552
3,OzaBagASHTExecutorMAXChunk,airlines,4,176128.0,599.6729736328125,297.0,65.95412451916228,25,100,4,614,3.5206148282097645,3893.7999999999997,,,,2161.6575045207956,2111.217563048323,293.70674975231657,0.012273218934642961,293.70674975231657
7,LBagExecutorMAXChunk,airlines,4,10040.0,599.864013671875,3129.0,61.66754617414249,25,100,4,612,3.1189483227561197,3440.2,,,,1908.7963735267451,1870.9448593236486,16.737126700672313,0.19011916070983517,16.737126700672313
11,AdaptiveRandomForestExecutorMAXChunk,airlines,4,10326.0,599.2139892578125,3624.0,65.40682414698162,25,100,4,612,3.4948369565217394,3858.3,,,,2138.8402173913046,2094.1551945230235,17.232574981752013,0.20713153373923152,17.232574981752013
9,StreamingRandomPatchesExecutorMAXChunk,GMSC,4,23601.0,599.22802734375,1241.0,93.54614549402824,25,100,4,612,2.8354166666666663,3130.2999999999997,,,,1735.2749999999996,1699.0611358642575,39.38567443952547,0.0735254862082115,39.38567443952547
10,OzaBagExecutorMAXChunk,GMSC,4,149991.0,341.2049865722656,120.0,93.3905780153692,25,100,4,354,2.9387147335423194,1874.8999999999999,,,,1040.305015673981,1002.7041211980262,439.5920514140335,0.006935782918134961,439.5920514140335
18,OzaBagAdwinExecutorMAXChunk,GMSC,4,136917.0,599.343017578125,198.0,93.34800146681334,25,100,4,613,2.821809954751131,3118.1,,,,1729.7695022624434,1691.2320933125352,228.4451407363776,0.012633708759777408,228.4451407363776
16,OzaBagASHTExecutorMAXChunk,GMSC,4,149988.0,433.2929992675781,191.0,93.22086198222372,25,100,4,446,2.871055900621118,2311.2,,,,1280.4909316770186,1244.0084222450018,346.1583737875617,0.00853728919431567,346.1583737875617
1,LBagExecutorMAXChunk,GMSC,4,67852.0,599.5349731445312,516.0,93.32394366197182,25,100,4,612,3.1038077969174975,3423.5,,,,1899.5303717135084,1860.8413241707185,113.1743818782074,0.02799520090363598,113.1743818782074
20,AdaptiveRandomForestExecutorMAXChunk,GMSC,4,52357.0,599.3729858398438,922.0,93.41335914811228,25,100,4,612,3.1232094288304624,3444.9,,,,1911.404170444243,1871.9673607612672,87.3529525636481,0.036507136972023665,87.3529525636481
