,index,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,joules,JPI,PERC
34,34,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,2000,244,239.86785888671875,28752.0,119.86599731445312,4807.0,77.91193181818183,125,3.7302631578947363,850.4999999999999,239.49422338467178,28752.0,447.1317136664139,0.015551325600529142,0
79,79,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,500,2335,2180.079345703125,43425.0,19.91900062561035,228.0,78.33896330809552,26,5.387499999999999,258.59999999999997,2302.67303587763,45312.0,107.31361587047576,0.00247124043455327,0
192,192,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,500,1297,1296.592041015625,45312.0,34.946998596191406,318.0,77.87646166205481,40,4.648648648648648,344.0,1289.6174863387978,45312.0,162.45631779851138,0.0035852824372905935,0
220,220,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,500,259,254.0544586181641,30500.0,120.0530014038086,1185.0,77.60000000000001,126,3.7666666666666666,858.8,254.45625374825082,30549.0,452.19963862101235,0.014826217659705323,0
39,39,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,50,2029,1921.3673095703125,43054.0,22.40800094604492,25.0,79.54608873593155,28,5.2711538461538465,274.1,2016.9144484999554,45312.0,118.1160203713637,0.00274343894577423,0
19,19,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,50,1127,1121.4176025390625,45312.0,40.40599822998047,32.0,79.68052671114843,46,4.6658823529411775,396.6000000000001,1116.966992875983,45312.0,188.52963409423833,0.004160699904975245,0
202,202,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,50,225,224.83297729492188,26955.0,119.88899993896484,122.0,81.62051663259618,125,3.7246696035242293,845.5,224.53331556281185,26955.0,446.5469138695805,0.01656638522981193,0
172,172,OzaBagASHTExecutorMAXChunk,elecNormNew,4,2000,2541,2216.22509765625,40240.0,18.15699958801269,857.0,74.92939330543933,24,5.348888888888889,240.70000000000002,2508.414526129318,45312.0,97.11977335188122,0.002413513254271402,0
88,88,OzaBagASHTExecutorMAXChunk,elecNormNew,4,2000,1411,1309.5333251953125,42404.0,32.38100051879883,1255.0,75.5940005940006,37,4.753968253968256,299.5000000000001,1403.413138414842,45312.0,153.93824849809926,0.0036302765894278667,0
203,203,OzaBagASHTExecutorMAXChunk,elecNormNew,4,2000,282,279.8294982910156,33544.0,119.8730010986328,4145.0,75.73548059852904,126,3.7441048034934497,857.4,279.39596365120485,33544.0,448.81707922256663,0.01337995108581465,0
104,104,OzaBagASHTExecutorMAXChunk,elecNormNew,4,500,2689,2255.2861328125,39039.0,17.309999465942383,217.0,77.01808557565064,23,5.26046511627907,226.20000000000002,2658.842858819387,45312.0,91.05864835339924,0.002332504632634013,0
124,124,OzaBagASHTExecutorMAXChunk,elecNormNew,4,500,1494,1468.5419921875,45002.0,30.643999099731445,280.0,77.12911779245877,35,4.836923076923077,314.40000000000003,1476.5861765568482,45312.0,148.22266641470102,0.003293690645186903,0
130,130,OzaBagASHTExecutorMAXChunk,elecNormNew,4,500,298,294.79083251953125,35341.0,119.88500213623048,1014.0,76.69986510146092,126,3.7532751091703056,859.5,294.3341856068493,35341.0,449.9613944807428,0.012731993845130098,0
212,212,OzaBagASHTExecutorMAXChunk,elecNormNew,4,50,2357,2120.369384765625,43158.0,20.35400009155273,23.0,79.14076273545514,26,4.912244897959184,240.70000000000002,2326.7947006264762,45312.0,99.98383310279065,0.00231669292142339,0
