,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,ensemble_size,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,avg_times_duration,joules,JPIold,JPI,delay_normalized,JPI_normalized,PERC,tput
301,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,50,440,404.7208557128906,45300.0,111.9290008544922,123.0,89.63093922651933,25,117,6.897641509433962,1462.3,438.78064840996245,45312.0,807.0240566037735,772.0461224034148,0.00015226581698529718,0.017815100587279767,0.00020609228913240173,0.009582098070414978,90,404.7208467347085
312,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,50,244,239.75515747070312,28750.0,119.91400146484376,170.0,89.94425087108014,25,123,5.834080717488791,1301.0000000000005,239.49821325936477,28752.0,717.5919282511213,699.5879637029676,0.0002029245466952623,0.024959719243517264,0.00028484300123990484,0.013424929959260215,50,239.75515493433758
219,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,50,48,44.96477508544922,5400.0,120.09400177001952,696.0,91.30841121495327,25,123,4.676785714285715,1047.6000000000001,44.93260109835247,5400.0,575.2446428571429,561.6539118494306,0.0008660714285714286,0.10652678571428573,0.0011661807580174927,0.05729690398544239,10,44.9647769281685
387,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,25,446,405.6921997070313,43775.0,107.9020004272461,61.0,89.45142857142856,25,112,6.86372549019608,1400.2000000000003,443.0538172715895,45312.0,768.7372549019609,740.6097107756373,0.00015679555660070999,0.01756110233927952,0.00010220837103314231,0.009445481602260443,90,405.69220057709396
202,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,25,248,244.6791534423828,29350.0,119.9530029296875,82.0,89.9914748508099,25,125,5.8584070796460175,1324.0,244.48572285343016,29351.0,732.3008849557522,702.7335215880807,0.00019960501123155084,0.024950626403943854,0.00013739485942160115,0.01342003924982503,50,244.67916003073307
171,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,25,49,44.97751235961914,5400.0,120.05999755859376,332.0,91.14418604651163,25,123,4.6468750000000005,1040.9,44.93297497898967,5400.0,571.5656250000001,557.9038011550905,0.0008605324074074075,0.10584548611111112,0.000556281625950873,0.056930457577746264,10,44.97751215899033
238,OzaBagExecutorMAXChunk,elecNormNew,4,2000,3638,2729.169921875,34000.0,12.458000183105469,666.0,77.325,25,17,4.796969696969697,158.29999999999998,3584.8101265822784,45312.0,81.54848484848485,59.76064936319987,0.0001410873440285205,0.0023984848484848486,0.00111591434603398,0.001290058224818336,90,2729.169971124904
365,OzaBagExecutorMAXChunk,elecNormNew,4,2000,2021,1957.0341796875,44000.0,22.482999801635746,802.0,77.28571428571429,25,27,4.093999999999999,204.7,1998.8530592439013,45312.0,110.53799999999998,92.04540118789673,9.304545454545453e-05,0.0025122272727272723,0.0013437887470259039,0.0013512361597122792,50,1957.034220887143
197,OzaBagExecutorMAXChunk,elecNormNew,4,2000,404,387.6925354003906,44000.0,113.49199676513672,2709.0,76.31666666666666,25,119,3.1499999999999995,680.3999999999999,398.5855280519343,45312.0,374.8499999999999,357.49978981018063,7.159090909090908e-05,0.00851931818181818,0.00453905700211119,0.0045822330281726446,10,387.6925356336336
358,OzaBagExecutorMAXChunk,elecNormNew,4,500,4009,3136.5966796875,35500.0,11.317999839782717,151.0,75.87714285714286,25,16,4.763333333333334,142.9,3962.224554039874,45312.0,76.21333333333334,53.91140590349834,0.00013417840375586854,0.0021468544600938967,0.0002530076069836802,0.0011547153426804543,90,3136.596616234051
224,OzaBagExecutorMAXChunk,elecNormNew,4,500,2227,2111.673095703125,43000.0,20.363000869750977,188.0,75.80705882352942,25,26,4.381632653061224,214.70000000000002,2213.1483833154243,45312.0,113.92244897959183,89.22318952521499,0.00010189843379212149,0.002649359278595159,0.0003150028484300124,0.0014249945043470008,50,2111.673042448083
176,OzaBagExecutorMAXChunk,elecNormNew,4,500,445,440.8566589355469,45000.0,102.0739974975586,647.0,78.64719101123595,25,107,3.3466666666666667,652.6,443.07981147204345,45312.0,358.09333333333336,341.6076449584961,7.437037037037037e-05,0.00795762962962963,0.0010840789517777554,0.004280121077373837,10,440.85664423083176
306,OzaBagExecutorMAXChunk,elecNormNew,4,250,4198,3459.59375,39000.0,11.27299976348877,71.0,76.7432258064516,25,16,4.990322580645161,154.7,4106.207521522429,45312.0,79.84516129032258,56.25590527134557,0.0001279569892473118,0.002047311827956989,0.0001189638416943132,0.0011011749622234315,90,3459.5937920901965
232,OzaBagExecutorMAXChunk,elecNormNew,4,250,2332,2178.481689453125,42500.0,19.50900077819824,94.0,76.28639053254437,25,25,4.671739130434782,214.89999999999998,2303.25827275962,45312.0,116.79347826086955,91.14096233119132,0.00010992327365728898,0.0027480818414322246,0.0001575014242150062,0.001478093799197062,50,2178.4816394848235
375,OzaBagExecutorMAXChunk,elecNormNew,4,250,466,463.3564453125,45250.0,97.65699768066406,310.0,78.64222222222223,25,103,4.135106382978724,777.4000000000001,463.1045337475982,45312.0,425.91595744680853,403.8220744518524,9.138356647466793e-05,0.009412507346890796,0.0005194195904962971,0.005062647165226065,10,463.3564524271611
66,OzaBagExecutorMAXChunk,elecNormNew,4,100,4034,3602.8759765625,44600.0,12.378999710083008,27.0,77.9505617977528,25,18,6.144117647058824,208.9,3962.5710537822474,45312.0,110.59411764705882,76.05803057165707,0.00013776048536006332,0.0024796887364811394,4.5239770785161356e-05,0.0013337348582825909,90,3602.875922492524
