,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,joules,JPI,PERC
57,StreamingRandomPatches,covtypeNorm,1,1,60,43.56230926513672,5228.0,120.01200103759766,11244.0,82.89977046671767,125,3.5190265486725663,795.3,59.90564860344957,7200.0,422.3254178106257,0.0807814494664548,0
58,StreamingRandomPatches,covtypeNorm,1,1,60,43.56230926513672,5228.0,120.01200103759766,11244.0,82.89977046671767,125,3.5190265486725663,795.3,59.910134797803295,7200.0,422.3254178106257,0.0807814494664548,0
259,StreamingRandomPatches,covtypeNorm,1,1,12,10.002750396728516,1200.0,119.96700286865234,174.0,74.91666666666667,126,3.255021834061136,745.4000000000001,9.988845788869096,1200.0,390.4952137043383,0.32541267808694857,0
260,StreamingRandomPatches,covtypeNorm,1,1,12,10.002750396728516,1200.0,119.96700286865234,174.0,74.91666666666667,126,3.255021834061136,745.4000000000001,9.98892893709472,1200.0,390.4952137043383,0.32541267808694857,0
134,OzaBagExecutorRUNPER,covtypeNorm,4,1,390,145.07379150390625,17409.0,120.0009994506836,15454.0,70.69331954736056,127,3.6078260869565217,829.8,389.0517270092929,46722.0,432.9427362790315,0.024868903227010828,0
135,OzaBagExecutorRUNPER,covtypeNorm,4,1,390,145.07379150390625,17409.0,120.0009994506836,15454.0,70.69331954736056,127,3.6078260869565217,829.8,388.983707009233,46722.0,432.9427362790315,0.024868903227010828,0
101,OzaBagExecutorRUNPER,covtypeNorm,4,1,217,135.1894073486328,16223.0,120.0019989013672,12269.0,66.96665228379462,128,3.611637931034483,837.9,214.5612062143363,25757.0,433.40377103213615,0.026715389942189246,0
102,OzaBagExecutorRUNPER,covtypeNorm,4,1,217,135.1894073486328,16223.0,120.0019989013672,12269.0,66.96665228379462,128,3.611637931034483,837.9,214.5772934786231,25757.0,433.40377103213615,0.026715389942189246,0
161,OzaBagExecutorRUNPER,covtypeNorm,4,1,43,39.96633529663086,4796.0,120.0009994506836,96.0,68.76563803169307,127,3.2704845814977976,742.4000000000001,39.94540794247861,4800.0,392.46141846778636,0.0818309880041256,0
162,OzaBagExecutorRUNPER,covtypeNorm,4,1,43,39.96633529663086,4796.0,120.0009994506836,96.0,68.76563803169307,127,3.2704845814977976,742.4000000000001,39.94540794247861,4800.0,392.46141846778636,0.0818309880041256,0
71,OzaBagAdwinExecutorRUNPER,covtypeNorm,4,1,379,107.8797378540039,12946.0,120.00399780273438,19216.0,73.85292754518771,128,3.6543859649122807,833.2,374.0726246284254,44925.0,438.54092530367666,0.03387462732146429,0
72,OzaBagAdwinExecutorRUNPER,covtypeNorm,4,1,379,107.8797378540039,12946.0,120.00399780273438,19216.0,73.85292754518771,128,3.6543859649122807,833.2,374.088199047397,44925.0,438.54092530367666,0.03387462732146429,0
127,OzaBagAdwinExecutorRUNPER,covtypeNorm,4,1,210,111.0037078857422,13321.0,120.00499725341795,16372.0,73.60558516627881,128,3.67198275862069,851.9000000000001,209.5836318499142,25158.0,440.656280862874,0.03307981989812131,0
128,OzaBagAdwinExecutorRUNPER,covtypeNorm,4,1,210,111.0037078857422,13321.0,120.00499725341795,16372.0,73.60558516627881,128,3.67198275862069,851.9000000000001,209.60283936114374,25158.0,440.656280862874,0.03307981989812131,0
30,OzaBagAdwinExecutorRUNPER,covtypeNorm,4,1,42,39.95800018310547,4795.0,120.0009994506836,103.0,73.74348279457769,128,3.2896995708154506,766.5,39.94407829039345,4800.0,394.76723639033895,0.08232893355377247,0
