dataset,algorithm,ensemble_size,cores,batch_size,inc_rate,instances,time,delay,out_rate,acc
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,500,4712,45000.0,221.21099853515625,1257.0,203.42568969726562,78.24943820224719
elecNormNew,OzaBagExecutorMAXChunk,25,4,2000,4042,44000.0,497.2349853515625,11266.0,88.48934936523438,76.62857142857142
airlines,OzaBagASHTExecutorMAXChunk,25,4,2000,4989,118000.0,599.2999877929688,5862.0,196.89637756347656,63.78103448275863
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,500,3368,99500.0,599.468017578125,1627.0,165.98049926757812,79.25151515151515
GMSC,OzaBagExecutorMAXChunk,25,4,500,8499,150000.0,486.32501220703125,846.0,308.4356994628906,93.37926421404681
covtypeNorm,LBagExecutorMAXChunk,25,4,2000,702,22000.0,599.2620239257812,28369.0,36.711822509765625,77.42999999999999
GMSC,LBagExecutorMAXChunk,25,4,50,2037,67050.0,599.3070068359375,237.0,111.87921905517578,93.43880597014925
airlines,OzaBagASHTExecutorMAXChunk,25,4,25,2735,47500.0,599.2650146484375,173.0,79.26376342773438,61.25961032122169
airlines,LBagExecutorMAXChunk,25,4,50,214,6600.0,599.2009887695312,2630.0,11.014668464660645,63.58778625954199
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,2000,3314,132000.0,599.35400390625,4914.0,220.23712158203125,80.35153846153847
GMSC,OzaBagExecutorMAXChunk,25,4,50,6990,150000.0,431.24200439453125,76.0,347.8325500488281,93.32844281427143
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,25,2142,45300.0,217.2570037841797,66.0,208.50881958007812,84.44837106570955
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,50,1012,28650.0,599.2650146484375,548.0,47.808563232421875,82.23776223776224
GMSC,OzaBagASHTExecutorMAXChunk,25,4,2000,8906,150000.0,256.31500244140625,1836.0,585.2174072265625,92.91891891891892
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,25,213,7300.0,599.3989868164062,1181.0,12.178866386413574,65.82817869415808
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,50,489,15850.0,599.3839721679688,1042.0,26.443817138671875,91.17088607594937
GMSC,LBagExecutorMAXChunk,25,4,25,1861,45475.0,599.4110107421875,171.0,75.86614227294922,93.36193619361937
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,875,20000.0,599.2550048828125,27140.0,33.37477493286133,89.82777777777777
GMSC,OzaBagExecutorMAXChunk,25,4,25,6653,147400.0,599.4869995117188,51.0,245.87689208984375,93.12502120441052
