dataset,algorithm,ensemble_size,cores,batch_size,rate,instances,time,acc,prec,recall,change
elecNormNew,OzaBagASHTExecutorRUNPER,25,4,1,1,45312.0,33.650001525878906,83.35981638418079,83.12334923993745,82.668029027435,0
covtypeNorm,StreamingRandomPatchesExecutorRUNPER,25,4,1,1,62730.0,521.47802734375,93.08146022636697,87.60686892959872,87.40196347091188,0
GMSC,StreamingRandomPatches,25,1,1,1,35940.0,122.36599731445312,93.51419031719533,76.70633144079314,51.91570712628915,0
elecNormNew,LeveragingBag,25,1,1,1,45312.0,88.3280029296875,89.84595692090396,89.84932541092364,89.30907356294604,280.0
airlines,LeveragingBag,25,1,1,1,5780.0,126.64399719238281,64.34256055363322,57.765954296969966,55.27476115735731,12.0
covtypeNorm,AdaptiveRandomForestExecutorRUNPER,25,4,1,1,152860.0,380.5190124511719,91.48763574512625,82.4557012467713,79.54063253304399,0
elecNormNew,AdaptiveRandomForestExecutorRUNPER,25,4,1,1,45312.0,103.11299896240234,88.81973870056498,88.78706356322759,88.25655437590282,0
covtypeNorm,OzaBagAdwinExecutorRUNPER,25,4,1,1,115970.0,275.2460021972656,89.2110028455635,80.77984522971751,79.96937361636833,0
GMSC,AdaptiveRandomForestExecutorRUNPER,25,4,1,1,150000.0,214.08299255371094,93.522,76.93543498029706,54.40222496822249,0
elecNormNew,OzaBagASHT,25,1,1,1,45312.0,30.347000122070312,83.25609110169492,83.11881428592338,82.42590483712999,0
airlines,LBagExecutorRUNPER,25,4,1,1,249690.0,1645.0389404296875,64.75189234650968,60.97581570375456,58.960230646876596,1415.0
GMSC,OzaBagASHT,25,1,1,1,150000.0,66.3290023803711,93.32666666666667,75.5,51.7,
elecNormNew,StreamingRandomPatchesExecutorRUNPER,25,4,1,1,45312.0,177.39500427246094,89.39795197740112,89.40278874909745,88.83256543959335,0
covtypeNorm,OzaBagASHTExecutorRUNPER,25,4,1,1,97330.0,225.6510009765625,86.45638549265385,72.00919461297602,74.6155982942022,0
covtypeNorm,OzaBagAdwin,25,1,1,1,33570.0,120.81999969482422,79.71403038427167,74.59327497689415,75.07763820946127,287.0
airlines,AdaptiveRandomForestSequential,25,1,1,1,8250.0,126.21600341796875,65.26060606060607,63.279250582301,60.44943224264663,0
GMSC,LeveragingBag,25,1,1,1,87400.0,121.86199951171875,93.4908466819222,74.86923280373206,54.24048380304784,0.0
elecNormNew,AdaptiveRandomForestSequential,25,1,1,1,37780.0,121.61399841308594,88.5865537321334,88.57443055632447,87.8253537422622,0
elecNormNew,OzaBagAdwin,25,1,1,1,45312.0,37.03799819946289,84.8583156779661,85.11547236806389,83.78055422219614,322.0
GMSC,OzaBagASHTExecutorRUNPER,25,4,1,1,150000.0,78.14700317382812,93.40333333333334,75.9,51.6,
elecNormNew,OzaBagAdwinExecutorRUNPER,25,4,1,1,45312.0,39.24599838256836,86.1912959039548,86.27739107967945,85.34499267874793,0
GMSC,AdaptiveRandomForestSequential,25,1,1,1,63110.0,122.25,93.41942639835207,74.60387119274587,53.41175817760133,0
covtypeNorm,AdaptiveRandomForestSequential,25,1,1,1,25170.0,121.3280029296875,81.64878823996821,79.52178243603508,79.12047216523064,0
airlines,OzaBagExecutorRUNPER,25,4,1,1,302370.0,375.3800048828125,65.94271918510434,64.33234591730763,61.16336795594345,0
covtypeNorm,LBagExecutorRUNPER,25,4,1,1,136800.0,465.3349914550781,93.24269005847952,82.85892426544737,82.0939506736828,664.0
covtypeNorm,OzaBag,25,1,1,1,36440.0,120.4749984741211,74.95334796926456,68.07616834877342,70.97227254399431,0
elecNormNew,LBagExecutorRUNPER,25,4,1,1,45312.0,65.76799774169922,89.92761299435028,89.9378777992823,89.38888370829405,290.0
airlines,OzaBagASHTExecutorRUNPER,25,4,1,1,313820.0,565.3560180664062,67.10120451214073,66.27281115674836,62.52920261518503,0
elecNormNew,OzaBagExecutorRUNPER,25,4,1,1,45312.0,32.62099838256836,82.3049081920904,81.92766159670064,81.78756771204979,0
