dataset,algorithm,ensemble_size,cores,batch_size,inc_rate,instances,time,acc,prec,recall
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,3,50,1,581012.0,952.0280151367188,89.40670818401205,86.09507641202427,74.9062462983477,0
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,3,50,1,581012.0,784.5830078125,84.34734113418779,73.66751271981983,74.22396498408717,0
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,3,50,1,45312.0,65.49199676513672,80.15774822146614,79.92861891174799,79.18518412429103,0
airlines,LBagExecutorMAXChunk,25,3,50,1,539383.0,3084.465087890625,63.76357463756158,63.2850426616681,62.364075491908835,10747.0
airlines,StreamingRandomPatchesExecutorMAXChunk,25,3,50,1,539383.0,2777.45703125,67.67025195936462,67.4260961435316,66.45389684291476,0
airlines,OzaBagAdwinExecutorMAXChunk,25,3,50,1,539383.0,1006.9520263671875,67.05189558213571,66.97141959848652,65.56862454188558,0
GMSC,OzaBagExecutorMAXChunk,25,3,50,1,150000.0,40.5890007019043,93.49383127709237,78.39589398527636,53.063966993727504,0
elecNormNew,OzaBagASHTExecutorMAXChunk,25,3,50,1,45312.0,18.72599983215332,79.09062789978348,78.8035397979688,78.10102032129265,0
airlines,AdaptiveRandomForestExecutorMAXChunk,25,3,50,1,539383.0,2804.781005859375,66.12853283592882,65.72489014393702,64.99868550607218,0
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,3,50,1,45312.0,22.670000076293945,79.89041580133446,79.89941153967541,78.62793827040275,0
elecNormNew,AdaptiveRandomForestSequential,25,1,1,1
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,3,50,1,150000.0,121.53700256347656,93.56385461820607,77.42196305420642,54.93100681045865,0
airlines,OzaBagExecutorMAXChunk,25,3,50,1,539383.0,313.84600830078125,65.0121539012076,65.84875411784402,62.65839791139428,0
elecNormNew,OzaBagExecutorMAXChunk,25,3,50,1,45312.0,17.447999954223633,78.77468958508241,78.388833799532,77.92484106337287,0
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,3,50,1,150000.0,231.46299743652344,93.50983661220407,79.35248844652014,53.01233076494761,0
airlines,OzaBagASHTExecutorMAXChunk,25,3,50,1,539383.0,362.06201171875,66.22754402196787,67.37357790025254,63.894752222498354,0
GMSC,LBagExecutorMAXChunk,25,3,50,1,150000.0,89.3489990234375,93.33911303767923,72.60233431572306,52.61516311248066,2149.0
covtypeNorm,OzaBagExecutorMAXChunk,25,3,50,1,581012.0,760.8150024414062,83.12815640265629,72.9926092900137,71.66190924958767,0
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,3,50,1,581012.0,1073.717041015625,81.99503581989872,75.40995476998053,76.61640974582656,0
covtypeNorm,LBagExecutorMAXChunk,25,3,50,1,581012.0,1338.4420166015625,87.96014197141982,81.86306290596343,77.17402798996685,11604.0
GMSC,OzaBagASHTExecutorMAXChunk,25,3,50,1,150000.0,39.68600082397461,93.40513504501502,75.7,51.1,
elecNormNew,LBagExecutorMAXChunk,25,3,50,1,45312.0,41.16899871826172,81.69325261809023,81.59131364244628,80.69745377551534,902.0
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,3,50,1,581012.0,3078.174072265625,94.13731018551988,91.50217512918523,87.0364972616002,0
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,3,50,1,45312.0,122.5250015258789,81.33091776766382,81.35676629814479,80.17578132492713,0
GMSC,OzaBagAdwinExecutorMAXChunk,25,3,50,1,150000.0,40.672000885009766,93.33711237079027,74.26500683974857,50.78457061151192,0
