dataset,algorithm,ensemble_size,cores,batch_size,inc_rate,instances,time,acc,prec,recall
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,2,50,1,45312.0,27.78700065612793,85.54195572444877,85.90771946246123,84.43317102611758,0
airlines,AdaptiveRandomForestExecutorMAXChunk,25,2,50,1,10000.0,95.3499984741211,65.27638190954774,64.23570659627494,61.89526765589668,0
elecNormNew,OzaBagASHTExecutorMAXChunk,25,2,50,1,45312.0,16.517000198364258,76.51672484644956,78.88449323208985,73.69434640556935,0
GMSC,OzaBagExecutorMAXChunk,25,2,50,1,150000.0,29.743999481201172,93.38312770923642,73.15613276233492,55.227865584399936,0
airlines,OzaBagAdwinExecutorMAXChunk,25,2,50,1,10000.0,35.93199920654297,85.7286432160804,87.05590625780243,83.8270595495025,0
airlines,StreamingRandomPatchesExecutorMAXChunk,25,2,50,1,10000.0,94.04299926757812,65.60804020100502,64.82534557460298,61.96502447056487,0
airlines,LBagExecutorMAXChunk,25,2,50,1,10000.0,112.16699981689453,61.7286432160804,59.86185808231856,58.163379023183126,158.0
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,2,50,1,45312.0,82.0979995727539,88.82727232557112,88.79402552013673,88.26451207836526,0
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,2,50,1,10000.0,14.121999740600586,58.52261306532663,58.79624745364175,57.43829274700404,0
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,2,50,1,10000.0,40.57099914550781,76.73366834170854,76.48445807173513,76.18479427618487,0
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,2,50,1,150000.0,267.6600036621094,93.51650550183395,79.8072548235772,52.983482148546535,0
elecNormNew,OzaBagExecutorMAXChunk,25,2,50,1,45312.0,15.744000434875488,74.59679201095842,77.25848101779827,71.46028392962594,0
airlines,OzaBagExecutorMAXChunk,25,2,50,1,10000.0,16.121999740600586,61.91959798994975,60.282417594946814,57.50866657599717,0
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,2,50,1,150000.0,151.11099243164062,93.53584528176059,77.54163352476624,54.27219313667955,0
covtypeNorm,LBagExecutorMAXChunk,25,2,50,1,10000.0,45.56100082397461,75.37688442211056,75.4280399731475,74.91528243354252,183.0
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,2,50,1,10000.0,37.275001525878906,75.45728643216081,75.74621119787088,75.00529759016882,0
covtypeNorm,OzaBagExecutorMAXChunk,25,2,50,1,10000.0,14.142000198364258,59.07537688442211,58.81756016808934,58.125521695443915,0
GMSC,LBagExecutorMAXChunk,25,2,50,1,150000.0,115.81300354003906,93.35245081693898,73.03936687203367,52.72883868798346,2153.0
airlines,OzaBagASHTExecutorMAXChunk,25,2,50,1,10000.0,14.67199993133545,62.402010050251256,61.12055819595598,57.742642168251535,0
GMSC,OzaBagAdwinExecutorMAXChunk,25,2,50,1,150000.0,54.45399856567383,93.4644881627209,80.7084290676895,52.03390286495774,0
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,2,50,1,45312.0,157.19900512695312,89.47903318456983,89.50706411572669,88.89563428425066,0
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,2,50,1,10000.0,84.11799621582031,82.75376884422111,82.6877632701331,82.4014094861304,0
elecNormNew,LBagExecutorMAXChunk,25,2,50,1,45312.0,56.321998596191406,90.48871017630682,90.48950732032884,89.99201920167752,902.0
GMSC,OzaBagASHTExecutorMAXChunk,25,2,50,1,150000.0,27.983999252319336,93.16038679559854,75.0,51.1,
