dataset,algorithm,ensemble_size,cores,batch_size,rate,instances,time,acc,prec,recall,change
covtypeNorm,OzaBagAdwinExecutorRUNPER,25,2,1,1,59740.0,344.7239990234375,87.20957482423837,80.6612952798471,80.33847896695605,0
GMSC,AdaptiveRandomForestExecutorRUNPER,25,2,1,1,135990.0,413.4700012207031,93.54879035223178,76.64956832608776,54.29287347653361,0
airlines,LBagExecutorRUNPER,25,2,1,1,134060.0,2323.556884765625,65.8041175593018,59.936235914083284,57.649065044529756,747.0
elecNormNew,StreamingRandomPatchesExecutorRUNPER,25,2,1,1,45312.0,409.8080139160156,89.75768008474576,89.7787926026508,89.19829112472065,0
covtypeNorm,OzaBagASHTExecutorRUNPER,25,2,1,1,37580.0,235.19400024414062,75.73177221926557,68.55174926362928,71.44500275744755,0
elecNormNew,OzaBagASHTExecutorRUNPER,25,2,1,1,45312.0,70.94499969482422,83.35981638418079,83.12334923993745,82.668029027435,0
covtypeNorm,StreamingRandomPatchesExecutorRUNPER,25,2,1,1,29640.0,578.1539916992188,88.36369770580296,85.7220716710887,85.76389244255134,0
covtypeNorm,AdaptiveRandomForestExecutorRUNPER,25,2,1,1,77040.0,433.2380065917969,90.09605399792315,82.27834368922238,81.50782574381104,0
elecNormNew,AdaptiveRandomForestExecutorRUNPER,25,2,1,1,45312.0,216.68499755859375,88.81973870056498,88.78706356322759,88.25655437590282,0
GMSC,OzaBagASHTExecutorRUNPER,25,2,1,1,150000.0,166.1820068359375,93.40333333333334,76.96159276000971,51.81075754540616,0
elecNormNew,OzaBagAdwinExecutorRUNPER,25,2,1,1,45312.0,90.5009994506836,86.1912959039548,86.27739107967945,85.34499267874793,0
airlines,OzaBagExecutorRUNPER,25,2,1,1,201870.0,542.9459838867188,67.23386337742112,62.88718516895309,60.46784069792651,0
covtypeNorm,LBagExecutorRUNPER,25,2,1,1,62720.0,478.468994140625,90.76849489795919,82.60070900950959,82.33650985238036,393.0
elecNormNew,LBagExecutorRUNPER,25,2,1,1,45312.0,147.906005859375,89.92761299435028,89.9378777992823,89.38888370829405,290.0
GMSC,OzaBagExecutorRUNPER,25,2,1,1,150000.0,169.2899932861328,93.5,76.8641962933262,53.959863384733744,0
GMSC,OzaBagAdwinExecutorRUNPER,25,2,1,1,150000.0,203.7550048828125,93.47999999999999,77.54057803871719,53.1620769410737,0
airlines,OzaBagAdwinExecutorRUNPER,25,2,1,1,142320.0,1372.697021484375,68.45067453625633,63.41123128581161,59.521369834380145,0
covtypeNorm,OzaBagExecutorRUNPER,25,2,1,1,35750.0,231.3470001220703,74.84195804195805,68.14688911608727,71.18521559602249,0
elecNormNew,OzaBagExecutorRUNPER,25,2,1,1,45312.0,69.31400299072266,82.3049081920904,81.92766159670064,81.78756771204979,0
airlines,OzaBagASHTExecutorRUNPER,25,2,1,1,174350.0,741.156982421875,68.7135073128764,64.65061775480532,61.49015774331584,0
GMSC,LBagExecutorRUNPER,25,2,1,1,150000.0,359.12701416015625,93.542,76.36127805321364,55.40372369060213,4.0
GMSC,StreamingRandomPatchesExecutorRUNPER,25,2,1,1,90270.0,503.4960021972656,93.52830397695801,78.29523248339405,52.62146350366945,0
airlines,StreamingRandomPatchesExecutorRUNPER,25,2,1,1,84080.0,1419.33203125,69.27450047573738,66.05450677477745,61.87550530553466,0
airlines,AdaptiveRandomForestExecutorRUNPER,25,2,1,1,117740.0,1804.699951171875,67.33905214880245,63.0766546377723,61.31108071574902,0
