dataset,algorithm,ensemble_size,cores,batch_size,inc_rate,instances,time,acc,prec,recall
elecNormNew,OzaBagExecutorMAXChunk,25,4,50,1,45312.0,17.125999450683594,78.47863549997791,78.10000807263091,77.58296435351578,0
airlines,OzaBagExecutorMAXChunk,25,4,50,1,539383.0,304.3890075683594,65.04126393155991,65.88250967889729,62.68935292865565,0
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,50,1,150000.0,227.2519989013672,93.49516505501833,78.93785331588286,52.90257223371633,0
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,50,1,150000.0,119.48699951171875,93.49783261087029,76.0336541703714,54.58067604309226,0
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,50,1,45312.0,18.628999710083008,79.24970173655606,78.96491095580855,78.27199803794018,0
GMSC,OzaBagExecutorMAXChunk,25,4,50,1,150000.0,39.53499984741211,93.43447815938646,77.27508779593836,52.3466736908719,0
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,50,1,45312.0,22.065000534057617,79.92797490168353,79.91639909878458,78.68856251066163,0
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,50,1,539383.0,2857.219970703125,66.07457730196373,65.66266642810939,64.95687439619815,0
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,50,1,539383.0,2862.1240234375,67.72402207912366,67.47558627017102,66.52010580980547,0
airlines,LBagExecutorMAXChunk,25,4,50,1,539383.0,3129.072998046875,63.76209132391305,63.28418572412853,62.360731935059185,10746.0
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,50,1,45312.0,65.05000305175781,80.6614820379126,80.47541649785903,79.67745656767984,0
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,50,1,581012.0,780.8330078125,84.25697377797515,73.99398019574839,74.1143132215247,0
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,50,1,581012.0,957.1279907226562,89.49191169129823,86.63477037184059,75.32635881307607,0
airlines,OzaBagAdwinExecutorMAXChunk,25,4,50,1,539383.0,1028.885986328125,67.13959650160476,67.06291010017674,65.66268372295505,0
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,50,1,581012.0,3079.011962890625,94.21029258368017,91.34320368511446,86.96356985298156,0
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,50,1,150000.0,41.03499984741211,93.37179059686562,75.54482256810503,51.48864282923803,0
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,50,1,45312.0,119.52899932861328,81.12323803632185,81.03012047397851,80.07044616800198,0
GMSC,OzaBagASHTExecutorMAXChunk,25,4,50,1,150000.0,38.32600021362305,93.41913971323774,75.7,51.5,
elecNormNew,LBagExecutorMAXChunk,25,4,50,1,45312.0,40.34000015258789,81.30661482037912,81.16140870869738,80.3280814063967,902.0
covtypeNorm,OzaBagExecutorMAXChunk,25,4,50,1,581012.0,725.3389892578125,83.02780560518588,71.9148710913576,71.03293108575158,0
GMSC,LBagExecutorMAXChunk,25,4,50,1,150000.0,89.70899963378906,93.42314104701566,74.95146058112758,53.43831145090087,1089.0
airlines,OzaBagASHTExecutorMAXChunk,25,4,50,1,539383.0,364.30999755859375,66.20084437629443,67.36290449309979,63.858109689711064,0
covtypeNorm,LBagExecutorMAXChunk,25,4,50,1,581012.0,1278.916015625,87.79834137172483,81.72711208807948,76.86934745260298,11604.0
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,50,1,581012.0,1042.8570556640625,81.91000444091007,75.22208614540364,76.45981080711967,0
