dataset,algorithm,ensemble_size,cores,batch_size,inc_rate,instances,time,acc,prec,recall
GMSC,StreamingRandomPatches,25,1,1,1,150000.0,636.052001953125,93.522,79.90445505127572,53.04568638493067,0
elecNormNew,LeveragingBag,25,1,1,1,45312.0,102.41999816894531,89.84595692090396,89.84932541092364,89.30907356294604,280.0
airlines,LeveragingBag,25,1,1,1,10000.0,223.18099975585938,61.39,59.4139081027668,57.541301090886336,21.0
elecNormNew,OzaBagASHT,25,1,1,1,45312.0,40.784000396728516,83.25609110169492,83.11881428592338,82.42590483712999,0
GMSC,OzaBagASHT,25,1,1,1,150000.0,78.90699768066406,93.32666666666667,75.0,51.8,
covtypeNorm,OzaBagAdwin,25,1,1,1,10000.0,66.06700134277344,69.81,69.52567802117142,69.26629955300523,66.0
airlines,AdaptiveRandomForestSequential,25,1,1,1,10000.0,179.01499938964844,65.3,64.22782715207353,61.92538013758764,0
GMSC,LeveragingBag,25,1,1,1,150000.0,222.61300659179688,93.51533333333333,75.9147805908734,55.20424234210821,4.0
elecNormNew,AdaptiveRandomForestSequential,25,1,1,1,45312.0,164.093994140625,88.81532485875707,88.8066603106365,88.22749962856713,0
elecNormNew,OzaBagAdwin,25,1,1,1,45312.0,49.42599868774414,84.8583156779661,85.11547236806389,83.78055422219614,322.0
GMSC,AdaptiveRandomForestSequential,25,1,1,1,150000.0,315.13800048828125,93.52133333333333,76.7558962264151,54.52687302096807,0
covtypeNorm,AdaptiveRandomForestSequential,25,1,1,1,10000.0,75.70999908447266,76.97,76.61118430218686,76.37188298037651,0
covtypeNorm,OzaBag,25,1,1,1,10000.0,55.196998596191406,63.99,62.718957003301,63.033194704821916,0
GMSC,OzaBag,25,1,1,1,150000.0,78.3740005493164,93.446,78.88636944103557,52.11140840493101,0
GMSC,OzaBagAdwin,25,1,1,1,150000.0,98.1050033569336,93.446,78.88636944103557,52.11140840493101,0.0
covtypeNorm,StreamingRandomPatches,25,1,1,1,10000.0,168.322998046875,82.74000000000001,82.69218753895113,82.41843881230253,0
elecNormNew,OzaBag,25,1,1,1,45312.0,38.10300064086914,82.76174081920904,82.46197216774107,82.12315452938023,0
airlines,OzaBagAdwin,25,1,1,1,10000.0,72.88400268554688,63.91,62.85618986199337,59.793553398852396,55.0
airlines,OzaBag,25,1,1,1,10000.0,74.69599914550781,63.49,62.40908019365001,59.17564132866844,0
airlines,OzaBagASHT,25,1,1,1,10000.0,71.43299865722656,64.07000000000001,63.242047888247455,59.744986555683596,0
elecNormNew,StreamingRandomPatches,25,1,1,1,45312.0,302.0589904785156,90.02030367231639,89.99769579977202,89.51985993355026,0
covtypeNorm,OzaBagASHT,25,1,1,1,10000.0,53.584999084472656,63.99,62.718957003301,63.033194704821916,0
covtypeNorm,LeveragingBag,25,1,1,1,10000.0,87.25700378417969,74.83,75.02200919115438,74.35457774658663,97.0
airlines,StreamingRandomPatches,25,1,1,1,10000.0,174.89300537109375,65.47,64.6215892450906,61.80350745783456,0
