dataset,algorithm,ensemble_size,cores,batch_size,rate,instances,time,acc,prec,recall,change
GMSC,StreamingRandomPatches,25,1,1,1,36800.0,146.51800537109375,93.5,76.32889232004929,51.86601034350444,0
elecNormNew,LeveragingBag,25,1,1,1,45312.0,101.78500366210938,89.84595692090396,89.84932541092364,89.30907356294604,280.0
airlines,LeveragingBag,25,1,1,1,5880.0,152.28199768066406,64.30272108843538,57.94419908867858,55.41745640564359,12.0
elecNormNew,OzaBagASHT,25,1,1,1,45312.0,41.12300109863281,83.25609110169492,83.11881428592338,82.42590483712999,0
GMSC,OzaBagASHT,25,1,1,1,150000.0,79.36000061035156,93.32666666666667,75.7,51.3,
covtypeNorm,OzaBagAdwin,25,1,1,1,29250.0,134.33200073242188,78.91282051282052,74.47695767745117,75.3619509248746,237.0
airlines,AdaptiveRandomForestSequential,25,1,1,1,8430.0,156.2949981689453,65.32621589561091,63.51242084099648,60.70424817540222,0
GMSC,LeveragingBag,25,1,1,1,87690.0,136.9929962158203,93.48956551488197,74.85076177225383,54.24982132603775,0.0
elecNormNew,AdaptiveRandomForestSequential,25,1,1,1,38620.0,143.58999633789062,88.6017607457276,88.5793657521646,87.852082137534,0
elecNormNew,OzaBagAdwin,25,1,1,1,45312.0,49.47700119018555,84.8583156779661,85.11547236806389,83.78055422219614,322.0
GMSC,AdaptiveRandomForestSequential,25,1,1,1,64610.0,144.75799560546875,93.41742764277976,74.70244065861964,53.440216721615876,0
covtypeNorm,AdaptiveRandomForestSequential,25,1,1,1,25400.0,143.6199951171875,81.78740157480316,79.5790214870221,79.18547681517448,0
covtypeNorm,OzaBag,25,1,1,1,36700.0,135.06300354003906,75.04904632152588,68.13677430852798,71.01207292376343,0
GMSC,OzaBag,25,1,1,1,150000.0,78.40799713134766,93.446,78.88636944103557,52.11140840493101,0
GMSC,OzaBagAdwin,25,1,1,1,150000.0,97.7969970703125,93.446,78.88636944103557,52.11140840493101,0.0
covtypeNorm,StreamingRandomPatches,25,1,1,1,8390.0,144.9739990234375,82.76519666269368,82.87045514159959,81.97642227455388,0
elecNormNew,OzaBag,25,1,1,1,45312.0,38.03900146484375,82.76174081920904,82.46197216774107,82.12315452938023,0
airlines,OzaBagAdwin,25,1,1,1,21470.0,149.95700073242188,64.26641825803446,62.732080693610094,61.52541171508534,55.0
airlines,OzaBag,25,1,1,1,21850.0,154.59500122070312,63.546910755148744,61.81667693040338,60.53950460564206,0
airlines,OzaBagASHT,25,1,1,1,22980.0,152.57899475097656,64.94342906875545,63.19678198168226,61.61752253782819,0
elecNormNew,StreamingRandomPatches,25,1,1,1,20980.0,143.76499938964844,91.47759771210677,91.52317754429149,91.13848017930842,0
covtypeNorm,OzaBagASHT,25,1,1,1,31570.0,132.8209991455078,73.56667722521381,67.78925609465335,70.82452278063033,0
covtypeNorm,LeveragingBag,25,1,1,1,17870.0,139.16200256347656,76.7599328483492,77.09125943759388,76.98329269135549,176.0
airlines,StreamingRandomPatches,25,1,1,1,8620.0,153.75399780273438,65.52204176334106,64.06167299556824,60.569684801138926,0
