dataset,algorithm,ensemble_size,cores,batch_size,instances,time,acc,prec,recall,change
elecNormNew,LBagExecutorMAXChunk,25,4,2000,163,19168.0,119.83200073242188,77.97646784715751,?,38.40379470389635,10.0
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,50,102,11980.0,119.81400299072266,70.76278290025147,59.59487018653977,?,0
covtypeNorm,LBagExecutorMAXChunk,25,4,500,70,8400.0,120.0,53.075949367088604,45.11404204265038,?,16.0
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,500,32,3600.0,119.96399688720703,49.54838709677419,?,?,0
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,500,95,11382.0,120.0009994506836,93.40194817129203,66.76245740075528,50.62750870733414,0
elecNormNew,LBagExecutorMAXChunk,25,4,2000,32,3600.0,119.9729995727539,74.3125,75.07975248785618,71.89561617363817,2.0
elecNormNew,LBagExecutorMAXChunk,25,4,2000,152,17970.0,119.82599639892578,77.31997495303695,77.28722436722774,76.56025774735082,9.0
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,85,10184.0,120.00800323486328,79.69208211143695,80.6388839497824,78.5534726164896,0
GMSC,LBagExecutorMAXChunk,25,4,2000,42,4800.0,119.9729995727539,92.96428571428571,63.83509925709414,55.16560421286031,0.0
GMSC,LBagExecutorMAXChunk,25,4,50,205,24559.0,119.88300323486328,93.52890774817413,72.2085348375761,52.52457048561388,0.0
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,50,100,11980.0,119.80599975585938,83.2606873428332,83.18681981217253,82.69989577384156,0
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,155,18569.0,119.81600189208984,93.51801557124752,72.88505677333171,52.25694517218628,0
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,500,429,45312.0,106.87899780273438,77.55065607426582,77.37365963738019,76.26660827285401,0
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,50,4,2400.0,120.0530014038086,78.42553191489363,77.84258451315435,76.92404214904846,0
