dataset,algorithm,ensemble_size,cores,batch_size,rate,instances,time,acc,prec,recall,change
elecNormNew,OzaBagASHTExecutorRUNPER,25,4,1,1,45312.0,66.55500030517578,83.35981638418079,83.12334923993745,82.668029027435,0
covtypeNorm,StreamingRandomPatchesExecutorRUNPER,25,4,1,1,31330.0,527.875,88.81583147143313,85.93118788658636,85.91841478247079,0
GMSC,StreamingRandomPatches,25,1,1,1,18050.0,122.08999633789062,93.60664819944598,74.13574477758974,51.220215247037174,0
elecNormNew,LeveragingBag,25,1,1,1,30200.0,121.48500061035156,89.97019867549669,90.03541189767827,89.36131757155201,177.0
airlines,LeveragingBag,25,1,1,1,3550.0,125.09400177001953,68.53521126760563,56.512121212121215,54.22143830630159,12.0
covtypeNorm,AdaptiveRandomForestExecutorRUNPER,25,4,1,1,80310.0,394.3380126953125,90.25277051425725,82.3045682041176,81.49311237605914,0
elecNormNew,AdaptiveRandomForestExecutorRUNPER,25,4,1,1,45312.0,174.5229949951172,88.81973870056498,88.78706356322759,88.25655437590282,0
covtypeNorm,OzaBagAdwinExecutorRUNPER,25,4,1,1,62250.0,301.4110107421875,87.3975903614458,80.74136354389479,80.37515067204116,0
GMSC,AdaptiveRandomForestExecutorRUNPER,25,4,1,1,150000.0,388.4410095214844,93.522,76.93543498029706,54.40222496822249,0
elecNormNew,OzaBagASHT,25,1,1,1,45312.0,57.6870002746582,83.25609110169492,83.11881428592338,82.42590483712999,0
airlines,LBagExecutorRUNPER,25,4,1,1,159820.0,1722.1190185546875,65.77900137654862,59.94438846865297,57.68243804770849,894.0
GMSC,OzaBagASHT,25,1,1,1,146660.0,121.52400207519531,93.34310650484113,75.0,51.9,
elecNormNew,StreamingRandomPatchesExecutorRUNPER,25,4,1,1,45312.0,308.5920104980469,89.453125,89.46885853247433,88.88050407813601,0
covtypeNorm,OzaBagASHTExecutorRUNPER,25,4,1,1,36200.0,199.36399841308594,75.26795580110497,68.36693694231103,71.33053494510635,0
covtypeNorm,OzaBagAdwin,25,1,1,1,11790.0,120.83599853515625,70.82273112807464,71.07482311787122,71.14380325726823,88.0
airlines,AdaptiveRandomForestSequential,25,1,1,1,4400.0,124.9010009765625,68.45454545454545,60.27084987179586,56.7583138367264,0
GMSC,LeveragingBag,25,1,1,1,43580.0,121.84100341796875,93.35474988526848,72.50011479882626,52.82397409464005,0.0
elecNormNew,AdaptiveRandomForestSequential,25,1,1,1,17800.0,121.74400329589844,89.53932584269663,89.47942034225879,89.2368886491987,0
elecNormNew,OzaBagAdwin,25,1,1,1,45312.0,71.76499938964844,84.8583156779661,85.11547236806389,83.78055422219614,322.0
GMSC,OzaBagASHTExecutorRUNPER,25,4,1,1,150000.0,150.7530059814453,93.40333333333334,75.6,51.8,
elecNormNew,OzaBagAdwinExecutorRUNPER,25,4,1,1,45312.0,76.5999984741211,86.1912959039548,86.27739107967945,85.34499267874793,0
GMSC,AdaptiveRandomForestSequential,25,1,1,1,33080.0,121.8759994506836,93.52478839177752,73.33754768381576,52.82728571020605,0
covtypeNorm,AdaptiveRandomForestSequential,25,1,1,1,10930.0,121.66799926757812,76.71546203110704,76.3413753243692,76.4526628417893,0
airlines,OzaBagExecutorRUNPER,25,4,1,1,208790.0,433.93499755859375,67.0156616696202,62.87442737736061,60.38213229978311,0
covtypeNorm,LBagExecutorRUNPER,25,4,1,1,70080.0,465.260986328125,91.22574200913242,82.66865216023638,82.4337959322448,434.0
covtypeNorm,OzaBag,25,1,1,1,13610.0,120.66000366210938,64.93019838354151,64.34065769404569,64.93180615894138,0
