dataset,algorithm,ensemble_size,cores,batch_size,rate,instances,time,acc,prec,recall,change
airlines,OzaBagAdwinExecutorMAXChunk,25,4,25,717,119800.0,600.0150146484375,69.06449592986851,65.83804165590593,59.70771572073691,0
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,25,236,23200.0,599.5640258789062,68.04314994606257,66.83329270047845,64.69928398245672,0
airlines,LBagExecutorMAXChunk,25,4,100,217,9800.0,2037.1419677734375,61.78350515463917,59.91989771135382,57.9569121473551,77.0
covtypeNorm,OzaBagExecutorMAXChunk,25,4,50,2675,246800.0,599.843017578125,80.50212765957447,59.378351699240426,51.915569309970714,0
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,50,918,45300.0,149.35400390625,88.48839779005525,88.45167571448258,87.91689843118264,0
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,100,264,48600.0,599.801025390625,91.80618556701032,74.2732642527056,?,0
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,500,494,45000.0,454.24798583984375,89.65842696629214,89.68686844788174,89.08066313723562,0
airlines,OzaBagAdwinExecutorMAXChunk,25,4,50,683,91700.0,599.8049926757812,68.61320240043645,65.73976091811691,59.621101596131766,0
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,2000,3314,578000.0,555.47998046875,76.11614583333333,61.70320916581116,49.18510822433752,0
elecNormNew,OzaBagExecutorMAXChunk,25,4,100,4482,44000.0,129.3300018310547,78.3120728929385,78.21081517851965,77.02185173056438,0
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,25,253,25850.0,599.5960083007812,87.06292352371733,72.32135662700028,?,0
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,500,266,31500.0,606.3460083007812,68.05483870967743,66.50317972615628,63.6166716658199,0
elecNormNew,OzaBagExecutorMAXChunk,25,4,500,4455,43000.0,22.19700050354004,73.84705882352941,76.08382365598419,70.82906929203835,0
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,500,1019,131000.0,599.8790283203125,93.5095785440613,78.98437413969674,52.73522054995381,0
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,100,513,45300.0,332.20001220703125,89.67256637168141,89.69551784231908,89.11260581838414,0
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,100,1763,150000.0,503.0840148925781,93.53368912608406,76.93952247095147,54.65693752227,0
