dataset,algorithm,ensemble_size,cores,batch_size,inc_rate,instances,time,acc,prec,recall
GMSC,StreamingRandomPatches,25,1,1,1,150000.0,577.5549926757812,93.522,79.90445505127572,53.04568638493067,0
elecNormNew,LeveragingBag,25,1,1,1,45312.0,88.48400115966797,89.84595692090396,89.84932541092364,89.30907356294604,280.0
airlines,LeveragingBag,25,1,1,1,539383.0,7354.42578125,63.41634793829246,62.91507110787744,61.991288327085805,3011.0
elecNormNew,OzaBagASHT,25,1,1,1,45312.0,30.45400047302246,83.25609110169492,83.11881428592338,82.42590483712999,0
GMSC,OzaBagASHT,25,1,1,1,150000.0,66.74099731445312,93.32666666666667,75.2,51.7,
covtypeNorm,OzaBagAdwin,25,1,1,1,581012.0,1987.9310302734375,84.55642912710925,75.43407692106378,81.65332087025419,4234.0
airlines,AdaptiveRandomForestSequential,25,1,1,1,539383.0,6018.76904296875,66.23289944251115,65.82927453668681,65.11915232884571,0
GMSC,LeveragingBag,25,1,1,1,150000.0,203.56500244140625,93.51533333333333,75.9147805908734,55.20424234210821,4.0
elecNormNew,AdaptiveRandomForestSequential,25,1,1,1,45312.0,142.0959930419922,88.81532485875707,88.8066603106365,88.22749962856713,0
elecNormNew,OzaBagAdwin,25,1,1,1,45312.0,37.15999984741211,84.8583156779661,85.11547236806389,83.78055422219614,322.0
GMSC,AdaptiveRandomForestSequential,25,1,1,1,150000.0,281.6990051269531,93.52133333333333,76.7558962264151,54.52687302096807,0
covtypeNorm,AdaptiveRandomForestSequential,25,1,1,1,581012.0,2323.462890625,92.43113739475261,89.39694015094706,81.69331904034965,0
covtypeNorm,OzaBag,25,1,1,1,581012.0,1176.93701171875,84.32424803618514,74.67603694255394,73.77059188917288,0
GMSC,OzaBag,25,1,1,1,150000.0,66.73400115966797,93.446,78.88636944103557,52.11140840493101,0
GMSC,OzaBagAdwin,25,1,1,1,150000.0,87.14700317382812,93.446,78.88636944103557,52.11140840493101,0.0
covtypeNorm,StreamingRandomPatches,25,1,1,1,581012.0,7474.15283203125,95.5747901936621,93.13848474442669,90.30099413484598,0
elecNormNew,OzaBag,25,1,1,1,45312.0,27.533000946044922,82.76174081920904,82.46197216774107,82.12315452938023,0
airlines,OzaBagAdwin,25,1,1,1,539383.0,2204.14501953125,66.5779232938376,66.27620329105534,65.31263313582426,1557.0
airlines,OzaBag,25,1,1,1,539383.0,515.9710083007812,64.98128417098796,65.8048589731187,62.628656093822165,0
airlines,OzaBagASHT,25,1,1,1,539383.0,745.9299926757812,66.2392029411383,67.36028268401662,63.917558294586875,0
elecNormNew,StreamingRandomPatches,25,1,1,1,45312.0,277.02801513671875,90.02030367231639,89.99769579977202,89.51985993355026,0
covtypeNorm,OzaBagASHT,25,1,1,1,581012.0,1529.1510009765625,85.10237310072769,75.75488219035341,76.57529992996442,0
covtypeNorm,LeveragingBag,25,1,1,1,581012.0,2904.241943359375,92.55282162846895,85.56689679770511,86.66174136105023,3966.0
airlines,StreamingRandomPatches,25,1,1,1,539383.0,6664.4267578125,67.82323506673366,67.59139872580673,66.60617884753192,0
