dataset,algorithm,ensemble_size,cores,batch_size,instances,time,acc,prec,recall,change
elecNormNew,OzaBagASHTExecutorRUNPER,25,4,1,1,45312.0,33.85499954223633,83.35981638418079,83.12334923993745,82.668029027435,0
airlines,OzaBagExecutorMAXChunk,25,4,75,1,539383.0,297.72900390625,65.02221365156831,65.84998690376234,62.67500918556054,0
covtypeNorm,StreamingRandomPatchesExecutorRUNPER,25,4,1,1,63130.0,521.8939819335938,93.08252811658483,87.60608146118301,87.39656397606097,0
elecNormNew,OzaBagExecutorMAXChunk,25,4,50,1,45312.0,17.586999893188477,78.77468958508241,78.41228760043994,77.87909775075708,0
airlines,OzaBagExecutorMAXChunk,25,4,50,1,539383.0,298.3240051269531,65.05146171289353,65.89161281135415,62.70149544321807,0
GMSC,StreamingRandomPatches,25,1,1,1,36540.0,122.27400207519531,93.50848385331145,76.33369466617745,51.881678717525695,0
elecNormNew,LeveragingBag,25,1,1,1,45312.0,87.04499816894531,89.84595692090396,89.84932541092364,89.30907356294604,280.0
elecNormNew,OzaBagExecutorMAXChunk,25,4,75,1,45312.0,16.110000610351562,78.36505515396689,77.95175206429656,77.53680402005949,0
airlines,LeveragingBag,25,1,1,1,5900.0,126.98899841308594,64.2542372881356,57.996836147898975,55.46002730582524,12.0
GMSC,OzaBagASHTExecutorMAXChunk,25,4,100,1,150000.0,35.0260009765625,93.38492328218813,75.1,51.3,
elecNormNew,OzaBagExecutorMAXChunk,25,4,100,1,45312.0,16.18899917602539,78.39069273644165,78.00552881240095,77.50877945788245,0
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,75,1,150000.0,227.87600708007812,93.49141237285309,79.06354134405458,52.799093567983576,0
covtypeNorm,AdaptiveRandomForestExecutorRUNPER,25,4,1,1,153400.0,382.6570129394531,91.50912646675359,82.4613244336028,79.55184423048598,0
covtypeNorm,LBagExecutorMAXChunk,25,4,100,1,57100.0,120.18299865722656,87.4421052631579,77.77576935389614,75.03647599494242,563.0
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,25,1,150000.0,126.01399993896484,93.52825470911819,76.97345762204253,54.49442606031507,0
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,100,1,22000.0,120.14099884033203,67.51141552511416,66.42739103491014,64.61516077548596,0
elecNormNew,AdaptiveRandomForestExecutorRUNPER,25,4,1,1,45312.0,95.88999938964844,88.81973870056498,88.78706356322759,88.25655437590282,0
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,50,1,150000.0,235.95599365234375,93.50583527842615,79.16647982916132,53.00555510767513,0
covtypeNorm,OzaBagAdwinExecutorRUNPER,25,4,1,1,120480.0,278.3529968261719,89.02058432934928,80.69620743468748,79.76877257695027,0
airlines,OzaBagExecutorMAXChunk,25,4,25,1,539383.0,311.5220031738281,64.98856047374842,65.80459677548573,62.64061181191125,0
GMSC,AdaptiveRandomForestExecutorRUNPER,25,4,1,1,150000.0,217.74000549316406,93.522,76.93543498029706,54.40222496822249,0
elecNormNew,OzaBagASHT,25,1,1,1,45312.0,30.148000717163086,83.25609110169492,83.11881428592338,82.42590483712999,0
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,100,1,16800.0,120.59300231933594,73.58682634730539,74.88806213987527,73.57757003051617,0
elecNormNew,OzaBagExecutorMAXChunk,25,4,25,1,45312.0,17.517000198364258,79.49742751783072,79.10808166750803,78.73096953259103,0
covtypeNorm,OzaBagExecutorMAXChunk,25,4,100,1,89200.0,120.072998046875,82.65207631874298,68.5670193223988,69.783982911256,0
airlines,LBagExecutorRUNPER,25,4,1,1,247600.0,1617.427001953125,64.80008077544427,60.987073932110484,58.971723680222695,1411.0
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,50,1,150000.0,134.9029998779297,93.51650550183395,76.85239050695853,54.33130612737735,0
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,25,1,150000.0,222.9969940185547,93.53025504250708,79.85752643060917,53.17095719858046,0
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,75,1,150000.0,128.302001953125,93.5247623811906,77.29457363564391,54.197487944663905,0
GMSC,OzaBagASHT,25,1,1,1,150000.0,67.30999755859375,93.32666666666667,75.0,51.1,
elecNormNew,StreamingRandomPatchesExecutorRUNPER,25,4,1,1,45312.0,175.66200256347656,89.68705861581921,89.68311372238615,89.14783546468432,0
covtypeNorm,OzaBagASHTExecutorRUNPER,25,4,1,1,95360.0,223.5469970703125,86.29299496644295,71.98620061305368,74.6092784836104,0
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,25,1,76726.0,120.00299835205078,82.29749286189228,70.16900636486747,71.88499767678856,0
GMSC,OzaBagExecutorMAXChunk,25,4,75,1,150000.0,36.47200012207031,93.48874437218609,78.3736505142421,52.978336775575045,0
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,50,1,45312.0,16.714000701904297,79.59436171622995,79.32113617323442,78.63220871720533,0
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,25,1,66576.0,120.01499938964844,87.75525536806359,79.64211228195033,78.11849253489285,0
covtypeNorm,OzaBagAdwin,25,1,1,1,34000.0,120.95700073242188,79.77352941176471,74.58885261201318,75.09313533486196,291.0
airlines,AdaptiveRandomForestSequential,25,1,1,1,8470.0,125.9229965209961,65.33648170011807,63.556799344695314,60.73762396527738,0
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,75,1,45312.0,16.351999282836914,78.99728098680285,78.67143518092313,78.06578158624247,0
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,25,1,20526.0,120.09200286865234,67.43085703136433,66.55842178507913,65.12850248937568,0
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,100,1,45312.0,19.451000213623047,79.12501105901089,79.01758026969921,77.91944971591768,0
GMSC,OzaBagExecutorMAXChunk,25,4,50,1,150000.0,38.349998474121094,93.45515171723908,78.32525071394427,52.40406779146822,0
airlines,LBagExecutorMAXChunk,25,4,25,1,539383.0,3095.77197265625,63.745601251858695,63.21972913353184,62.47968770639589,21491.0
GMSC,LeveragingBag,25,1,1,1,87690.0,121.91799926757812,93.48956551488197,74.85076177225383,54.24982132603775,0.0
elecNormNew,AdaptiveRandomForestSequential,25,1,1,1,38240.0,121.70700073242188,88.60617154811715,88.58746128141465,87.84616948881951,0
airlines,LBagExecutorMAXChunk,25,4,100,1,539383.0,2973.616943359375,63.60983008921105,63.13153715000528,62.177561328647045,5373.0
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,25,1,45312.0,65.7760009765625,81.93521319583986,81.72578680534082,81.08983998246056,0
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,50,1,45312.0,21.115999221801758,80.01634925544607,80.04459666079924,78.7469099651948,0
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,100,1,539383.0,2704.694091796875,66.07458421645036,65.65346856325786,64.9842728907947,0
elecNormNew,OzaBagAdwin,25,1,1,1,45312.0,37.78099822998047,84.8583156779661,85.11547236806389,83.78055422219614,322.0
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,50,1,539383.0,2777.551025390625,66.06864404736962,65.66035287077476,64.94059330649355,0
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,100,1,45312.0,60.30699920654297,79.27983721135982,79.04072529460169,78.24820280055317,0
airlines,OzaBagAdwinExecutorMAXChunk,25,4,25,1,539383.0,952.3189697265625,66.92030154368712,66.70245248185817,65.57776041975674,0
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,75,1,45312.0,19.33799934387207,79.47034507151226,79.39029461947051,78.26419365050113,0
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,75,1,539383.0,2723.156982421875,66.06725655840448,65.65226277610132,64.95760725723905,0
elecNormNew,LBagExecutorMAXChunk,25,4,100,1,45312.0,37.50899887084961,80.10041581880917,79.8790403827911,79.12017162402256,452.0
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,50,1,20950.0,120.1520004272461,67.17703349282297,66.19249895004866,64.68997575374691,0
airlines,LBagExecutorMAXChunk,25,4,50,1,539383.0,3012.39892578125,63.77488490413159,63.29657800619488,62.377384832692684,10746.0
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,75,1,88650.0,120.02200317382812,82.85859441151567,68.64573922678032,70.05361181133574,0
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,100,1,86900.0,120.07499694824219,82.51728110599078,68.56544120745454,69.71916230312743,0
GMSC,OzaBagASHTExecutorRUNPER,25,4,1,1,150000.0,77.9520034790039,93.40333333333334,75.0,51.3,
GMSC,OzaBagExecutorMAXChunk,25,4,25,1,150000.0,43.391998291015625,93.45757626271045,77.67933733482215,52.65036412735218,0
airlines,OzaBagAdwinExecutorMAXChunk,25,4,100,1,539383.0,1016.9660034179688,67.01286708462904,67.0572711953231,65.41016723718292,0
