dataset,algorithm,ensemble_size,cores,batch_size,rate,instances,time,acc,prec,recall,change
covtypeNorm,OzaBagASHT,100,1,1,1,2971.0,60.04999923706055,65.66812521036688,70.41476521286404,69.05495116337886,0
elecNormNew,OzaBagASHTExecutorMAXChunk,150,8,50,1,32500.0,60.01300048828125,77.36209553158706,77.60630553792046,75.56367647839275,0
covtypeNorm,LeveragingBag,100,1,1,1,2296.0,60.00699996948242,71.2979094076655,79.62775982219421,72.76508933056925,5.0
airlines,OzaBagAdwin,100,1,1,1,1472.0,60.02399826049805,73.16576086956522,57.39107569076419,54.18716577540107,0.0
GMSC,StreamingRandomPatches,100,1,1,1,4391.0,60.00199890136719,93.9193805511273,67.86461901499582,50.85856830591098,0
covtypeNorm,AdaptiveRandomForestSequential,100,1,1,1,2607.0,60.00299835205078,72.91906405830456,78.1112406739482,70.41546329720649,0
airlines,OzaBagExecutorMAXChunk,150,8,50,1,4750.0,60.4900016784668,67.87234042553192,59.93480091581358,55.02994131651856,0
elecNormNew,StreamingRandomPatches,100,1,1,1,2742.0,60.0,92.15900802334063,92.2145047408498,91.4915883029798,0
covtypeNorm,OzaBag,100,1,1,1,3405.0,60.01599884033203,65.22760646108664,68.87850457147235,66.42429260494495,0
elecNormNew,OzaBagASHT,100,1,1,1,17931.0,60.005001068115234,87.43516814455413,87.5503396733939,86.87668299259023,0
elecNormNew,OzaBagExecutorMAXChunk,150,8,50,1,33800.0,60.007999420166016,79.73037037037038,79.74070559122939,78.3935475840673,0
elecNormNew,OzaBagASHTExecutorRUNPER,100,8,1,1,17567.0,60.00400161743164,87.95468776683555,88.0793792163907,87.40790203507603,0
GMSC,OzaBagAdwinExecutorMAXChunk,150,8,50,1,47450.0,60.040000915527344,93.415611814346,77.26549092110187,51.466689388915874,0
covtypeNorm,AdaptiveRandomForestExecutorRUNPER,100,8,1,1,5824.0,60.0369987487793,76.80288461538461,77.4215810577977,72.29780331687667,0
covtypeNorm,StreamingRandomPatchesExecutorRUNPER,100,8,1,1,2034.0,60.016998291015625,79.00688298918386,?,68.842216388075,0
elecNormNew,OzaBagAdwinExecutorMAXChunk,150,8,50,1,29450.0,60.07500076293945,81.43197278911565,81.41317675910206,80.29940283023026,0
GMSC,OzaBag,100,1,1,1,32857.0,60.000999450683594,93.56910247435857,76.06128584407763,52.632917399529255,0
airlines,OzaBagAdwinExecutorRUNPER,100,8,1,1,4991.0,60.007999420166016,66.9204568222801,59.890011767188255,56.33238253280006,0
