dataset,algorithm,ensemble_size,cores,batch_size,inc_rate,instances,time,acc,prec,recall
elecNormNew,OzaBagExecutorMAXChunk,25,4,50,1,45312.0,10.73900032043457,77.67001016305069,77.96630475138097,75.96145254509598,0
airlines,OzaBagExecutorMAXChunk,25,4,50,1,539383.0,131.24200439453125,60.26610646854541,59.56071104768286,58.33397996719404,0
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,50,1,150000.0,170.15199279785156,93.49983327775925,79.49911997738288,52.812439569657066,0
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,50,1,150000.0,90.03700256347656,93.5511837279093,77.36703106291061,54.706527821058835,0
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,50,1,45312.0,10.54699993133545,79.09504661747161,79.91532219445834,77.1906758713254,0
GMSC,OzaBagExecutorMAXChunk,25,4,50,1,150000.0,21.815000534057617,93.27309103034345,71.29655059906366,55.24764554912473,0
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,50,1,45312.0,18.113000869750977,85.48672175334718,85.86312012067879,84.36674882463109,0
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,50,1,539383.0,3051.1240234375,66.17284683117852,65.759265771076,65.07622520412029,0
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,50,1,539383.0,3524.697021484375,67.7026994454261,67.45071780311606,66.50153557352401,0
airlines,LBagExecutorMAXChunk,25,4,50,1,539383.0,3752.169921875,63.99033621157986,63.53352785282552,62.58924893051498,10746.0
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,50,1,45312.0,50.51300048828125,88.56435862312757,88.54544905721929,87.97054497430851,0
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,50,1,581012.0,196.6739959716797,77.42296398043246,72.82340608066049,56.93083670296737,0
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,50,1,581012.0,704.1279907226562,92.31739769554636,89.3760449279273,81.5343839181426,0
airlines,OzaBagAdwinExecutorMAXChunk,25,4,50,1,539383.0,1089.04296875,87.43392301231336,87.89054575863938,86.76279600407585,0
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,50,1,581012.0,2337.093017578125,95.52621341843356,93.1048609200548,90.25987107506108,0
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,50,1,150000.0,37.48400115966797,93.38112704234744,82.39007210996189,50.78499568116116,0
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,50,1,45312.0,96.8499984741211,89.56740753833238,89.56985322006152,89.01406250759261,0
GMSC,OzaBagASHTExecutorMAXChunk,25,4,50,1,150000.0,20.285999298095703,93.26308769589863,75.3,51.6,
elecNormNew,LBagExecutorMAXChunk,25,4,50,1,45312.0,34.5629997253418,90.67650567805224,90.69712066893716,90.17156518530842,902.0
covtypeNorm,OzaBagExecutorMAXChunk,25,4,50,1,581012.0,194.56199645996094,75.70236951814404,72.09211718099428,52.94936433405864,0
GMSC,LBagExecutorMAXChunk,25,4,50,1,150000.0,73.83799743652344,93.44781593864622,75.23289099529387,53.9563875659017,1075.0
airlines,OzaBagASHTExecutorMAXChunk,25,4,50,1,539383.0,239.8280029296875,62.00380840779259,61.48639853978857,60.25003247782153,0
covtypeNorm,LBagExecutorMAXChunk,25,4,50,1,581012.0,876.0900268554688,91.89998657399279,85.2777623425686,85.23854872117897,11604.0
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,50,1,581012.0,585.9149780273438,86.5254526113584,80.34034428830897,85.58119213108817,0
