,pontos,distancia,batch_size,PERC,inc_rate
324,"(0.020777091110260448, 0.005604704936161657)",0.02151976376323631,500,50,alto
325,"(0.02172253737494228, 0.002754599376696491)",0.02189649395980692,250,10,medio
326,"(0.015535376252952269, 0.015781977815756843)",0.02214539995344032,2000,90,baixo
327,"(0.02243496589361829, 0.005698535571864213)",0.023147375711117184,500,10,alto
328,"(0.02260433827943297, 0.005552762977112027)",0.023276367537290364,500,10,alto
329,"(0.023782753752222503, 0.002920478536242083)",0.023961397515994434,250,10,medio
330,"(0.024160600511876223, 0.002478134110787172)",0.024287358147100327,250,10,medio
331,"(0.024200158629538705, 0.002845078918266814)",0.024366824818716184,250,50,medio
332,"(0.025387803457948145, 0.001053919104587648)",0.025409669614113808,100,10,medio
333,"(0.025875027420987167, 0.0006065480379343856)",0.02588213562593241,50,50,baixo
334,"(0.025853799089258018, 0.0012265004523977078)",0.0258828752403486,100,50,medio
335,"(0.026639814089089196, 0.00021279447739687006)",0.026640663959271844,25,50,baixo
336,"(0.02682096361432707, 0.0011443986461579705)",0.026845367150821108,100,10,medio
337,"(0.02740074085291279, 0.0005479038906202876)",0.02740621823531734,50,10,baixo
338,"(0.027998946792191896, 0.0011293187225629169)",0.028021712693001546,100,10,medio
339,"(0.019935417037791867, 0.019813344056834558)",0.028106751060647042,2000,10,baixo
340,"(0.019841837633970755, 0.020208773164438188)",0.028321247033006425,2000,50,baixo
341,"(0.02845671240819407, 0.0005881170202070976)",0.028462789088775604,50,10,baixo
342,"(0.020028295650217055, 0.020550584765926076)",0.028695978130637338,2000,10,baixo
343,"(0.028376128993696553, 0.0074427800676921015)",0.029335979134894084,500,10,alto
344,"(0.0293406036447356, 0.0029305318186387858)",0.02948659083341997,250,10,medio
345,"(0.029555454420429172, 0.0005127174022318287)",0.029559901304514156,50,10,baixo
346,"(0.029924843991209045, 0.001187962869877015)",0.02994841471060541,100,10,medio
347,"(0.029454281403920445, 0.007161288160584431)",0.030312352946286772,500,10,alto
348,"(0.03044726392630722, 0.00029657183070272447)",0.0304487082722564,25,10,baixo
349,"(0.030478374246333588, 0.00029489628363660737)",0.030479800860859857,25,10,baixo
350,"(0.030634944253587478, 0.0005931436614054489)",0.030640685841271206,50,10,baixo
351,"(0.022909476473477224, 0.021808920612580007)",0.03163025656827057,2000,10,baixo
352,"(0.03337298422083349, 0.0003284072249589491)",0.03337460002920494,25,10,baixo
353,"(0.033115450092367646, 0.0041871921182266006)",0.03337911941101849,250,90,medio
354,"(0.034543162649717137, 0.0003736469957441105)",0.03454518342580108,25,90,baixo
355,"(0.02396396571788149, 0.025280654133574613)",0.03483364934010249,2000,10,baixo
356,"(0.033937437805736284, 0.00832411782446969)",0.03494339168389171,500,50,alto
357,"(0.03402964114720828, 0.008369357595254851)",0.03504372444768137,500,90,alto
358,"(0.0349098103977378, 0.003939211152441272)",0.035131357026302296,250,10,medio
359,"(0.02564046157671811, 0.024271974799772125)",0.035306685352039645,2000,10,baixo
360,"(0.03608526025224487, 0.00031165175429777824)",0.036086606023401545,25,10,baixo
361,"(0.03686021351235552, 0.0004021312958681009)",0.036862406998940715,25,50,baixo
362,"(0.03780391717440869, 0.004802117891491572)",0.038107695941546185,250,50,medio
363,"(0.038393285703568474, 0.003595724003887269)",0.038561296895047066,250,10,medio
364,"(0.038807582388721354, 0.00039040246640528135)",0.038809546054330124,25,10,baixo
365,"(0.039106406262252535, 0.0015951208069434671)",0.039138924629288016,100,10,medio
366,"(0.03974039038030256, 0.005202573640293555)",0.040079488520457965,250,90,medio
367,"(0.04170214301819638, 0.0017073824603733119)",0.04173708048218149,100,10,medio
368,"(0.04178860415719235, 0.0008528534566535974)",0.04179730609052502,50,10,baixo
369,"(0.04207096768628101, 0.0008511779095874803)",0.042079577301749015,50,10,baixo
370,"(0.02959772603027099, 0.03044301464428136)",0.04245942212035993,2000,10,baixo
371,"(0.04250190434453089, 0.00499313025702892)",0.042794196133065884,250,10,medio
372,"(0.04191394118591414, 0.010689990281827016)",0.04325568584546806,500,50,alto
373,"(0.032311396243751955, 0.03256760832411783)",0.0458767418107901,2000,50,baixo
374,"(0.046961491451968776, 0.0010840789517777554)",0.046974002454198256,50,90,baixo
375,"(0.045963308192244555, 0.011371937937736672)",0.04734919927976597,500,10,alto
376,"(0.04809351816919755, 0.0022636640863241846)",0.04814676172897455,100,50,medio
377,"(0.0483276333927857, 0.0010354880868603598)",0.04833872552028576,50,90,baixo
378,"(0.04882353297090003, 0.0005596327200831071)",0.04882674022031319,25,90,baixo
379,"(0.04741079883326911, 0.01209744981736537)",0.04892986958997934,500,90,alto
380,"(0.048905587523905586, 0.002210046580208438)",0.04895549812784138,100,90,medio
381,"(0.049337424761542424, 0.0004741798197111357)",0.049339703369621915,25,10,baixo
382,"(0.05005538728899252, 0.0010824034047116383)",0.050067088928572284,50,50,baixo
383,"(0.050288024887677356, 0.0011628296638852586)",0.05030146737353562,50,50,baixo
384,"(0.0507124266450511, 0.0006015213967360344)",0.05071599396857386,25,50,baixo
385,"(0.053006788833739375, 0.006502798163600416)",0.05340417630130777,250,50,medio
386,"(0.05366201042139234, 0.002483160751985523)",0.053719432701638065,100,90,medio
387,"(0.05373481696782573, 0.00193860795549747)",0.05376977548187132,100,10,medio
388,"(0.053785082622480725, 0.006474313863476425)",0.0541733500229576,250,90,medio
389,"(0.05383394210711505, 0.0064039408866995075)",0.05421350183923334,250,50,medio
390,"(0.05541569908286977, 0.0025099695050433968)",0.055472512578388054,100,50,medio
391,"(0.05417634460587817, 0.013937200495961932)",0.05594034208439832,500,90,alto
392,"(0.05449957714513265, 0.013457994035052444)",0.05613663253567827,500,50,alto
393,"(0.056587679982156545, 0.0006568144499178982)",0.05659149168368494,25,90,baixo
394,"(0.056930457577746264, 0.000556281625950873)",0.05693317529577054,25,10,baixo
395,"(0.05729690398544239, 0.0011661807580174927)",0.057308770566793475,50,10,baixo
396,"(0.0573721408889519, 0.0012951978821085085)",0.05738675881887358,50,90,baixo
397,"(0.05743020274956738, 0.0006584899969840153)",0.057433977721663546,25,50,baixo
398,"(0.0390926875909484, 0.04242317616701853)",0.05768850924734821,2000,10,baixo
399,"(0.058690078255499996, 0.0026624442880600514)",0.05875043740453119,100,90,medio
400,"(0.05902016855764039, 0.0013588686706209577)",0.059035809646656646,50,50,baixo
401,"(0.05898517289936397, 0.0028115679769444724)",0.05905214252215445,100,50,medio
402,"(0.04142833184607153, 0.04314701249958111)",0.05981614637526588,2000,90,baixo
403,"(0.044618154602279865, 0.04601387352970745)",0.06409412045828275,2000,50,baixo
404,"(0.04590339016260365, 0.047495057136154956)",0.06605226476652289,2000,90,baixo
405,"(0.06659534356218173, 0.007089239636741396)",0.06697161415698569,250,90,medio
406,"(0.08204513655492636, 0.021430246975637546)",0.08479775891940385,500,10,alto
407,"(0.08555373216354223, 0.011765691498274186)",0.08635897511865041,250,10,medio
408,"(0.08889988637992029, 0.024013940551590094)",0.09208615063720516,500,10,alto
409,"(0.09321203502554998, 0.012466070171911129)",0.09404193946923557,250,10,medio
410,"(0.09423236227210137, 0.025687812070641063)",0.09767088505976142,500,10,alto
411,"(0.09988387278514939, 0.0009433329982239201)",0.09988832724450564,25,10,baixo
412,"(0.1034657276494039, 0.004145303441573674)",0.10354873412380929,100,10,medio
413,"(0.10397269448527488, 0.0019922254616132166)",0.10399177929441447,50,10,baixo
414,"(0.0731785862558168, 0.07668811366911296)",0.10600081256540823,2000,10,baixo
415,"(0.10566882143816912, 0.010564324251868235)",0.10619559675914196,250,10,medio
416,"(0.10746745553813403, 0.012786099661539492)",0.1082254052632543,250,10,medio
417,"(0.12123286109074997, 0.025054455279648804)",0.12379471853681401,500,10,alto
418,"(0.13129983979151974, 0.005557789618310378)",0.1314174149598148,100,10,medio
419,"(0.13312481878186017, 0.0051623605107067455)",0.13322487508624511,100,10,medio
420,"(0.11299462357501248, 0.07206695486076203)",0.1340202631685294,2000,10,baixo
421,"(0.13660679475851076, 0.005996782949633055)",0.136738355189533,100,10,medio
422,"(0.13736666184048926, 0.002612177876076539)",0.13739149631056355,50,10,baixo
423,"(0.13785378330121148, 0.002809892429878355)",0.13788241753728014,50,10,baixo
424,"(0.13872306514412067, 0.0013303843704969673)",0.13872944433519946,25,10,baixo
425,"(0.13891126482506344, 0.0013990818002077678)",0.1389183102588805,25,10,baixo
426,"(0.14180089457047285, 0.0030009047954157033)",0.14183264479864113,50,10,baixo
427,"(0.14226537551793034, 0.001477832512315271)",0.1422730510679805,25,10,baixo
428,"(0.12234319486612348, 0.08078817733990148)",0.14661032340170876,2000,10,baixo
429,"(0.12345213190357582, 0.07954994805804096)",0.14686259941719298,2000,10,baixo
430,"(0.8074377272495026, 0.8574310512382293)",1.1777706444861566,2000,90,baixo
431,"(1.0, 1.0)",1.4142135623730951,2000,50,baixo
