,pontos,distancia,batch_size,PERC,inc_rate
55,"(0.0014249945043470008, 0.0003150028484300124)",0.0014593958105799042,500,50,alto
56,"(0.0014657365698042299, 0.00019268791260346503)",0.0014783478358373415,250,50,medio
57,"(0.001478093799197062, 0.0001575014242150062)",0.0014864615628581049,250,50,medio
58,"(0.0014375089876463814, 0.00038537582520693005)",0.0014882696718733627,500,50,alto
59,"(0.0015097288610174738, 3.518648838845883e-05)",0.0015101388422109503,50,50,baixo
60,"(0.001503073253601849, 0.00017593244194229416)",0.0015133345399550712,250,90,medio
61,"(0.0015134555055605864, 1.3404376528936698e-05)",0.0015135148643544204,25,90,baixo
62,"(0.0015174604420753652, 1.3404376528936698e-05)",0.0015175196442134423,25,90,baixo
63,"(0.0011999162326230208, 0.0010304614456620087)",0.0015816604427967655,2000,90,baixo
64,"(0.0016117192037055866, 6.367078851244931e-05)",0.0016129763671248155,100,50,medio
65,"(0.0015642200717966206, 0.00041050903119868636)",0.001617189567647253,500,90,alto
66,"(0.001290058224818336, 0.00111591434603398)",0.0017057300639626077,2000,90,baixo
67,"(0.0011427932926102687, 0.0012901712409101572)",0.0017235191732344244,2000,50,baixo
68,"(0.0016977624323585895, 0.00038705137227304715)",0.0017413230721226327,500,90,alto
69,"(0.001750183511432044, 3.518648838845883e-05)",0.0017505371783123349,50,90,baixo
70,"(0.0017577439096856716, 6.031969438021514e-05)",0.0017587785868514528,100,50,medio
71,"(0.0017087114217668963, 0.00045239770785161353)",0.0017675854742970824,500,50,alto
72,"(0.0017770042706133147, 6.869742971080058e-05)",0.00177833166609236,100,50,medio
73,"(0.0017868977437052141, 0.00021279447739687006)",0.0017995235580756902,250,50,medio
74,"(0.00180070703421695, 1.6755470661170873e-05)",0.0018007849868530892,25,50,baixo
75,"(0.0018383280381187915, 1.6755470661170873e-05)",0.0018384043955372719,25,50,baixo
76,"(0.0018608589609953807, 3.518648838845883e-05)",0.0018611915972521257,50,50,baixo
77,"(0.0012964997883914702, 0.0013672464059515431)",0.0018842171944567694,2000,50,baixo
78,"(0.0018896664419432616, 3.1835394256224655e-05)",0.001889934589908856,50,50,baixo
79,"(0.0018947285158195124, 8.377735330585436e-05)",0.0018965797619890775,100,50,medio
80,"(0.0013134956637361292, 0.0013789752354143629)",0.0019044273571180686,2000,90,baixo
81,"(0.0013512361597122792, 0.0013437887470259039)",0.0019056776631811154,2000,50,baixo
82,"(0.0019066683107614017, 7.204852384303474e-05)",0.0019080290975374817,100,90,medio
83,"(0.0019696006946495316, 2.0106564793405048e-05)",0.0019697033203789115,25,50,baixo
84,"(0.0019306870613682457, 0.0005093663080995945)",0.0019967489989384654,500,50,alto
85,"(0.0020321263727986543, 8.712844743808853e-05)",0.0020339933533266,100,50,medio
86,"(0.0019709989777697318, 0.0005127174022318287)",0.00203659424160059,500,90,alto
87,"(0.0015459673112096523, 0.001327033276364733)",0.0020374082172967007,2000,50,baixo
88,"(0.0020278169135400812, 0.00023122549512415803)",0.002040957291183388,250,50,medio
89,"(0.002043107307266347, 9.550618276867398e-05)",0.0020453383338587742,100,90,medio
90,"(0.00134412866247693, 0.001558258771488891)",0.002057875666850184,2000,50,baixo
91,"(0.002050169352237425, 0.0005143929492979458)",0.002113715799047039,500,50,alto
92,"(0.002097991684483442, 0.00026473643644649977)",0.0021146286881965977,250,90,medio
93,"(0.0021327813988539688, 0.00028149190710767064)",0.00215127733894647,250,50,medio
94,"(0.0021544544318297474, 5.6968600247980966e-05)",0.002155207488907983,50,90,baixo
95,"(0.0021683416387023218, 0.0001055594651653765)",0.0021709095473594173,100,90,medio
96,"(0.0014503778635383895, 0.0016185784658691062)",0.0021733366506865364,2000,50,baixo
97,"(0.002183020232217844, 4.691531785127844e-05)",0.0021835243028923527,50,50,baixo
98,"(0.0021844903682565675, 2.1782111859522132e-05)",0.002184598963059988,25,90,baixo
99,"(0.0021187543359692997, 0.0005546060788847558)",0.0021901387716134865,500,90,alto
100,"(0.0021990406992069725, 4.859086491739553e-05)",0.00219957747508973,50,50,baixo
101,"(0.0022068653450750377, 2.345765892563922e-05)",0.002206990011997208,25,90,baixo
102,"(0.002213230770053973, 5.1941959049629706e-05)",0.0022138401949155263,50,90,baixo
103,"(0.0022301400855290246, 2.1782111859522132e-05)",0.0022302464575648284,25,50,baixo
104,"(0.002252183364375811, 2.345765892563922e-05)",0.0022523055229105612,25,50,baixo
105,"(0.0021966154502586705, 0.0005747126436781609)",0.002270553689988114,500,10,alto
106,"(0.002276484873661856, 5.361750611574679e-05)",0.002277116206295434,50,90,baixo
107,"(0.002259154750730176, 0.0002898696424382561)",0.0022776752616108396,250,50,medio
108,"(0.002211657707105633, 0.0005797392848765122)",0.002286378676385186,500,10,alto
109,"(0.0021962894553888947, 0.0006383834321906102)",0.0022871862141828135,500,50,alto
110,"(0.002298992512460849, 2.6808753057873395e-05)",0.0022991488167562286,25,50,baixo
111,"(0.002287746939537855, 0.00028484300123990484)",0.002305411372124328,250,10,medio
112,"(0.0023044399198623037, 0.00011393720049596193)",0.002307254868867295,100,50,medio
