dataset,algorithm,ensemble_size,cores,batch_size,instances,time,acc,prec,recall,change
elecNormNew,OzaBagExecutorMAXChunk,25,4,25,1,45312.0,11.461000442504883,76.0284408329101,77.54113644881808,73.47981261848435,0
GMSC,LBagExecutorMAXChunk,25,4,15,1,150000.0,93.87100219726562,93.27599426609328,70.17905674433268,52.034277357380134,7044.0
elecNormNew,OzaBagExecutorMAXChunk,25,4,500,1,45312.0,9.512999534606934,75.99080603409801,78.12022211544864,73.17785930404129,0
covtypeNorm,OzaBagExecutorMAXChunk,25,4,100,1,581012.0,180.71200561523438,76.64224529705017,72.7198626307996,56.953478855246395,0
GMSC,OzaBagASHTExecutorMAXChunk,25,4,500,1,150000.0,17.91699981689453,93.15250836120401,75.3,51.6,
airlines,LBagExecutorRUNPER,25,4,1,1,250020.0,1415.385986328125,64.73802095832333,60.96704358052543,58.95118294876713,1418.0
GMSC,LBagExecutorMAXChunk,25,4,5,1,150000.0,149.64500427246094,93.24377479249308,70.28409615714406,53.642160940436646,10679.0
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,50,1,150000.0,100.1709976196289,93.53784594864955,77.02053712659732,54.68085449846938,0
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,15,1,581012.0,978.0230102539062,88.34365754040037,84.72160941592993,85.5853018361584,0
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,25,1,150000.0,182.7779998779297,93.48824804134023,78.85635409953376,52.80573616460123,0
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,75,1,150000.0,94.45800018310547,93.53610138402534,77.25631533354733,54.4629910330513,0
GMSC,OzaBagASHT,25,1,1,1,150000.0,67.43000030517578,93.32666666666667,75.5,51.2,
airlines,OzaBagExecutorMAXChunk,25,4,5,1,539383.0,146.79400634765625,60.94557063877281,60.57864201715412,58.66852468118696,0
elecNormNew,OzaBagExecutorMAXChunk,25,4,250,1,45312.0,9.505999565124512,78.0990635124939,78.42047956078157,76.40966208271429,0
elecNormNew,StreamingRandomPatchesExecutorRUNPER,25,4,1,1,45312.0,169.4290008544922,89.53919491525424,89.555078910133,88.97164705021,0
covtypeNorm,LBagExecutorMAXChunk,25,4,15,1
covtypeNorm,OzaBagASHTExecutorRUNPER,25,4,1,1,103590.0,242.23699951171875,86.92151752099623,72.20477667093077,74.72476760013805,0
GMSC,OzaBagASHTExecutorMAXChunk,25,4,250,1,150000.0,17.315000534057617,93.30951585976628,75.8,51.7,
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,25,1,581012.0,206.4290008544922,77.05421980182,71.25867667880186,57.261110215117505,0
GMSC,OzaBagExecutorMAXChunk,25,4,75,1,150000.0,20.06599998474121,93.12989828247457,70.1339926950959,57.377004327359,0
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,15,1,581012.0,2766.594970703125,95.56934028919254,93.09366483611069,90.41705810866041,0
elecNormNew,OzaBagExecutorMAXChunk,25,4,2000,1,45312.0,10.107000350952148,75.63492796453639,75.21321062103237,74.56672533933657,0
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,500,1,150000.0,93.43800354003906,93.50969899665552,76.85158203589646,54.265487081158405,0
