dataset,algorithm,ensemble_size,cores,batch_size,inc_rate,methodology,instances,time,delay,out_rate,acc
covtypeNorm,OzaBagExecutorMAXChunk,25,4,25,1339,,158275.0,119.93599700927734,14.0,1319.6622314453125,79.68530805687205
elecNormNew,LBagExecutorMAXChunk,25,4,25,1132,,40550.0,46.93899917602539,28.0,863.88720703125,90.21344848858729
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,25,714,,83425.0,120.03700256347656,35.0,694.9940185546875,86.20743405275779
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,25,1354,,160225.0,119.91899871826172,13.0,1336.1102294921875,80.9481897627965
GMSC,LBagExecutorMAXChunk,25,4,25,930,,111225.0,120.01200103759766,21.0,926.7822875976562,93.3246402877698
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,25,1928,,39550.0,24.773000717163086,15.0,1596.49609375,83.47375079063883
covtypeNorm,LBagExecutorMAXChunk,25,4,100,71,,8400.0,120.30799865722656,946.0,69.82079315185547,73.4578313253012
GMSC,OzaBagExecutorMAXChunk,25,4,50,699,,83250.0,119.98799896240234,43.0,693.8193969726562,93.38221153846153
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,25,449,,53300.0,120.03900146484375,46.0,444.0223388671875,93.43969967151573
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,25,270,,32325.0,119.89800262451172,55.0,269.6041564941406,69.96904024767801
airlines,OzaBagExecutorMAXChunk,25,4,25,2400,,165050.0,120.02100372314453,18.0,1375.176025390625,65.97909407665506
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,50,101,,11950.0,119.81900024414062,317.0,99.7337646484375,75.42016806722688
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,25,214,,25150.0,119.88099670410156,69.0,209.7913818359375,86.6268656716418
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,25,3533,,43425.0,13.89900016784668,7.0,3124.325439453125,76.97926267281106
GMSC,LBagExecutorMAXChunk,25,4,50,1833,,150000.0,99.88099670410156,33.0,1501.7872314453125,93.41513837945982
covtypeNorm,LBagExecutorMAXChunk,25,4,50,66,,7800.0,120.10199737548828,508.0,64.9448013305664,73.79354838709678
covtypeNorm,LBagExecutorMAXChunk,25,4,25,517,,59875.0,120.01699829101562,49.0,498.8876647949219,89.02756892230576
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,50,110,,9100.0,120.33300018310547,660.0,75.62348175048828,65.67955801104972
airlines,OzaBagASHTExecutorMAXChunk,25,4,50,1899,,108650.0,120.01100158691406,55.0,905.3336791992188,65.01289134438306
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,50,23,,2400.0,120.56900024414062,1798.0,19.905614852905273,74.55319148936171
airlines,OzaBagASHTExecutorMAXChunk,25,4,25,2462,,102200.0,120.01399993896484,29.0,851.5673217773438,63.08783949106924
GMSC,OzaBagASHTExecutorMAXChunk,25,4,25,3431,,150000.0,43.779998779296875,6.0,3426.22216796875,93.20020003333889
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,25,1417,,145425.0,114.23600006103516,19.0,1273.0224609375,93.55777166437414
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,50,498,,58550.0,120.06300354003906,81.0,487.66064453125,85.6119658119658
covtypeNorm,OzaBagExecutorMAXChunk,25,4,25,267,,31725.0,119.91699981689453,56.0,264.5579833984375,72.55520504731862
airlines,OzaBagASHTExecutorMAXChunk,25,4,25,273,,32325.0,119.96800231933594,61.0,269.44683837890625,60.38080495356037
airlines,OzaBagASHTExecutorMAXChunk,25,4,50,3419,,42900.0,120.55500030517578,140.0,355.85418701171875,64.36872812135356
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,50,862,,73450.0,120.04499816894531,81.0,611.8538818359375,93.42506811989101
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,50,22,,2400.0,120.43699645996094,1682.0,19.927431106567383,73.36170212765958
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,25,228,,25300.0,120.06999969482422,118.0,210.71041870117188,86.95548961424332
GMSC,OzaBagASHTExecutorMAXChunk,25,4,25,686,,82050.0,119.95800018310547,21.0,683.9893798828125,93.37884791222189
elecNormNew,OzaBagExecutorMAXChunk,25,4,50,2081,,44200.0,21.733999252319336,21.0,2033.6800537109375,76.63646659116648
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,50,198,,8600.0,123.09500122070312,715.0,69.86473846435547,65.82456140350878
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,25,422,,49075.0,119.99400329589844,50.0,408.978759765625,87.55555555555556
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,25,446,,43300.0,120.00399780273438,69.0,360.8213195800781,89.40496822645869
airlines,OzaBagASHTExecutorMAXChunk,25,4,25,1367,,109025.0,120.0260009765625,27.0,908.3448486328125,65.10000000000001
airlines,OzaBagExecutorMAXChunk,25,4,25,480,,57500.0,119.95899963378906,39.0,479.3304443359375,60.464549804262724
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,25,118,,7175.0,120.49800109863281,419.0,59.5445556640625,66.55944055944056
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,25,760,,85225.0,120.00499725341797,35.0,710.1787719726562,90.0469483568075
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,50,506,,58300.0,120.01899719238281,87.0,485.7564392089844,88.8961373390558
elecNormNew,OzaBagExecutorMAXChunk,25,4,50,3745,,43000.0,16.465999603271484,19.0,2611.44189453125,77.22700814901047
GMSC,LBagExecutorMAXChunk,25,4,25,1675,,144175.0,90.56400299072266,15.0,1591.968017578125,93.52480055497745
airlines,LBagExecutorMAXChunk,25,4,50,192,,9200.0,121.27799987792969,658.0,75.85877227783203,62.04371584699454
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,25,157,,18550.0,120.00700378417969,96.0,154.57431030273438,93.59784075573549
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,25,84,,9575.0,120.00900268554688,206.0,79.78568267822266,76.24083769633508
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,25,2760,,150000.0,56.8380012512207,9.0,2639.079345703125,93.33355559259877
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,50,91,,10750.0,119.81199645996094,341.0,89.7238998413086,89.27102803738319
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,25,1963,,42825.0,23.125,11.0,1851.891845703125,75.15420560747663
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,50,459,,43200.0,99.75700378417969,109.0,433.05230712890625,88.7045191193511
elecNormNew,OzaBagExecutorMAXChunk,25,4,25,3550,,43750.0,14.826000213623047,8.0,2950.89697265625,77.50943396226415
airlines,OzaBagExecutorMAXChunk,25,4,50,2513,,175850.0,120.0009994506836,34.0,1465.4044189453125,66.11604095563139
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,100,1014,,118400.0,119.96600341796875,95.0,986.9462890625,86.8639053254438
