dataset,algorithm,ensemble_size,cores,batch_size,rate,instances,time,acc,prec,recall,change
GMSC,OzaBagAdwinExecutorMAXChunk,100,4,50,1,150000.0,19.208999633789062,93.40180060020006,77.37631919536423,51.66220024310818,0
covtypeNorm,OzaBagAdwinExecutorMAXChunk,100,4,50,1,262600.0,180.03500366210938,85.02837554751476,74.24878047812494,77.56175060032447,0
GMSC,StreamingRandomPatchesExecutorMAXChunk,100,4,50,1,150000.0,112.35600280761719,93.5405135045015,81.34527158033129,52.9453972343116,0
airlines,OzaBagASHTExecutorRUNPER,100,4,1,1,141038.0,180.00100708007812,70.7511450814674,67.23011094422769,61.80450741603678,0
airlines,OzaBagAdwin,100,1,1,1,84831.0,180.0019989013672,67.28318657094694,63.19389333074744,60.16624486569347,713.0
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,100,4,500,1,84500.0,180.10400390625,87.79761904761905,75.49549637931932,67.07380086184891,0
elecNormNew,OzaBag,100,1,1,1,45312.0,16.073999404907227,82.82574152542372,82.55528322552207,82.1433195088703,0
elecNormNew,OzaBagAdwin,100,1,1,1,45312.0,21.194000244140625,84.93997175141243,85.03081225451147,84.00282134475295,549.0
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,100,4,50,1,45312.0,52.97999954223633,81.45022314524326,81.29822398932322,80.49176701494022,0
elecNormNew,StreamingRandomPatchesExecutorRUNPER,100,4,1,1,45312.0,83.80599975585938,89.30746822033898,89.2597497719449,88.79007152593394,0
elecNormNew,OzaBagASHTExecutorMAXChunk,100,4,50,1,45312.0,10.576000213623047,77.61035747426097,77.9373879488514,75.87344014103148,0
GMSC,StreamingRandomPatchesExecutorMAXChunk,100,4,500,1,150000.0,105.83000183105469,93.51705685618728,80.54858039975994,52.85808462749165,0
covtypeNorm,OzaBagAdwinExecutorRUNPER,100,4,1,1,133391.0,180.0,89.76317742576335,80.04023647700456,79.04966523238984,0
covtypeNorm,LBagExecutorMAXChunk,100,4,500,1,196500.0,180.2100067138672,90.12397959183673,73.81068436834602,67.46913415496837,392.0
elecNormNew,AdaptiveRandomForestExecutorRUNPER,100,4,1,1,45312.0,46.54499816894531,89.1353283898305,89.08274043318453,88.61255686810398,0
kyoto_binary,OzaBagASHTExecutorMAXChunk,100,4,500,1,725457.0,98.21900177001953,91.38473040469987,92.05126584284689,89.74115355473435,0
GMSC,StreamingRandomPatchesExecutorMAXChunk,100,4,250,1,150000.0,106.91200256347656,93.5085141903172,80.09072807964496,52.802255351632766,0
airlines,OzaBagAdwinExecutorMAXChunk,100,4,50,1,189000.0,180.0050048828125,69.21725324159831,66.0880457452288,59.278314714523816,0
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,100,4,50,1,45312.0,24.863000869750977,80.22402898678803,79.95560594665369,79.31309192832366,0
kyoto_binary,OzaBag,100,1,1,1,653948.0,180.00100708007812,97.0665863340816,97.2230990172796,96.50454563856385,0
covtypeNorm,OzaBagExecutorRUNPER,100,4,1,1,132219.0,180.0,87.81188785272919,72.19768444352395,74.06998996255135,0
kyoto_binary,AdaptiveRandomForestExecutorMAXChunk,100,4,50,1,580300.0,180.0070037841797,97.52003446790177,97.77251882362633,96.83794182781341,0
kyoto_binary,StreamingRandomPatchesExecutorMAXChunk,100,4,500,1,214500.0,180.23599243164062,96.6018691588785,96.50616094351821,96.70783007570745,0
airlines,StreamingRandomPatchesExecutorMAXChunk,100,4,250,1,85250.0,180.0540008544922,69.49529411764705,66.71360736699692,61.74837398873812,0
GMSC,OzaBagAdwinExecutorRUNPER,100,4,1,1,150000.0,77.64800262451172,93.53666666666666,78.32107765850654,53.86839410212089,0
kyoto_binary,OzaBagExecutorMAXChunk,100,4,50,1,725457.0,134.63299560546875,97.00416455865467,97.19931709496052,96.46820534932023,0
kyoto_binary,OzaBagAdwinExecutorMAXChunk,100,4,250,1,725457.0,108.00599670410156,96.79195043622028,97.02881351880725,96.19286464163336,0
GMSC,AdaptiveRandomForestSequential,100,1,1,1,150000.0,162.62100219726562,93.57133333333333,78.40366505145589,54.45180757130779,0
GMSC,AdaptiveRandomForestExecutorRUNPER,100,4,1,1,150000.0,141.9969940185547,93.54866666666666,77.9254403452319,54.30076772315338,0
GMSC,OzaBagASHTExecutorRUNPER,100,4,1,1,150000.0,66.29900360107422,93.31333333333333,75.4,51.1,
kyoto_binary,LBagExecutorMAXChunk,100,4,50,1,613700.0,180.02999877929688,97.39167277764199,97.69196833117286,96.62605053782323,10834.0
GMSC,OzaBagASHTExecutorMAXChunk,100,4,250,1,150000.0,12.130999565124512,93.31552587646077,75.7,51.6,
covtypeNorm,LeveragingBag,100,1,1,1,74624.0,180.0,91.19184176672384,81.93748018714608,81.60511251911134,713.0
elecNormNew,OzaBagAdwinExecutorMAXChunk,100,4,50,1,45312.0,10.194999694824219,80.48473333038753,80.41049891497659,79.35730632787465,0
kyoto_binary,AdaptiveRandomForestExecutorRUNPER,100,4,1,1,289521.0,180.00100708007812,97.67028989261574,97.88321750202866,97.36013353280097,0
elecNormNew,OzaBagAdwinExecutorMAXChunk,100,4,500,1,45312.0,8.33899974822998,77.63322324377398,77.17651859422708,76.80082331674623,0
airlines,AdaptiveRandomForestExecutorMAXChunk,100,4,50,1,84250.0,180.06700134277344,67.75653206650831,63.86902063977068,61.722970339854925,0
airlines,OzaBagExecutorMAXChunk,100,4,500,1,539383.0,165.8520050048828,65.01949402746051,65.88946973734195,62.66448589443608,0
airlines,OzaBagAdwinExecutorMAXChunk,100,4,250,1,235000.0,180.11700439453125,67.61022364217253,64.88899144069056,60.83239080805447,0
airlines,OzaBagExecutorMAXChunk,100,4,250,1,539383.0,172.47500610351562,65.02977929379206,65.89183195324343,62.67275711355966,0
elecNormNew,LBagExecutorMAXChunk,100,4,50,1,45312.0,17.715999603271484,80.81613715699703,80.58066085423047,79.91082061087982,902.0
elecNormNew,OzaBagExecutorMAXChunk,100,4,50,1,45312.0,8.869000434875488,78.92713534532278,78.56014514543588,78.05592338005228,0
covtypeNorm,OzaBagASHTExecutorMAXChunk,100,4,50,1,285150.0,180.02999877929688,79.99894773763592,68.01785030862207,73.70526604838929,0
covtypeNorm,OzaBagAdwinExecutorMAXChunk,100,4,250,1,284000.0,180.11099243164062,85.49004405286344,72.24787675306116,74.24989840969705,0
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,100,4,250,1,45312.0,23.815000534057617,79.05552350095424,78.72948645377764,78.11964733885313,0
covtypeNorm,OzaBagAdwinExecutorMAXChunk,100,4,500,1,289500.0,180.35299682617188,84.86401384083045,71.79467273008984,71.6143443017713,0
airlines,LBagExecutorMAXChunk,100,4,500,1,45500.0,201.7550048828125,64.53333333333333,60.53500749498228,59.798125989917004,88.0
elecNormNew,LBagExecutorMAXChunk,100,4,250,1,45312.0,16.207000732421875,78.43415738316098,78.05639930178168,77.52701186516416,181.0
GMSC,OzaBagAdwinExecutorMAXChunk,100,4,500,1,150000.0,17.256000518798828,93.4876254180602,78.20976549804772,53.093013693848576,0
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,100,4,500,1,45312.0,51.45500183105469,78.7824689815228,78.59633138542587,77.61444919601117,0
airlines,OzaBagAdwinExecutorRUNPER,100,4,1,1,102791.0,180.0,66.75973577453279,63.05970052826081,59.85402977861026,0
covtypeNorm,OzaBagASHTExecutorMAXChunk,100,4,250,1,281250.0,180.0800018310547,80.07722419928825,66.64934478608367,71.65384250029564,0
elecNormNew,StreamingRandomPatches,100,1,1,1,45312.0,164.3260040283203,89.85919844632768,89.83117384669491,89.35465945275341,0
kyoto_binary,AdaptiveRandomForestSequential,100,1,1,1,177599.0,180.00100708007812,97.40313853118542,96.81241330095018,97.68829795161628,0
elecNormNew,OzaBagExecutorMAXChunk,100,4,500,1,45312.0,7.406000137329102,77.05302151209497,76.5565244738734,76.26307887822576,0
elecNormNew,AdaptiveRandomForestSequential,100,1,1,1,45312.0,81.40499877929688,89.04925847457628,89.0178834691058,88.49892068910229,0
covtypeNorm,LBagExecutorMAXChunk,100,4,50,1,193500.0,180.04800415039062,92.2047040578961,80.7231026641477,79.03277740839744,3853.0
GMSC,OzaBag,100,1,1,1,150000.0,38.99599838256836,93.46266666666668,78.6356904499682,52.45368600000837,0
GMSC,AdaptiveRandomForestExecutorMAXChunk,100,4,250,1,150000.0,60.680999755859375,93.53789649415693,77.70156494120167,54.23234415505777,0
GMSC,LBagExecutorMAXChunk,100,4,50,1,150000.0,46.058998107910156,93.4378126042014,75.78006551700962,53.172902482869965,2121.0
GMSC,StreamingRandomPatches,100,1,1,1,96729.0,180.0,93.47248498382078,77.88952124407001,52.282213656638845,0
kyoto_binary,LBagExecutorMAXChunk,100,4,250,1,613750.0,180.0399932861328,97.64254278728608,97.93249582608217,96.93250418008617,2167.0
airlines,OzaBag,100,1,1,1,211012.0,180.0,67.38953234887116,63.48453034762127,59.88723351142994,0
kyoto_binary,StreamingRandomPatchesExecutorRUNPER,100,4,1,1,149629.0,180.0019989013672,98.1988785596375,97.36917658500712,98.43852659220002,0
airlines,StreamingRandomPatchesExecutorMAXChunk,100,4,500,1,89500.0,180.57200622558594,69.3179775280899,66.20955707879597,61.33147086145152,0
GMSC,OzaBagASHTExecutorMAXChunk,100,4,50,1,150000.0,14.710000038146973,93.31510503501167,75.1,51.7,
airlines,OzaBagASHTExecutorMAXChunk,100,4,50,1,539383.0,176.56399536132812,68.16197043385071,68.68665836197397,66.3483433920362,0
GMSC,OzaBagASHTExecutorMAXChunk,100,4,500,1,150000.0,11.62600040435791,93.31237458193979,75.6,51.3,
kyoto_binary,OzaBagAdwinExecutorRUNPER,100,4,1,1,420875.0,180.0,96.55170775170775,96.8324666347997,95.24882476928889,0
kyoto_binary,OzaBagAdwinExecutorMAXChunk,100,4,50,1,725457.0,116.51599884033203,95.42946235699408,95.7950679067124,94.55607446859351,0
airlines,OzaBagASHTExecutorMAXChunk,100,4,500,1,539383.0,152.4320068359375,67.79338001013207,68.36526011722792,65.9257854984182,0
covtypeNorm,LBagExecutorRUNPER,100,4,1,1,85419.0,180.0,91.74188412414101,82.0284476892063,81.57938833982004,771.0
GMSC,OzaBagASHT,100,1,1,1,150000.0,33.45600128173828,93.314,75.2,51.7,
