dataset,algorithm,ensemble_size,cores,batch_size,inc_rate,instances,time,delay,out_rate,acc
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,286,34000.0,121.5719985961914,5815.0,279.669677734375,93.475
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,500,380,45500.0,120.33100128173828,1154.0,378.1236572265625,76.38444444444444
GMSC,OzaBagExecutorMAXChunk,25,4,50,393,46722.0,119.91799926757812,74.0,389.6162414550781,93.44360644497772
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,530,63494.0,119.9229965209961,3040.0,529.4564208984375,93.4546459817218
airlines,OzaBagASHTExecutorMAXChunk,25,4,2000,831,32000.0,122.40599822998047,7574.0,261.42510986328125,63.7
elecNormNew,LBagExecutorMAXChunk,25,4,500,131,15574.0,119.8280029296875,2317.0,129.96961975097656,79.34854716730794
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,2000,306,36000.0,120.96600341796875,6047.0,297.6042785644531,65.54411764705883
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,500,126,14976.0,120.00399780273438,2351.0,124.79584503173828,93.47886156396795
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,50,159,8400.0,120.01899719238281,713.0,69.98892211914062,65.97604790419162
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,50,130,10200.0,120.18000030517578,588.0,84.87268829345703,65.53694581280787
airlines,OzaBagASHTExecutorMAXChunk,25,4,2000,461,12000.0,152.3699951171875,25031.0,78.75566101074219,60.47
covtypeNorm,LBagExecutorMAXChunk,25,4,50,44,4800.0,120.20500183105469,807.0,39.93178176879883,70.90526315789474
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,500,3699,145328.0,40.62699890136719,131.0,3577.128662109375,93.42047117960615
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,50,527,60100.0,120.03800201416016,88.0,500.6747741699219,86.54954204829309
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,50,559,65850.0,120.55400085449219,80.0,546.228271484375,93.37993920972644
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,144,14000.0,122.16699981689453,15726.0,114.59722900390625,45.958333333333336
GMSC,OzaBagExecutorMAXChunk,25,4,50,1967,150000.0,76.4749984741211,20.0,1961.42529296875,93.51783927975991
GMSC,OzaBagASHTExecutorMAXChunk,25,4,2000,4115,145165.0,36.54499816894531,477.0,3972.226318359375,93.34055111235287
airlines,OzaBagExecutorMAXChunk,25,4,500,581,25500.0,132.42300415039062,2588.0,192.56472778320312,63.42
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,2000,551,64000.0,121.25399780273438,3549.0,527.817626953125,78.28548387096774
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,106,12600.0,120.0,11319.0,105.0,93.25471698113208
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,500,554,62500.0,120.10399627685547,884.0,520.38232421875,81.56612903225806
airlines,OzaBagExecutorMAXChunk,25,4,500,116,13780.0,120.0009994506836,3365.0,114.8323745727539,61.89006024096385
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,500,718,42381.0,63.40800094604492,715.0,668.3856811523438,77.85153172082806
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,50,77,8986.0,120.00399780273438,389.0,74.8808364868164,80.28200537153089
GMSC,OzaBagASHTExecutorMAXChunk,25,4,50,2077,150000.0,72.46600341796875,18.0,2069.93603515625,93.35778592864288
airlines,OzaBagExecutorMAXChunk,25,4,50,107,12588.0,120.0009994506836,357.0,104.89912414550781,62.76120593396076
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,50,61,7200.0,120.39700317382812,564.0,59.802154541015625,67.27272727272727
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,2000,73,8000.0,120.98799896240234,19718.0,66.12226104736328,44.583333333333336
covtypeNorm,LBagExecutorMAXChunk,25,4,2000,47,5400.0,119.9739990234375,26368.0,45.0097541809082,46.94117647058824
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,500,2335,43425.0,19.91900062561035,228.0,2180.079345703125,78.33896330809552
GMSC,LBagExecutorMAXChunk,25,4,2000,836,100000.0,121.83399963378906,2084.0,820.7889404296875,93.46122448979591
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,500,411,49118.0,119.89299774169922,755.0,409.6819763183594,93.46332634003866
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,50,391,46722.0,119.94499969482422,76.0,389.5285339355469,93.42218032224888
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,144,8000.0,124.71099853515625,29396.0,64.1483154296875,60.983333333333334
GMSC,OzaBagExecutorMAXChunk,25,4,2000,4068,133214.0,37.09000015258789,550.0,3591.641845703125,93.50526620634993
airlines,OzaBagExecutorMAXChunk,25,4,50,966,24800.0,122.02999877929688,245.0,203.2287139892578,64.29090909090908
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,500,170,9000.0,125.76599884033203,6906.0,71.56147003173828,64.85882352941177
covtypeNorm,OzaBagExecutorMAXChunk,25,4,50,69,7788.0,120.00199890136719,516.0,64.89891815185547,61.9539932799173
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,2000,1411,42404.0,32.38100051879883,1255.0,1309.5333251953125,75.5940005940006
airlines,OzaBagExecutorMAXChunk,25,4,2000,113,13200.0,119.99700164794922,13694.0,110.00274658203125,60.07142857142858
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,50,627,74850.0,120.05500030517578,54.0,623.4642333984375,93.44251336898395
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,500,377,44500.0,120.33699798583984,1314.0,369.7948303222656,78.375
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,500,397,47321.0,119.94000244140625,1161.0,394.5389404296875,74.49221503171654
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,50,293,34687.0,119.96099853515625,129.0,289.1523132324219,79.87989721973612
airlines,OzaBagASHTExecutorMAXChunk,25,4,500,752,34000.0,120.24800109863281,1763.0,282.7489929199219,65.56716417910448
airlines,LBagExecutorMAXChunk,25,4,500,153,8000.0,169.39700317382812,10485.0,47.22633743286133,61.45333333333334
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,500,41,4800.0,119.98400115966797,7471.0,40.005332946777344,80.16279069767441
airlines,OzaBagExecutorMAXChunk,25,4,50,536,25200.0,122.71099853515625,243.0,205.36056518554688,63.8727634194831
airlines,LBagExecutorMAXChunk,25,4,500,85,7500.0,120.1709976196289,7728.0,62.41106414794922,61.728571428571435
airlines,LBagExecutorMAXChunk,25,4,50,75,8550.0,120.52799987792969,645.0,70.93787384033203,62.50588235294118
elecNormNew,OzaBagExecutorMAXChunk,25,4,50,273,32346.0,119.90699768066406,105.0,269.7590637207031,79.2574931880109
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,16,1800.0,119.947998046875,83214.0,15.006503105163574,75.72222222222223
elecNormNew,LBagExecutorMAXChunk,25,4,500,658,44528.0,69.42500305175781,651.0,641.3827514648438,77.5302080494231
GMSC,LBagExecutorMAXChunk,25,4,50,1216,145300.0,120.00199890136719,35.0,1210.8131103515625,93.35490533562822
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,500,2689,39039.0,17.309999465942383,217.0,2255.2861328125,77.01808557565064
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,500,399,45209.0,114.89600372314453,1055.0,393.4775695800781,78.11178957256928
GMSC,LBagExecutorMAXChunk,25,4,500,1482,149380.0,101.63300323486328,323.0,1469.798095703125,93.49946265448683
GMSC,OzaBagExecutorMAXChunk,25,4,500,2334,150000.0,64.47699737548828,164.0,2326.4111328125,93.47357859531773
covtypeNorm,OzaBagExecutorMAXChunk,25,4,500,75,9000.0,121.28399658203125,4395.0,74.20600128173828,53.32941176470588
airlines,OzaBagExecutorMAXChunk,25,4,2000,566,24000.0,134.92599487304688,11095.0,177.8752899169922,62.4
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,80,8000.0,138.1739959716797,31391.0,57.898014068603516,61.28333333333333
GMSC,OzaBagExecutorMAXChunk,25,4,500,4202,142910.0,35.821998596191406,121.0,3989.447998046875,93.47939049224071
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,50,350,41930.0,119.94999694824219,124.0,349.56231689453125,75.77363896848138
airlines,OzaBagExecutorMAXChunk,25,4,2000,1019,26000.0,146.80999755859375,11215.0,177.0996551513672,63.74583333333334
GMSC,LBagExecutorMAXChunk,25,4,2000,1505,142869.0,100.34200286865234,1378.0,1423.8204345703125,93.54648645195182
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,528,57248.0,119.96600341796875,3841.0,477.2018737792969,79.58659136982334
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,50,549,65050.0,120.00800323486328,87.0,542.0471801757812,83.37538461538462
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,50,338,40133.0,119.9739990234375,137.0,334.51416015625,80.79734550807075
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,500,76,8986.0,120.0009994506836,4548.0,74.8827133178711,54.48974781993873
elecNormNew,OzaBagExecutorMAXChunk,25,4,50,1366,45312.0,33.19200134277344,29.0,1365.148193359375,79.17900225354602
elecNormNew,OzaBagExecutorMAXChunk,25,4,2000,1397,43652.0,32.51599884033203,1243.0,1342.4775390625,75.35532507442619
covtypeNorm,OzaBagExecutorMAXChunk,25,4,50,349,41331.0,119.96700286865234,132.0,344.5197448730469,75.05632131004577
covtypeNorm,OzaBagExecutorMAXChunk,25,4,2000,365,43083.0,119.91500091552734,5113.0,359.27947998046875,70.93444977241194
elecNormNew,OzaBagExecutorMAXChunk,25,4,2000,2515,38639.0,18.211999893188477,895.0,2121.623046875,74.76732443571058
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,500,1494,45002.0,30.643999099731445,280.0,1468.5419921875,77.12911779245877
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,514,60000.0,120.39900207519531,3682.0,498.3429870605469,93.38275862068966
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,50,1129,134500.0,120.01300048828125,39.0,1120.7119140625,93.58571959836371
elecNormNew,LBagExecutorMAXChunk,25,4,2000,634,42879.0,72.01599884033203,2708.0,595.4093627929688,76.0219183443822
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,50,1957,150000.0,76.89199829101562,19.0,1950.7882080078125,93.3244414804935
airlines,OzaBagAdwinExecutorMAXChunk,25,4,2000,554,30000.0,128.55499267578125,8402.0,233.3631591796875,63.71071428571429
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,500,298,35341.0,119.88500213623047,1014.0,294.79083251953125,76.69986510146092
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,50,261,31148.0,119.88200378417969,109.0,259.8221435546875,80.35243424014406
elecNormNew,OzaBagExecutorMAXChunk,25,4,500,292,34742.0,119.88600158691406,1028.0,289.7919616699219,76.88511185094329
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,50,1309,45312.0,34.801998138427734,34.0,1301.9942626953125,79.30935442534577
GMSC,OzaBagASHTExecutorMAXChunk,25,4,500,2455,150000.0,61.29999923706055,155.0,2446.982177734375,93.36923076923077
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,50,147,17371.0,119.99199676513672,325.0,144.7679901123047,77.12603198429652
covtypeNorm,LBagExecutorMAXChunk,25,4,2000,424,48982.0,119.92900085449219,4507.0,408.42498779296875,77.98731429057936
GMSC,OzaBagASHTExecutorMAXChunk,25,4,500,4420,32500.0,122.81700134277344,1887.0,264.621337890625,93.48125
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,50,16,1800.0,120.19999694824219,1984.0,14.975042343139648,69.48571428571428
covtypeNorm,OzaBagExecutorMAXChunk,25,4,500,378,44925.0,119.91699981689453,1240.0,374.6341247558594,73.38660664040518
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,2000,2196,40425.0,20.95400047302246,981.0,1929.225830078125,75.58880936890046
elecNormNew,LBagExecutorMAXChunk,25,4,50,1029,43042.0,44.38800048828125,48.0,969.6764526367188,81.7361369557127
elecNormNew,LBagExecutorMAXChunk,25,4,2000,126,14975.0,119.81800079345703,9398.0,124.9812240600586,77.7495183044316
elecNormNew,LBagExecutorMAXChunk,25,4,500,1186,42329.0,38.375,435.0,1103.035888671875,77.36737670037533
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,2000,381,45524.0,119.88300323486328,3134.0,379.7369079589844,93.32552155132801
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,50,17,1800.0,120.61900329589844,2203.0,14.92302131652832,75.2
GMSC,OzaBagExecutorMAXChunk,25,4,2000,452,53910.0,119.9020004272461,2648.0,449.6171875,93.30764785205162
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,58,6600.0,119.99299621582031,22874.0,55.003211975097656,46.71739130434783
GMSC,LBagExecutorMAXChunk,25,4,2000,167,19767.0,119.81400299072266,7391.0,164.980712890625,93.42601452130353
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,50,70,8400.0,120.19200134277344,509.0,69.88817596435547,61.72455089820359
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,196,23361.0,119.84200286865234,8435.0,194.93165588378906,77.58063761059876
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,500,16,1800.0,119.95600128173828,20542.0,15.005501747131348,73.76923076923076
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,50,81,9585.0,120.00900268554688,508.0,79.86901092529297,77.35710540115365
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,50,62,7200.0,120.09300231933594,504.0,59.95353317260742,93.66433566433567
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,293,31502.0,119.88700103759766,6361.0,262.76409912109375,66.98867873364517
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,50,125,14975.0,119.81400299072266,165.0,124.98538970947266,93.48073701842546
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,50,310,37138.0,119.93099975585938,119.0,309.661376953125,93.4938524590164
airlines,OzaBagAdwinExecutorMAXChunk,25,4,500,403,45500.0,120.5,1316.0,377.5933532714844,67.29777777777778
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,50,88,8200.0,120.42500305175781,732.0,68.09217071533203,65.60736196319019
airlines,OzaBagExecutorMAXChunk,25,4,500,1046,25500.0,126.5979995727539,2475.0,201.42498779296875,64.64
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,50,72,8350.0,120.0989990234375,685.0,69.5259780883789,66.33734939759036
covtypeNorm,LBagExecutorMAXChunk,25,4,50,221,26356.0,119.92500305175781,189.0,219.77069091796875,79.08842089257205
GMSC,LBagExecutorMAXChunk,25,4,500,823,98000.0,120.06600189208984,515.0,816.2177124023438,93.45743589743589
airlines,OzaBagASHTExecutorMAXChunk,25,4,500,418,33500.0,123.5790023803711,1835.0,271.0816650390625,64.89696969696969
airlines,OzaBagAdwinExecutorMAXChunk,25,4,50,411,45200.0,120.13500213623047,132.0,376.2433776855469,68.8062015503876
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,161,12000.0,127.19499969482422,20154.0,94.34333038330078,62.61
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,500,79,8986.0,120.00599670410156,4100.0,74.87959289550781,79.08319585199152
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,500,1135,135000.0,120.19400024414062,418.0,1123.1842041015625,93.55167286245353
GMSC,OzaBagASHTExecutorMAXChunk,25,4,50,415,49717.0,119.94200134277344,72.0,414.5086669921875,93.37386997402703
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,89,10000.0,136.78700256347656,24734.0,73.10636138916016,61.150000000000006
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,2000,2541,40240.0,18.156999588012695,857.0,2216.22509765625,74.92939330543933
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,639,40305.0,72.66200256347656,3305.0,554.6915893554688,76.18848714267067
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,2000,61,7200.0,119.99500274658203,21172.0,60.002498626708984,47.05769230769231
airlines,OzaBagAdwinExecutorMAXChunk,25,4,500,224,26356.0,119.84500122070312,2064.0,219.91738891601562,64.81667698019803
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,2000,366,43229.0,119.93000030517578,5093.0,360.4519348144531,68.75500254675107
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,50,389,44835.0,117.94100189208984,103.0,380.147705078125,80.4443452048677
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,2000,1905,150000.0,79.26300048828125,864.0,1892.43408203125,93.51216216216216
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,500,308,35500.0,120.41300201416016,1417.0,294.81866455078125,72.99142857142857
covtypeNorm,OzaBagExecutorMAXChunk,25,4,2000,73,8400.0,119.99400329589844,17767.0,70.00350189208984,45.21875
GMSC,OzaBagExecutorMAXChunk,25,4,500,466,55707.0,119.88700103759766,659.0,464.6625671386719,93.41387867480573
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,17,1800.0,119.95500183105469,81832.0,15.005626678466797,75.72222222222223
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,50,631,75100.0,120.02300262451172,79.0,625.71337890625,81.71085942704863
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,500,209,24500.0,120.6259994506836,2072.0,203.1071319580078,79.24166666666666
covtypeNorm,OzaBagExecutorMAXChunk,25,4,2000,658,77613.0,119.98200225830078,3004.0,646.8720092773438,78.22199886262943
covtypeNorm,LBagExecutorMAXChunk,25,4,2000,235,28000.0,122.27200317382812,7633.0,228.9976348876953,64.69615384615385
