,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,ensemble_size,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,avg_times_duration,joules,JPI,PERC,tput
224,OzaBagExecutorMAXChunk,elecNormNew,4,500,2227,2211.410888671875,45000.0,20.349000930786133,181.0,77.78202247191011,25,25,4.247826086956521,195.39999999999995,2213.3645955451348,45312.0,106.19565217391302,86.43901699729587,0.0023599033816425114,50,2211.4107789891154
176,OzaBagExecutorMAXChunk,elecNormNew,4,500,445,440.8436584472656,45000.0,102.0770034790039,645.0,77.86067415730336,25,108,3.1168367346938775,610.9,443.05814942652364,45312.0,336.6183673469388,318.1573542108341,0.007480408163265307,10,440.84366180729427
306,OzaBagExecutorMAXChunk,elecNormNew,4,250,4198,3119.540771484375,37500.0,12.020999908447266,78.0,76.81879194630874,25,18,4.500000000000001,153.00000000000003,4108.06890299184,45312.0,81.00000000000001,54.09449958801271,0.0021600000000000005,90,3119.5408273523412
232,OzaBagExecutorMAXChunk,elecNormNew,4,250,2332,2242.78466796875,43750.0,19.506999969482425,90.0,75.6,25,25,4.034782608695653,185.60000000000002,2303.609557702084,45312.0,100.86956521739133,78.70650422469433,0.0023055900621118015,50,2242.7846449194826
375,OzaBagExecutorMAXChunk,elecNormNew,4,250,466,463.2947692871094,45250.0,97.66999816894533,309.0,76.99333333333334,25,102,3.082795698924732,573.4000000000001,463.043011741623,45312.0,314.44516129032263,301.09665026921107,0.006949064337907682,10,463.29477678220604
66,OzaBagExecutorMAXChunk,elecNormNew,4,100,4034,3417.150146484375,42400.0,12.407999992370604,28.0,77.78014184397163,25,17,4.51875,144.6,3960.839160839161,45312.0,76.81875,56.06864996552466,0.001811762971698113,90,3417.1502277619916
262,OzaBagExecutorMAXChunk,elecNormNew,4,100,2241,2231.85693359375,45300.0,20.29700088500977,35.0,78.48230088495575,25,26,4.008163265306123,196.40000000000003,2213.256484149856,45312.0,104.21224489795921,81.35369334318203,0.002300491057350093,50,2231.8568273530523
370,OzaBagExecutorMAXChunk,elecNormNew,4,100,448,443.7869873046875,45300.0,102.07599639892578,125.0,77.61061946902656,25,107,3.0195876288659793,585.8,443.07981147204345,45312.0,323.0958762886598,308.22741593036454,0.007132359299970414,10,443.7869979045997
104,OzaBagExecutorMAXChunk,elecNormNew,4,50,3745,3276.484619140625,42650.0,13.017000198364258,15.0,76.49765258215963,25,19,4.450000000000001,160.20000000000005,3702.868350085805,45312.0,84.55000000000003,57.92565088272096,0.0019824150058616653,90,3276.4845471354824
125,OzaBagExecutorMAXChunk,elecNormNew,4,50,2081,2083.908203125,45300.0,21.738000869750977,19.0,77.62651933701657,25,27,3.8919999999999995,194.59999999999997,2071.689831748354,45312.0,105.08399999999999,84.60429938507079,0.002319735099337748,50,2083.9082798564145
49,OzaBagExecutorMAXChunk,elecNormNew,4,50,416,414.4404602050781,45300.0,109.3040008544922,68.0,74.84419889502763,25,115,3.0124401913875594,629.5999999999999,413.9102792469376,45312.0,346.43062200956933,329.27176525353246,0.007647475099548992,10,414.44045639559266
6,OzaBagExecutorMAXChunk,elecNormNew,4,25,3550,3320.235595703125,42250.0,12.725000381469728,7.0,77.20781527531084,25,19,4.405555555555555,158.6,3529.796681467633,45312.0,83.70555555555555,56.06069612503052,0.001981196581196581,90,3320.235656851128
114,OzaBagExecutorMAXChunk,elecNormNew,4,25,1972,1962.8233642578125,45300.0,23.07900047302246,10.0,77.93705135284374,25,29,3.8481481481481485,207.8,1947.4792624747497,45312.0,111.5962962962963,88.81141293137162,0.0024634943994767395,50,1962.8233056692443
175,OzaBagExecutorMAXChunk,elecNormNew,4,25,394,389.4462585449219,45300.0,116.31900024414062,35.0,77.49530646051906,25,121,3.0204545454545455,664.5,388.96757745100564,45312.0,365.475,351.3362530101429,0.008067880794701988,10,389.4462633354856
35,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,2000,2275,1810.7740478515625,36000.0,19.881000518798828,1009.0,82.28235294117647,25,26,4.793877551020408,234.9,2258.710931658442,45312.0,124.64081632653061,95.3070820788948,0.0034622448979591837,90,1810.7740586777597
44,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,2000,1264,1168.32177734375,42000.0,35.94900131225586,1336.0,83.1,25,42,3.936363636363636,303.09999999999997,1254.1031247405276,45312.0,165.3272727272727,141.5083415291526,0.003936363636363636,50,1168.3217465538107
369,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,2000,252,233.6039276123047,28000.0,119.86100006103516,4584.0,84.88076923076923,25,126,3.2895196506550217,753.3,249.48561813289794,29950.0,414.47947598253273,394.2851150479379,0.014802838427947598,10,233.60392442697747
48,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,500,2515,2212.756591796875,40000.0,18.07699966430664,222.0,84.53924050632912,25,23,4.709302325581396,202.5,2480.131362889984,45312.0,108.3139534883721,85.13005655865338,0.002707848837209303,90,2212.75658255284
53,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,500,1397,1353.26318359375,44000.0,32.513999938964844,294.0,84.1471264367816,25,38,4.035714285714286,282.5,1385.7728301425163,45312.0,153.35714285714286,131.21721403939384,0.0034853896103896106,50,1353.263212234626
56,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,500,279,271.13385009765625,32500.0,119.86699676513672,1079.0,84.028125,25,126,3.1786026200873363,727.9,274.42275014160526,32945.0,400.5039301310044,381.00954997966386,0.01232319785018475,10,271.1338473231242
140,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,250,2594,2280.501708984375,40000.0,17.540000915527344,108.0,84.18867924528301,25,23,4.66046511627907,200.4,2564.346349745331,45312.0,107.19069767441862,81.74456240631814,0.0026797674418604653,90,2280.501591341986
