,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,ensemble_size,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,avg_times_duration,joules,JPI,PERC,tput
141,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,500,837,790.5429077148438,43000.0,54.39300155639648,606.0,88.73882352941177,25,58,5.280188679245283,559.7,830.1942103334555,45312.0,306.25094339622643,287.20531104825574,0.0071221149627029405,90,790.5428781203804
333,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,500,465,455.6112060546875,44500.0,97.6709976196289,914.0,88.49318181818182,25,102,4.126881720430108,767.6,463.00989127769145,45312.0,420.94193548387096,403.07665469261906,0.009459369336716202,50,455.6111955905409
115,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,500,93,87.63436889648438,10500.0,119.81600189208984,3445.0,89.49000000000001,25,124,3.2822222222222224,738.5,89.84700509983,10782.0,406.9955555555556,393.26274398803713,0.03876148148148149,10,87.63437132092456
271,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,250,830,778.3312377929688,42500.0,54.604000091552734,309.0,88.41656804733728,25,59,5.13611111111111,554.6999999999999,827.0424180477478,45312.0,303.0305555555555,280.4522115813361,0.007130130718954247,90,778.3312564783101
264,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,250,461,448.4918518066406,44250.0,98.66400146484376,468.0,88.79545454545455,25,103,4.288709677419355,797.7,458.382227977178,45312.0,441.73709677419356,423.1412578951929,0.009982759249134318,50,448.4918444724471
211,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,250,92,89.72090148925781,10750.0,119.81600189208984,1760.0,88.95238095238095,25,123,3.3620535714285715,753.1,89.84925125623953,10782.0,413.5325892857143,402.82781707559315,0.03846814784053156,10,89.72090397142276
7,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,100,841,780.5130615234375,42200.0,54.06700134277344,123.0,88.97624703087887,25,59,5.215740740740739,563.2999999999998,836.0764632076168,45312.0,307.7287037037036,281.99946163318765,0.007292149376865014,90,780.5130477361017
180,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,100,467,457.6823120117188,44700.0,97.66600036621094,171.0,88.65919282511211,25,102,4.203243243243243,777.5999999999999,463.0572076767429,45312.0,428.7308108108108,410.5139561338682,0.009591293306729549,50,457.6823032825316
281,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,100,93,89.30807495117188,10700.0,119.80999755859376,710.0,89.56603773584905,25,124,3.2831858407079646,742.0,89.84850252495792,10782.0,407.11504424778764,393.3584875596309,0.03804813497642875,10,89.30807293245377
50,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,50,827,774.5532836914062,42650.0,55.06399917602539,61.0,88.65023474178403,25,60,5.12818181818182,564.1000000000001,821.0629314874881,45312.0,307.6909090909092,282.3781994108721,0.007214323777043592,90,774.5532587209832
402,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,50,459,453.1646423339844,45200.0,99.74299621582033,85.0,88.72203765227022,25,103,4.117647058823529,770.0,453.7416260276579,45312.0,424.1176470588235,410.70645500631895,0.009383133784487244,50,453.16465029983516
27,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,50,91,89.72465515136719,10750.0,119.81099700927734,340.0,89.37383177570094,25,123,3.3232142857142857,744.4,89.84775380615484,10782.0,408.7553571428571,398.15761684690204,0.03802375415282392,10,89.7246518962495
401,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,25,794,754.7678833007812,43375.0,57.46799850463867,31.0,88.82583621683968,25,62,5.072807017543861,578.3000000000001,786.816926843668,45312.0,314.5140350877194,291.52406609853114,0.0072510440366044815,90,754.7678904547003
145,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,25,441,439.2557067871094,45300.0,103.12899780273438,44.0,88.64273881833242,25,108,4.099489795918367,803.5,438.75940468467076,45312.0,442.7448979591836,422.77627415559726,0.00977361805649412,50,439.2556988350653
414,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,25,88,84.79025268554688,10175.0,120.0019989013672,176.0,89.14285714285714,25,124,3.256,732.5999999999999,84.86280513170374,10200.0,403.74399999999997,390.72650842285157,0.03968,10,84.79025427204009
386,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,2000,262,248.3032684326172,30000.0,120.81999969482422,7728.0,89.07142857142857,25,125,5.463274336283185,1234.6999999999998,259.46288151406105,31148.0,682.909292035398,660.0728036424754,0.0227636430678466,90,248.3032616766772
134,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,2000,145,133.52806091308594,16000.0,119.8249969482422,12076.0,81.77857142857144,25,125,4.488596491228069,1023.3999999999999,144.73903479536062,17371.0,561.0745614035086,537.846060863294,0.03506716008771929,50,133.52806515748227
97,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,2000,29,16.673057556152344,2000.0,119.9540023803711,42902.0,?,25,124,3.1705357142857147,710.2,24.970035956851778,3000.0,393.1464285714286,380.3184486184802,0.1965732142857143,10,16.6730576747081
263,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,500,248,241.40313720703125,29000.0,120.13099670410156,2007.0,88.15438596491228,25,124,5.557142857142858,1244.8000000000002,244.48368637185243,29351.0,689.0857142857144,667.5851102556502,0.023761576354679806,90,241.4031415341605
319,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,500,138,133.27447509765625,16000.0,120.0530014038086,3334.0,81.64516129032258,25,124,4.476106194690265,1011.6,134.76826158692066,16173.0,555.0371681415929,537.3699832747468,0.034689823008849555,50,133.27446888381095
39,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,500,27,24.60993194580078,3000.0,121.9020004272461,12867.0,80.28,25,126,3.2293859649122805,736.3,24.969412469724585,3000.0,406.90263157894736,393.66860927447937,0.1356342105263158,10,24.609932482531068
86,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,250,253,241.9247131347656,29000.0,119.87200164794922,982.0,88.41043478260869,25,124,4.991592920353983,1128.1000000000001,249.46483753550396,29950.0,618.9575221238939,598.3522347745643,0.02134336283185841,90,241.92471637513643
15,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,250,141,138.83363342285156,16750.0,120.64800262451172,1641.0,81.69090909090909,25,125,4.55929203539823,1030.4,139.75734951003267,16772.0,569.9115044247787,550.0694774526411,0.034024567428345,50,138.83362870192224
159,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,250,28,24.83690452575684,3000.0,120.78800201416016,6139.0,79.63636363636364,25,125,3.261233480176211,740.3,24.96920464760129,3000.0,407.6541850220264,393.91787617217074,0.13588472834067547,10,24.83690391408499
344,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,100,238,233.4130859375,28000.0,119.95899963378906,409.0,87.91039426523297,25,124,5.248444444444445,1180.9,234.53015661446184,28153.0,650.8071111111112,629.5981451890734,0.023243111111111114,90,233.4130835158548
20,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,100,132,129.3628692626953,15500.0,119.81800079345705,687.0,81.12337662337661,25,124,4.455555555555556,1002.5,129.7768444911088,15574.0,552.4888888888889,533.8557590908475,0.03564444444444445,50,129.36286615830778
272,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,100,26,24.934961318969727,3000.0,120.31300354003906,2443.0,80.06896551724138,25,125,3.1458149779735685,714.1,24.969828124349746,3000.0,393.2268722466961,378.48244858124184,0.13107562408223203,10,24.934960575575918
305,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,50,230,229.3711700439453,27550.0,120.11100006103516,204.0,87.50181818181818,25,124,5.257079646017699,1188.1,229.54206549538065,27554.0,651.8778761061947,631.4330936836985,0.023661628896776577,90,229.37116488914666
19,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,50,127,124.76736450195312,14950.0,119.822998046875,316.0,80.51006711409397,25,124,4.433482142857144,993.1000000000001,124.777109337244,14975.0,549.7517857142858,531.2331221444267,0.036772694696607745,50,124.76736723071751
119,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,50,25,24.971698760986328,3000.0,120.13600158691406,1191.0,79.49152542372882,25,124,3.613716814159292,816.7,,,448.10088495575224,434.13748892049875,0.1493669616519174,10,24.971698411567395
23,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,25,228,222.7621612548828,26725.0,119.97100067138672,105.0,87.65543071161048,25,124,5.137333333333333,1155.9,224.5258344231298,26955.0,637.0293333333333,616.3310207824707,0.023836457748674773,90,222.76216627718733
123,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,25,126,124.86034393310548,14975.0,119.93399810791016,122.0,80.22073578595318,25,124,4.3053333333333335,968.6999999999999,124.78230799356714,14975.0,533.8613333333334,516.3558398539226,0.035650172509738454,50,124.8603418233944
100,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,25,25,24.97149085998535,3000.0,120.13700103759766,561.0,79.46218487394958,25,124,3.1475555555555546,708.1999999999998,24.969620295307376,3000.0,390.29688888888876,378.1378850436739,0.13009896296296292,10,24.97149066557047
73,OzaBagExecutorMAXChunk,covtypeNorm,4,2000,3201,3134.848388671875,376000.0,119.94200134277344,593.0,76.8385026737968,25,125,4.722123893805309,1067.1999999999998,3189.2536019932836,382720.0,590.2654867256635,566.3809904115388,0.0015698550178874031,90,3134.848475017998
130,OzaBagExecutorMAXChunk,covtypeNorm,4,2000,1778,1764.857666015625,212000.0,120.1230010986328,908.0,78.71619047619048,25,126,3.9152838427947603,896.6000000000001,1769.3434179542862,212645.0,493.3257641921398,470.3156453494942,0.0023270083216610365,50,1764.8576713957316
237,OzaBagExecutorMAXChunk,covtypeNorm,4,2000,355,350.24224853515625,42000.0,119.91699981689452,3473.0,74.8375,25,125,3.2770925110132163,743.9000000000001,354.12208464824266,42529.0,409.636563876652,392.97910204311825,0.009753251520872667,10,350.24225142499625
156,OzaBagExecutorMAXChunk,covtypeNorm,4,500,3337,3286.9248046875,394500.0,120.02100372314452,140.0,77.2730964467005,25,125,4.66283185840708,1053.8000000000002,3323.8556345363786,398866.0,582.853982300885,559.637759838273,0.0014774498917639672,90,3286.9246861991182
164,OzaBagExecutorMAXChunk,covtypeNorm,4,500,1854,1829.5478515625,219500.0,119.9749984741211,207.0,80.68127853881279,25,126,3.8655021834061136,885.2,1844.7337317507618,221630.0,487.05327510917033,463.76361855586026,0.002218921526693259,50,1829.5478457317647
318,OzaBagExecutorMAXChunk,covtypeNorm,4,500,370,366.92962646484375,44000.0,119.91400146484376,849.0,73.8551724137931,25,125,3.241409691629956,735.8,369.0757701915071,44326.0,405.1762114537445,388.6904065102733,0.009208550260312375,10,366.92962842124706
332,OzaBagExecutorMAXChunk,covtypeNorm,4,250,2964,2926.644287109375,351250.0,120.01799774169922,76.0,77.55327635327636,25,125,4.465198237885462,1013.5999999999999,2950.640705608254,354608.0,558.1497797356828,535.9041520307768,0.0015890385188204494,90,2926.644391751598
260,OzaBagExecutorMAXChunk,covtypeNorm,4,250,1647,1614.2335205078125,193750.0,120.0260009765625,115.0,79.5984496124031,25,125,3.7893805309734514,856.4,1639.9760333535828,197071.0,473.6725663716814,454.8241913111864,0.0024447616328860974,50,1614.2335695899224
395,OzaBagExecutorMAXChunk,covtypeNorm,4,250,329,323.15362548828125,38750.0,119.91200256347656,483.0,72.3922077922078,25,126,3.2475982532751093,743.7,324.1935752468817,38935.0,409.1973799126638,389.4260100718669,0.010559932384842936,10,323.1536390986992
348,OzaBagExecutorMAXChunk,covtypeNorm,4,100,2691,2659.14453125,319100.0,120.0009994506836,33.0,79.11065830721003,25,126,4.274235807860262,978.8,2681.96306560474,322262.0,538.5537117903931,512.9125688311315,0.0016877270817624353,90,2659.1445193016034
85,OzaBagExecutorMAXChunk,covtypeNorm,4,100,1495,1474.9876708984375,177000.0,120.0009994506836,49.0,81.99773883550027,25,126,3.7152838427947597,850.8,1490.4713558137212,179101.0,468.12576419213974,445.8377743783476,0.002644778328769151,50,1474.9877151876647
112,OzaBagExecutorMAXChunk,covtypeNorm,4,100,299,294.34326171875,35300.0,119.9280014038086,209.0,73.15625,25,126,3.1666666666666665,722.0,294.31212524983346,35341.0,399.0,379.77200444539386,0.011303116147308782,10,294.34326918483083
282,OzaBagExecutorMAXChunk,covtypeNorm,4,50,2407,2361.98486328125,283450.0,120.00499725341795,18.0,78.76817219477769,25,125,4.196035242290749,952.5000000000001,2398.6529800111557,288119.0,524.5044052863436,503.5451977263463,0.0018504300768613286,90,2361.9849713544063
4,OzaBagExecutorMAXChunk,covtypeNorm,4,50,1337,1318.455810546875,158100.0,119.91300201416016,27.0,81.2799746915533,25,126,3.6200873362445414,829.0,1330.4280440959578,159666.0,456.1310043668122,434.0955400425274,0.0028850790915041884,50,1318.4558583674725
311,OzaBagExecutorMAXChunk,covtypeNorm,4,50,267,264.2900085449219,31700.0,119.94400024414062,112.0,70.58135860979463,25,125,3.151101321585903,715.3,264.39749152598836,31747.0,393.88766519823787,377.95569768561137,0.012425478397420753,10,264.29000146298335
253,OzaBagExecutorMAXChunk,covtypeNorm,4,25,2411,2362.252197265625,283475.0,120.0019989013672,9.0,79.85535367789734,25,126,4.2148471615720515,965.1999999999998,2404.320345094643,288718.0,531.0707423580785,505.7900844524,0.0018734306106643567,90,2362.2523174217754
367,OzaBagExecutorMAXChunk,covtypeNorm,4,25,1339,1309.0216064453125,157025.0,119.95600128173828,14.0,79.00828025477708,25,126,3.617105263157895,824.7,1330.228528105708,159666.0,455.7552631578948,433.89348358355073,0.0029024375937455487,50,1309.021627281477
398,OzaBagExecutorMAXChunk,covtypeNorm,4,25,267,264.4499206542969,31725.0,119.96600341796876,56.0,69.90220820189275,25,125,3.1519823788546257,715.5,264.38648211995536,31747.0,393.99779735682824,378.13072883505134,0.012419158309119882,10,264.4499199449714
422,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,2000,1034,984.2027587890624,118000.0,119.8939971923828,1861.0,86.5405172413793,25,125,4.614159292035399,1042.8000000000002,1025.9425516144347,123188.0,576.769911504425,553.2100012044991,0.004887880605969703,90,984.2027354435129
72,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,2000,574,549.3133544921875,66000.0,120.1500015258789,3042.0,83.93906249999999,25,125,4.013215859030837,911.0,568.3916130482191,68286.0,501.65198237885465,482.1878915862365,0.007600787611800828,50,549.3133513259621
294,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,2000,114,99.99250030517578,12000.0,120.00900268554688,11833.0,64.57000000000001,25,125,3.298237885462555,748.7,109.81605810267801,13200.0,412.27973568281936,395.81823925404825,0.03435664464023495,10,99.9924983248378
22,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,500,1039,1013.1754760742188,121500.0,119.91999816894533,451.0,86.90661157024793,25,126,4.483771929824561,1022.3,1030.8970985042806,123786.0,564.9552631578947,537.6939216145298,0.004649837556855101,90,1013.1754657703442
162,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,500,577,569.7176513671875,68500.0,120.23500061035156,728.0,85.29558823529412,25,126,3.896943231441048,892.4,573.2916101433957,68885.0,491.01484716157205,468.5489718108198,0.007168099958563096,50,569.7176334035178
136,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,500,115,112.664306640625,13500.0,119.8249969482422,2899.0,67.30000000000001,25,126,3.3183406113537117,759.9,114.7978102007316,13777.0,418.1109170305677,397.6201536286867,0.03097117903930131,10,112.66430497662567
69,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,250,1067,1045.6939697265625,125500.0,120.01599884033205,209.0,86.35369261477047,25,126,4.36943231441048,1000.5999999999999,1060.8488523170204,127374.0,550.5484716157205,524.4017835791975,0.004386840411280641,90,1045.6939175831367
192,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,250,592,587.588134765625,70500.0,119.98200225830078,346.0,85.62562277580071,25,126,3.9473684210526314,900.0,588.2127758729736,70682.0,497.36842105263156,473.61316680908203,0.007054871220604703,50,587.5881271611514
29,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,250,118,114.6129379272461,13750.0,119.96900177001952,1477.0,69.82222222222222,25,126,3.3127192982456144,755.3000000000001,114.79494059026447,13777.0,417.4026315789474,397.42362735480594,0.03035655502392345,10,114.61293998560345
25,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,100,1014,988.3992309570312,118600.0,119.99199676513672,87.0,86.83713080168776,25,126,4.502183406113537,1031.0,1005.9124294255784,120796.0,567.2751091703057,540.2259767024277,0.004783095355567501,90,988.3992532613545
47,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,100,563,555.073974609375,66600.0,119.98400115966795,137.0,85.65112781954886,25,125,3.9647577092511015,900.0,558.4849115504683,67088.0,495.5947136563877,475.70749358458664,0.007441362066912728,50,555.0740045030876
213,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,100,112,109.33431243896484,13100.0,119.81600189208984,614.0,71.39999999999999,25,126,3.3425438596491226,762.0999999999999,109.81483641939302,13178.0,421.16052631578947,400.49024141211254,0.03214965849738851,10,109.33431088610587
284,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,50,896,876.6593627929688,105200.0,120.0009994506836,51.0,86.52971944840704,25,126,4.506986899563318,1032.1,891.5189019464133,107042.0,567.8803493449781,540.842932458736,0.005398102180085343,90,876.6593651849848
106,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,50,498,492.35638427734375,59100.0,120.03500366210938,78.0,85.35139712108382,25,125,4.026872246696035,914.1,493.53751404435934,59301.0,503.3590308370044,483.36562487900517,0.00851707327981395,50,492.3563810300086
428,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,50,99,94.72541809082033,11350.0,119.81999969482422,346.0,72.95575221238938,25,126,3.366228070175439,767.5,94.83455407511103,11381.0,424.14473684210526,403.34144634112977,0.037369580338511475,10,94.72542170679273
151,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,25,714,700.6502075195312,84050.0,119.95999908447266,34.0,86.01844689080632,25,125,4.538766519823788,1030.3,707.5861609226051,84916.0,567.3458149779735,544.4704275626968,0.00675009892894674,90,700.6502220862324
90,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,25,397,394.1535339355469,47300.0,120.00399780273438,50.0,83.59809624537282,25,126,4.0017543859649125,912.4,393.9542782930119,47321.0,504.22105263157897,480.226524540416,0.010660064537665517,50,394.15353543265235
241,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,25,79,74.78792572021484,8975.0,120.00599670410156,190.0,71.12849162011173,25,126,3.5270742358078606,807.7,74.87832272557095,9000.0,444.4113537117904,423.27005911747966,0.049516585371787235,10,74.78792932431227
59,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,2000,2982,2849.976318359375,342000.0,120.0009994506836,657.0,77.275,25,126,4.802631578947368,1095.0,2970.6763413659964,357004.0,605.1315789473684,576.3205894670988,0.0017693905817174516,90,2849.9762632439624
368,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,2000,1657,1643.4945068359375,198000.0,120.4749984741211,968.0,77.84336734693878,25,126,3.907423580786026,894.8,1650.0141475674504,198269.0,492.33537117903927,470.74684993294125,0.0024865422786820167,50,1643.4945217495217
129,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,2000,331,316.9017028808594,38000.0,119.91100311279295,3747.0,70.68055555555556,25,126,3.2689956331877723,748.5999999999999,329.1948739726712,39534.0,411.8934497816593,391.9885455468855,0.010839301310043665,10,316.9016938692083
378,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,500,3031,2995.25927734375,359500.0,120.02300262451172,152.0,77.8799442896936,25,126,4.621052631578947,1053.6,3020.9472449005066,362994.0,582.2526315789473,554.6326121280067,0.001619617890344777,90,2995.2591764820677
430,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,500,1684,1662.8187255859375,199500.0,119.97699737548828,231.0,78.7467336683417,25,126,3.824017467248908,875.6999999999999,1675.1479437688831,201264.0,481.8262008733624,458.79413363194357,0.002415168926683521,50,1662.8187432931918
189,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,500,336,333.5946655273437,40000.0,119.90599822998048,932.0,75.09113924050634,25,126,3.250218340611354,744.3000000000001,334.1854578156747,40133.0,409.5275109170306,389.7206745963951,0.010238187772925766,10,333.59465406626066
13,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,250,2755,2695.13720703125,323500.0,120.03099822998048,83.0,77.67919566898685,25,126,4.444978165938864,1017.9,2746.9060281474453,330049.0,560.0672489082968,533.5351663681097,0.0017312743397474401,90,2695.1371293286343
190,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,250,1530,1506.1998291015625,180750.0,120.00399780273438,123.0,79.95734072022161,25,126,3.8122807017543856,869.1999999999999,1524.9846082167162,183294.0,480.3473684210526,457.48892495673994,0.0026575234767416463,50,1506.1998209186452
298,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,250,306,304.27569580078125,36500.0,119.95700073242188,514.0,73.0206896551724,25,125,3.2211453744493395,731.2,304.2862734321,36539.0,402.64317180616746,386.3989380420567,0.011031319775511438,10,304.27569693425
18,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,100,2831,2774.583984375,333000.0,120.01799774169922,33.0,79.31991589065785,25,125,4.381057268722467,994.5,2821.474342970323,339034.0,547.6321585903083,525.805721383788,0.0016445410167877127,90,2774.5838646356788
142,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,100,1573,1538.0384521484375,184600.0,120.02300262451172,49.0,81.35447154471545,25,126,3.7475982532751093,858.2,1565.1008945288122,188086.0,472.1973799126638,449.797994988454,0.002557948970274452,50,1538.038508980778
80,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,100,314,309.3780822753906,37100.0,119.91799926757812,196.0,72.06486486486486,25,126,3.1807017543859653,725.2,309.29517876625056,37138.0,400.7684210526316,381.4233906528406,0.010802383316782523,10,309.37807690751407
0,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,50,2437,2381.071533203125,285800.0,120.02999877929688,18.0,79.72353455818023,25,126,4.204824561403509,958.7,2428.4322866371417,291713.0,529.8078947368422,504.7050869724207,0.001853771500128909,90,2381.0714230324197
296,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,50,1354,1333.300048828125,160000.0,120.00299835205078,27.0,81.54548296342608,25,126,3.6296943231441046,831.1999999999999,1344.9172025455634,161460.0,457.3414847161572,435.57420187871,0.0028583842794759826,50,1333.3000191429442
300,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,50,270,269.3282470703125,32300.0,119.9280014038086,110.0,70.54263565891473,25,126,3.1969298245614035,728.9,269.38612344157303,32346.0,402.81315789473683,383.4014044878776,0.01247099560045625,10,269.328260472239
331,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,25,2438,2389.067138671875,286700.0,120.00499725341795,9.0,79.37071596755908,25,126,4.2685589519650655,977.5,2428.6142446821796,291713.0,537.8384279475982,512.2484053066203,0.0018759624274419192,90,2389.0671768823718
225,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,25,1354,1334.494384765625,160150.0,120.00800323486328,13.0,81.55066354410617,25,126,3.6714912280701753,837.0999999999999,1345.7090080045264,161730.0,462.60789473684207,440.6083311750177,0.002888591287772976,50,1334.4943310703727
407,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,25,270,269.4783020019531,32325.0,119.9540023803711,54.0,69.82972136222911,25,126,3.165502183406113,724.8999999999999,269.37714966230004,32346.0,398.8532751091702,379.7146564433668,0.0123388484179171,10,269.4782946674697
345,LBagExecutorMAXChunk,covtypeNorm,4,2000,632,583.4013671875,70000.0,119.98600006103516,3118.0,91.40147058823528,25,126,4.737117903930131,1084.8,628.0759276673297,75474.0,596.8768558951965,568.3878291100915,0.008526812227074236,90,583.4013965328622
21,LBagExecutorMAXChunk,covtypeNorm,4,2000,351,316.8990478515625,38000.0,119.91200256347656,5123.0,85.41944444444445,25,125,4.154625550660793,943.0999999999999,349.14898577757054,41930.0,519.3281938325991,498.1894696811222,0.013666531416647346,50,316.8990525354986
206,LBagExecutorMAXChunk,covtypeNorm,4,2000,70,66.6661148071289,8000.0,120.0009994506836,17997.0,67.33333333333333,25,126,3.253947368421053,741.9000000000001,69.88934187536401,8400.0,409.99736842105267,390.4769363704481,0.05124967105263158,10,66.66611142091139
182,LBagExecutorMAXChunk,covtypeNorm,4,500,704,683.4415283203125,82000.0,119.9810028076172,683.0,90.96073619631902,25,126,4.82052401746725,1103.9,697.8853723691985,83860.0,607.3860262008734,578.3713056739242,0.007407146660986261,90,683.4415289183938
426,LBagExecutorMAXChunk,covtypeNorm,4,500,391,387.7455749511719,46500.0,119.92400360107422,1094.0,87.11304347826086,25,125,4.118942731277533,935.0,388.99018407972625,46722.0,514.8678414096917,493.96010293834536,0.011072426696982617,50,387.7455605525121
41,LBagExecutorMAXChunk,covtypeNorm,4,500,78,74.46570587158203,9000.0,120.86100006103516,4329.0,70.68235294117648,25,126,3.3583333333333334,765.7,74.88455298082123,9000.0,423.15000000000003,405.8915252049764,0.04701666666666667,10,74.46570850361137
3,LBagExecutorMAXChunk,covtypeNorm,4,250,686,675.9173583984375,81250.0,120.20700073242188,350.0,90.8172839506173,25,126,4.796069868995634,1098.3000000000002,682.8681744803368,82063.0,604.3048034934499,576.5211742551046,0.007437597581457844,90,675.9173717416069
374,LBagExecutorMAXChunk,covtypeNorm,4,250,381,377.3411865234375,45250.0,119.91799926757812,551.0,86.96888888888888,25,126,4.021052631578947,916.8,379.0381669220009,45524.0,506.65263157894736,482.1965865285773,0.011196743239313753,50,377.34118544649624
139,LBagExecutorMAXChunk,covtypeNorm,4,250,76,74.7719497680664,9000.0,120.36599731445312,2151.0,71.6,25,125,3.2788546255506605,744.3,74.88330684683035,9000.0,409.85682819383254,394.662607053513,0.0455396475770925,10,74.77194723429847
199,LBagExecutorMAXChunk,covtypeNorm,4,100,641,631.4141235351562,75800.0,120.0479965209961,146.0,90.44385733157199,25,126,4.785152838427948,1095.8,638.0294582674544,76672.0,602.9292576419214,574.4480113000328,0.007954211842241706,90,631.414119324705
158,LBagExecutorMAXChunk,covtypeNorm,4,100,356,354.1312561035156,42500.0,120.01200103759766,232.0,86.59433962264151,25,126,4.185087719298246,954.2,354.1043937287162,42529.0,527.321052631579,502.2607517108583,0.012407554179566566,50,354.1312504795707
245,LBagExecutorMAXChunk,covtypeNorm,4,100,71,69.89806365966797,8400.0,120.1750030517578,933.0,73.01204819277109,25,125,3.3083700440528636,751.0,69.891086390375,8400.0,413.54625550660796,397.58338014039697,0.049231697084119994,10,69.89806354639516
82,LBagExecutorMAXChunk,covtypeNorm,4,50,600,590.2838745117188,70850.0,120.0270004272461,79.0,90.11864406779661,25,124,4.929017857142857,1104.1,598.0779631401589,71880.0,611.1982142857142,591.6152284451894,0.008626650872063716,90,590.2838506986222
187,LBagExecutorMAXChunk,covtypeNorm,4,50,333,329.3203430175781,39500.0,119.94400024414062,121.0,85.4321926489227,25,126,4.142358078602619,948.5999999999999,329.1948739726712,39534.0,521.93711790393,496.85099839123046,0.013213597921618482,50,329.32034882611487
84,LBagExecutorMAXChunk,covtypeNorm,4,50,66,64.58118438720703,7750.0,120.00399780273438,506.0,73.96103896103897,25,126,3.426200873362445,784.5999999999999,64.89508627718521,7800.0,431.7013100436681,411.1578020787135,0.05570339484434427,10,64.58118180978977
355,LBagExecutorMAXChunk,covtypeNorm,4,25,517,508.3248596191406,61000.0,120.0019989013672,45.0,89.11521115211151,25,126,4.754824561403509,1084.1,513.4527841812235,61697.0,599.1078947368421,570.5884517937376,0.00982144089732528,90,508.324865906088
