dataset,algorithm,ensemble_size,cores,batch_size,inc_rate,instances,time,delay,out_rate,acc
GMSC,OzaBagASHTExecutorMAXChunk,25,4,500,7755,35000.0,120.78099822998047,1723.0,289.7806701660156,93.24347826086957
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,100,2288,150000.0,65.83599853515625,34.0,2278.388671875,93.39026017344897
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,467,42000.0,98.7959976196289,4389.0,425.1184387207031,89.4175
GMSC,OzaBagExecutorMAXChunk,25,4,25,5988,145675.0,25.125,4.0,5798.009765625,93.3230346721593
airlines,OzaBagExecutorMAXChunk,25,4,50,2513,222650.0,120.0009994506836,26.0,1855.4012451171875,64.46855345911949
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,25,88,10175.0,120.00199890136719,176.0,84.79025268554688,89.14285714285714
GMSC,LBagExecutorMAXChunk,25,4,500,2044,150000.0,73.80699920654297,239.0,2032.32763671875,93.49364548494982
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,250,97,11250.0,120.00599670410156,1714.0,93.74531555175781,75.86363636363636
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,100,176,20900.0,119.81500244140625,347.0,174.43557739257812,93.6201923076923
GMSC,OzaBagExecutorMAXChunk,25,4,50,6291,141600.0,25.131999969482422,8.0,5634.2509765625,93.40162486753798
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,250,1538,147750.0,98.06900024414062,157.0,1506.59228515625,93.54576271186441
GMSC,OzaBagExecutorMAXChunk,25,4,2000,4205,148000.0,35.74300003051758,406.0,4140.6708984375,93.3027397260274
airlines,OzaBagASHTExecutorMAXChunk,25,4,25,1367,102150.0,120.00800323486328,29.0,851.1932373046875,62.60269277845777
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,2000,1034,118000.0,119.89399719238281,1861.0,984.2027587890625,86.5405172413793
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,50,849,101050.0,120.54900360107422,46.0,838.2483520507812,93.50198019801981
airlines,OzaBagAdwinExecutorMAXChunk,25,4,100,614,47600.0,120.24400329589844,252.0,395.8617248535156,68.72842105263159
GMSC,OzaBagASHTExecutorMAXChunk,25,4,25,3431,150000.0,43.78099822998047,5.0,3426.143798828125,93.2948824804134
covtypeNorm,LBagExecutorMAXChunk,25,4,500,391,46500.0,119.92400360107422,1094.0,387.7455749511719,87.11304347826086
GMSC,LBagExecutorMAXChunk,25,4,50,1833,146100.0,82.17500305175781,26.0,1777.9129638671875,93.3378979801438
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,50,99,11350.0,119.81999969482422,346.0,94.72541809082031,72.95575221238938
airlines,OzaBagASHTExecutorMAXChunk,25,4,2000,2494,198000.0,120.90799713134766,1213.0,1637.6087646484375,60.637244897959185
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,500,1684,199500.0,119.97699737548828,231.0,1662.8187255859375,78.7467336683417
airlines,OzaBagAdwinExecutorMAXChunk,25,4,100,68,7800.0,120.31099700927734,997.0,64.83197784423828,64.45454545454545
