,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,methodology,ensemble_size,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,avg_times_duration,joules,JPI,PERC,tput
198,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,100,42,91.82978723404254,120.16000366210938,1468.0,39.94673538208008,,4800.0,25,125,3.376991150442478,763.2,39.94175161223216,4800.0,422.12389380530976,4957.423008849558,3.5130149878517365,10,0.08185286353004725
484,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,75,350,89.46840281925695,119.97599792480467,187.0,349.486572265625,,41930.0,25,124,5.003571428571428,1120.8,349.15770803320873,41930.0,620.4428571428571,935.6678571428571,5.171391510589656,90,0.6415828766032335
196,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,75,194,90.25165562913907,120.06300354003906,317.0,189.27561950683597,,22725.0,25,124,4.351612903225806,944.3,189.64382420329096,22762.0,539.6,1379.4612903225807,4.494307022896126,50,0.3787476452367163
73,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,75,38,91.95151515151515,120.13400268554688,1269.0,34.960960388183594,,4200.0,25,124,3.334375,746.9,34.95165021719954,4200.0,413.46250000000003,4231.321875000001,3.441677549712934,10,0.0946682448270661
251,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,50,398,89.4569395961292,114.97599792480467,119.0,394.0996398925781,,45312.0,25,120,5.418807339449542,1181.3000000000002,393.7126919166906,45312.0,650.2568807339451,644.8380733944955,5.655588057250165,90,0.9661848565109636
382,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,50,221,90.40523074583746,119.9280014038086,176.0,219.7651824951172,,26356.0,25,124,4.557727272727273,1002.7,219.5638047951482,26356.0,565.1581818181818,802.16,4.712478947391463,50,0.6814090988852761
442,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,50,44,91.6842105263158,120.11000061035156,746.0,39.9633674621582,,4800.0,25,125,3.359030837004405,762.5,39.942416349762425,4800.0,419.8788546255506,2505.8370044052863,3.495785966962719,10,0.16100536274846053
494,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,25,422,89.24923729937657,108.16500091552734,57.0,418.425537109375,,45259.0,25,112,5.661538461538462,1104.0,418.47836125528727,45312.0,634.0923076923077,322.7076923076923,5.86226877756428,90,1.8976315950092517
278,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,25,234,90.68618547713321,119.93800354003906,85.0,229.7353515625,,27554.0,25,124,4.520796460176991,1021.7,229.5172092093426,27554.0,560.5787610619469,384.26769911504425,4.673904388235112,50,1.4110353357651655
218,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,25,46,91.31162790697674,120.06400299072266,333.0,44.97601318359375,,5400.0,25,124,3.517857142857143,788.0,44.93409665823459,5400.0,436.2142857142857,1171.4464285714284,3.6331812603981892,10,0.3605525615337017
243,OzaBagExecutorMAXChunk,elecNormNew,4,2000,4034,77.51966012835578,11.24899959564209,613.0,3128.189208984375,,35189.0,25,17,4.878787878787879,161.0,3962.917614133287,45312.0,82.93939393939394,2990.69696969697,7.373046219285581,90,0.01835073343497894
396,OzaBagExecutorMAXChunk,elecNormNew,4,2000,2241,77.53743760399334,20.285999298095703,809.0,2024.302490234375,,41065.0,25,26,4.508333333333334,216.4,2213.6889931115343,45312.0,117.21666666666668,3647.241666666667,5.778205201735864,50,0.02507540086291187
249,OzaBagExecutorMAXChunk,elecNormNew,4,2000,448,77.33422608053195,102.08000183105467,2538.0,443.88714599609375,,45312.0,25,107,3.3923076923076922,661.5,443.0668139905543,45312.0,362.9769230769231,8609.676923076922,3.555808351940082,10,0.040220646899548726
317,OzaBagExecutorMAXChunk,elecNormNew,4,500,4286,77.62106742303989,10.934000015258787,138.0,3560.362060546875,,38929.0,25,16,4.896774193548388,151.8,4259.847701419573,45312.0,78.3483870967742,675.7548387096775,7.165574079699674,90,0.07923188416854193
