dataset,algorithm,ensemble_size,cores,instances,time,delay,out_rate,acc
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,93854.0,598.3469848632812,464.0,156.85546875,79.39221476510066
GMSC,LBagExecutorMAXChunk,25,4,80506.0,599.4010009765625,419.0,134.31076049804688,93.38993710691824
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,40621.0,599.4450073242188,1414.0,67.76435089111328,81.34085213032581
airlines,OzaBagASHTExecutorMAXChunk,25,4,104863.0,599.5089721679688,383.0,174.91481018066406,63.27107279693487
airlines,OzaBagAdwinExecutorMAXChunk,25,4,33175.0,599.3679809570312,1907.0,55.349971771240234,67.29262490087233
elecNormNew,LBagExecutorMAXChunk,25,4,44929.0,599.5830078125,1027.0,74.93374633789062,89.96149490373726
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,45299.0,373.27301025390625,180.0,121.35621643066406,78.00883977900553
airlines,LBagExecutorMAXChunk,25,4,11964.0,599.2230224609375,1843.0,19.96585464477539,61.45222929936306
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,7969.0,599.2080078125,5815.0,13.29922103881836,66.63235294117648
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,24561.0,599.3480224609375,1516.0,40.979530334472656,93.56854410201912
GMSC,OzaBagExecutorMAXChunk,25,4,149741.0,277.2250061035156,230.0,540.1424560546875,93.38745387453875
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,9267.0,599.2100219726562,4481.0,15.465362548828125,65.6165191740413
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,25206.0,599.2960205078125,1578.0,42.059349060058594,88.96833503575077
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,18783.0,599.2630004882812,1526.0,31.3435001373291,91.14093959731544
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,9576.0,599.2260131835938,824.0,15.98061466217041,81.92167101827677
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,45291.0,363.2770080566406,278.0,124.67345428466797,84.3475373547316
GMSC,OzaBagASHTExecutorMAXChunk,25,4,149983.0,262.3160095214844,173.0,571.7645874023438,93.27592561568102
covtypeNorm,LBagExecutorMAXChunk,25,4,24629.0,599.3460083007812,2016.0,41.09312438964844,80.59872611464968
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,138455.0,599.4910278320312,170.0,230.95425415039062,93.34711643090316
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,34794.0,599.3159790039062,1832.0,58.05618667602539,83.6014652014652
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,39988.0,599.27001953125,714.0,66.72785186767578,93.55276381909547
airlines,OzaBagExecutorMAXChunk,25,4,144393.0,599.3560180664062,356.0,240.91357421875,66.10364683301344
elecNormNew,OzaBagExecutorMAXChunk,25,4,45296.0,239.156005859375,224.0,189.39938354492188,76.58947368421053
covtypeNorm,OzaBagExecutorMAXChunk,25,4,139563.0,599.4039916992188,314.0,232.83628845214844,80.99729192995126
