dataset,algorithm,ensemble_size,cores,instances,time,delay,out_rate,acc
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,137698.0,599.5230102539062,401.0,229.67926025390625,82.5401353081002
GMSC,LBagExecutorMAXChunk,25,4,56684.0,599.2839965820312,351.0,94.5862045288086,93.33451799200355
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,27717.0,599.4149780273438,1668.0,46.24008560180664,78.37725118483412
airlines,OzaBagASHTExecutorMAXChunk,25,4,124748.0,599.31201171875,379.0,208.15200805664062,65.58126388047648
airlines,OzaBagAdwinExecutorMAXChunk,25,4,28460.0,599.2420043945312,1513.0,47.49333190917969,67.39026629935721
elecNormNew,LBagExecutorMAXChunk,25,4,45310.0,546.3079833984375,680.0,82.93856811523438,90.11673151750973
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,45293.0,156.09800720214844,115.0,290.1574401855469,75.60491071428571
airlines,LBagExecutorMAXChunk,25,4,17834.0,599.2440185546875,2111.0,29.760831832885742,60.76680972818311
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,9120.0,602.8389892578125,6678.0,15.12841796875,65.25227963525836
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,24701.0,599.322021484375,1624.0,41.21490478515625,93.63578274760384
GMSC,OzaBagExecutorMAXChunk,25,4,149985.0,359.3219909667969,175.0,417.4111328125,93.34026496729834
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,7838.0,599.2030029296875,5997.0,13.080708503723145,66.27796610169491
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,16964.0,599.260986328125,1879.0,28.30820083618164,89.22981366459626
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,13248.0,599.5800170898438,2083.0,22.09546661376953,91.15415019762845
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,5380.0,599.343994140625,2730.0,8.976481437683105,82.12322274881517
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,45294.0,214.16600036621094,335.0,211.4901580810547,84.73660714285714
GMSC,OzaBagASHTExecutorMAXChunk,25,4,149988.0,313.2099914550781,291.0,478.8736267089844,93.36560934891486
covtypeNorm,LBagExecutorMAXChunk,25,4,17360.0,599.219970703125,2362.0,28.970996856689453,76.67477203647415
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,134179.0,599.541015625,199.0,223.80287170410156,93.40014958863127
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,19662.0,599.2949829101562,2051.0,32.80855178833008,76.45883940620783
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,52903.0,599.3289794921875,1072.0,88.2703857421875,93.40834141610087
airlines,OzaBagExecutorMAXChunk,25,4,293418.0,599.3679809570312,349.0,489.5456848144531,61.86992564738056
elecNormNew,OzaBagExecutorMAXChunk,25,4,45301.0,275.22100830078125,76.0,164.5986328125,77.33112582781457
covtypeNorm,OzaBagExecutorMAXChunk,25,4,91720.0,599.4869995117188,397.0,152.9974822998047,80.5010989010989
