dataset,algorithm,batch_size,acc,instances,time,JPI,joules,cores,label,delay,delay_s,IPS,delay_normalized,JPI_normalized
airlines,LBagMB,MB-DP,61.5869,10891.0000,599.2180,0.2020,2153.8740,4,MB-DP,2685.0000,2.6850,18.1754,0.3694,0.5386
airlines,ARFMB,MB-DP,65.5567,10809.0000,599.2120,0.1770,1876.2077,4,MB-DP,4394.0000,4.3940,18.0387,0.6046,0.4719
GMSC,SRPMB,MB-DP,93.5645,34914.0000,599.4030,0.0497,1700.1002,4,MB-DP,1047.0000,1.0470,58.2480,0.1441,0.1326
GMSC,OBMB,MB-DP,93.2909,149845.0000,408.2230,0.0084,1218.7527,4,MB-DP,105.0000,0.1050,367.0665,0.0144,0.0224
GMSC,OBAdwinMB,MB-DP,93.3900,90329.0000,599.2890,0.0190,1680.3413,4,MB-DP,312.0000,0.3120,150.7269,0.0429,0.0507
GMSC,OBASHTMB,MB-DP,93.1260,150000.0000,335.2840,0.0069,996.7370,4,MB-DP,108.0000,0.1080,447.3819,0.0149,0.0184
GMSC,LBagMB,MB-DP,93.3760,53023.0000,599.5290,0.0331,1720.3710,4,MB-DP,971.0000,0.9710,88.4411,0.1336,0.0883
GMSC,ARFMB,MB-DP,93.4013,44073.0000,599.3790,0.0416,1797.0503,4,MB-DP,891.0000,0.8910,73.5311,0.1226,0.1110
elecNormNew,SRPMB,MB-DF,90.7263,17646.0000,599.4610,0.1047,1813.1926,4,MB-DF,436.0000,0.4360,29.4364,0.0600,0.2793
elecNormNew,OBMB,MB-DF,76.9431,45309.0000,230.3650,0.0164,704.4761,4,MB-DF,36.0000,0.0360,196.6835,0.0050,0.0437
elecNormNew,OBAdwinMB,MB-DF,84.4200,45306.0000,515.3400,0.0355,1567.8977,4,MB-DF,95.0000,0.0950,87.9148,0.0131,0.0947
elecNormNew,OBASHTMB,MB-DF,77.7495,45308.0000,414.3000,0.0278,1222.2388,4,MB-DF,58.0000,0.0580,109.3604,0.0080,0.0741
elecNormNew,LBagMB,MB-DF,90.1046,45225.0000,506.3680,0.0371,1633.9276,4,MB-DF,306.0000,0.3060,89.3125,0.0421,0.0989
elecNormNew,ARFMB,MB-DF,89.5711,17816.0000,599.4590,0.1021,1783.8529,4,MB-DF,309.0000,0.3090,29.7201,0.0425,0.2721
covtypeNorm,SRPMB,MB-DF,81.4359,6035.0000,599.3050,0.3125,1847.0330,4,MB-DF,670.0000,0.6700,10.0700,0.0922,0.8334
covtypeNorm,OBMB,MB-DF,81.7651,120209.0000,599.3810,0.0162,1902.6685,4,MB-DF,99.0000,0.0990,200.5552,0.0136,0.0432
covtypeNorm,OBAdwinMB,MB-DF,83.1741,43889.0000,599.5420,0.0478,2052.3201,4,MB-DF,251.0000,0.2510,73.2042,0.0345,0.1275
covtypeNorm,OBASHTMB,MB-DF,80.8513,122472.0000,599.5490,0.0151,1815.1713,4,MB-DF,79.0000,0.0790,204.2735,0.0109,0.0403
covtypeNorm,LBagMB,MB-DF,81.9685,23896.0000,599.3760,0.0856,2004.0242,4,MB-DF,396.0000,0.3960,39.8681,0.0545,0.2283
covtypeNorm,ARFMB,MB-DF,84.2155,37683.0000,599.4410,0.0524,1935.2062,4,MB-DF,322.0000,0.3220,62.8636,0.0443,0.1398
