dataset,algorithm,ensemble_size,cores,batch_size,inc_rate,instances,time,delay,out_rate
GMSC,LBagExecutorMAXChunk,25,4,50,41,4800.0,120.04000091552734,652.0,39.986671447753906
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,50,100,11980.0,119.80599975585938,307.0,99.9949951171875
covtypeNorm,LBagExecutorMAXChunk,25,4,500,70,8400.0,120.0,4952.0,70.0
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,10,1200.0,119.94499969482422,74642.0,10.004585266113281
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,50,409,45312.0,112.11199951171875,73.0,404.1672668457031
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,50,55,6600.0,120.09500122070312,557.0,54.95649337768555
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,2000,32,3600.0,119.96099853515625,35077.0,30.009754180908203
GMSC,OzaBagExecutorMAXChunk,25,4,500,551,65890.0,119.90899658203125,532.0,549.5000610351562
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,500,102,11980.0,119.81800079345703,3384.0,99.98497772216797
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,2000,398,45312.0,114.89700317382812,3097.0,394.37060546875
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,500,429,45312.0,106.87899780273438,730.0,423.9560852050781
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,500,288,34143.0,119.87300109863281,1208.0,284.8264465332031
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,500,43,4800.0,119.97000122070312,8495.0,40.01000213623047
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,500,58,6600.0,119.99500274658203,5577.0,55.002288818359375
elecNormNew,LBagExecutorMAXChunk,25,4,500,32,3600.0,119.96900177001953,9184.0,30.00775146484375
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,500,162,19168.0,119.81400299072266,2128.0,159.98130798339844
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,85,10184.0,120.00800323486328,15326.0,84.86100769042969
covtypeNorm,OzaBagExecutorMAXChunk,25,4,50,10,1200.0,120.03199768066406,2571.0,9.997334480285645
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,50,206,24559.0,119.85800170898438,131.0,204.9008026123047
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,500,32,3600.0,119.96399688720703,9244.0,30.009002685546875
covtypeNorm,LBagExecutorMAXChunk,25,4,2000,38,4000.0,120.97899627685547,36506.0,33.06359100341797
elecNormNew,OzaBagExecutorMAXChunk,25,4,500,862,45312.0,52.808998107910156,422.0,858.0355834960938
GMSC,OzaBagASHTExecutorMAXChunk,25,4,500,1440,150000.0,104.5,235.0,1435.40673828125
GMSC,OzaBagASHTExecutorMAXChunk,25,4,50,170,20366.0,119.82599639892578,153.0,169.96311950683594
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,500,154,17970.0,119.8290023803711,2257.0,149.9636993408203
GMSC,LBagExecutorMAXChunk,25,4,500,378,44925.0,119.88200378417969,888.0,374.7434997558594
elecNormNew,LBagExecutorMAXChunk,25,4,500,33,3600.0,119.96700286865234,9121.0,30.008251190185547
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,50,41,4800.0,119.99299621582031,637.0,40.00233459472656
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,2000,58,6600.0,119.98899841308594,20981.0,55.005043029785156
GMSC,OzaBagASHTExecutorMAXChunk,25,4,2000,1530,150000.0,98.66100311279297,961.0,1520.3575439453125
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,42,4800.0,119.98600006103516,29369.0,40.00466537475586
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,500,58,6600.0,119.99299621582031,5534.0,55.003211975097656
GMSC,OzaBagASHTExecutorMAXChunk,25,4,500,850,101781.0,120.0009994506836,365.0,848.1679077148438
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,50,6,600.0,120.01300048828125,5141.0,4.999458312988281
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,50,4,2400.0,120.22000122070312,1489.0,19.96339988708496
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,500,371,44326.0,119.90499877929688,794.0,369.6759948730469
covtypeNorm,OzaBagExecutorMAXChunk,25,4,2000,90,10782.0,119.81400299072266,14592.0,89.9894790649414
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,500,56,6600.0,119.99099731445312,5619.0,55.004127502441406
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,500,306,36500.0,120.18000030517578,1135.0,303.7110900878906
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,500,160,19168.0,119.81800079345703,1970.0,159.97596740722656
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,50,23,2400.0,120.18800354003906,1498.0,19.96871566772461
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,43,4800.0,119.9749984741211,33636.0,40.00833511352539
GMSC,OzaBagASHTExecutorMAXChunk,25,4,50,1530,150000.0,98.35199737548828,22.0,1525.13427734375
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,2000,371,44326.0,119.89700317382812,3243.0,369.7006530761719
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,500,41,4800.0,119.98500061035156,6412.0,40.005001068115234
GMSC,LBagExecutorMAXChunk,25,4,2000,359,42529.0,119.875,3821.0,354.77789306640625
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,500,19,1800.0,119.94999694824219,17600.0,15.006253242492676
covtypeNorm,LBagExecutorMAXChunk,25,4,50,68,7800.0,120.1259994506836,530.0,64.93182373046875
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,50,95,11382.0,120.00700378417969,319.0,94.84446716308594
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,50,56,6600.0,120.0770034790039,564.0,54.96472930908203
GMSC,LBagExecutorMAXChunk,25,4,50,210,25158.0,119.86000061035156,139.0,209.89488220214844
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,50,102,11980.0,119.81400299072266,318.0,99.98831176757812
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,2000,40,4800.0,119.96700286865234,27394.0,40.01100158691406
GMSC,LBagExecutorMAXChunk,25,4,2000,199,23361.0,119.8239974975586,6259.0,194.96095275878906
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,2000,79,8986.0,120.00499725341797,13867.0,74.88021850585938
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,500,18,1800.0,119.9540023803711,17999.0,15.005751609802246
elecNormNew,LBagExecutorMAXChunk,25,4,2000,30,3600.0,119.9540023803711,36229.0,30.011503219604492
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,50,4,2400.0,120.0530014038086,1359.0,19.99117088317871
GMSC,OzaBagExecutorMAXChunk,25,4,50,522,62296.0,119.927001953125,54.0,519.4493408203125
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,50,795,45312.0,57.04499816894531,40.0,794.3203125
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,500,34,3600.0,119.96399688720703,9193.0,30.009002685546875
elecNormNew,LBagExecutorMAXChunk,25,4,2000,152,17970.0,119.82599639892578,8330.0,149.9674530029297
elecNormNew,OzaBagExecutorMAXChunk,25,4,50,95,11381.0,119.81400299072266,277.0,94.98889923095703
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,50,11,1200.0,120.03600311279297,2649.0,9.997000694274902
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,50,19,1800.0,120.00900268554688,1775.0,14.99887466430664
elecNormNew,LBagExecutorMAXChunk,25,4,50,294,34742.0,119.90899658203125,108.0,289.73638916015625
elecNormNew,LBagExecutorMAXChunk,25,4,2000,163,19168.0,119.83200073242188,7678.0,159.957275390625
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,50,58,6600.0,120.16799926757812,590.0,54.9231071472168
covtypeNorm,LBagExecutorMAXChunk,25,4,2000,7,600.0,119.93800354003906,64547.0,5.002584457397461
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,500,20,2400.0,119.95700073242188,14294.0,20.007169723510742
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,500,773,45312.0,58.98899841308594,470.0,768.1432495117188
GMSC,OzaBagExecutorMAXChunk,25,4,50,108,12580.0,120.00199890136719,248.0,104.83158874511719
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,50,6,600.0,120.04199981689453,5226.0,4.998250484466553
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,50,619,73677.0,119.97599792480469,48.0,614.0978393554688
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,50,736,45312.0,61.816001892089844,45.0,733.0140991210938
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,50,66,7788.0,120.0009994506836,518.0,64.89945983886719
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,500,11,1200.0,119.94300079345703,26279.0,10.004752159118652
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,2000,739,44583.0,61.79800033569336,1988.0,721.4310913085938
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,50,160,19168.0,119.86799621582031,184.0,159.90924072265625
elecNormNew,LBagExecutorMAXChunk,25,4,500,302,35940.0,119.87300109863281,1092.0,299.8172912597656
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,50,18,1800.0,120.03900146484375,1776.0,14.995126724243164
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,155,18569.0,119.81600189208984,8159.0,154.9792938232422
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,50,79,8986.0,120.00599670410156,329.0,74.87959289550781
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,50,143,16772.0,119.91699981689453,259.0,139.8634033203125
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,500,107,12580.0,120.00199890136719,2546.0,104.83158874511719
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,500,717,45312.0,63.40999984741211,498.0,714.5875854492188
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,500,32,3600.0,119.96900177001953,9074.0,30.00775146484375
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,4
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,500,95,11382.0,120.0009994506836,3280.0,94.84921264648438
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,500,968,115414.0,119.83200073242188,338.0,963.1317138671875
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,500,17,1800.0,119.95600128173828,17850.0,15.005501747131348
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,50,7,600.0,120.04199981689453,5142.0,4.998250484466553
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,500,537,64000.0,120.00700378417969,569.0,533.3021850585938
covtypeNorm,LBagExecutorMAXChunk,25,4,2000,8,600.0,119.93699645996094,63737.0,5.002626419067383
