,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,ensemble_size,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,avg_times_duration,joules,JPIold,JPI,PERC,tput
14,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,2000,169,30.921106338500977,18530.0,599.2670288085938,35072.0,78.44525105868118,25,605,3.0270394133822185,3302.5000000000005,30.870213492598978,18530.0,1831.3588450962422,1814.0049153440707,0.0001633588458382201,0.09883210173212316,90,30.92110713456003
4,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,500,169,30.904111862182617,18520.0,599.2730102539062,9170.0,80.29411764705883,25,605,2.98955087076077,3261.6000000000004,30.85314270578063,18520.0,1808.678276810266,1791.5571496279933,0.00016142283319442604,0.09766081408262775,50,30.904111620433653
49,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,50,169,34.86637878417969,20901.0,599.4600219726562,787.0,82.85453935063066,25,605,2.9043996333638864,3168.7000000000003,34.818635241436525,20901.0,1757.1617781851512,1741.07146803369,0.00013895984083842335,0.08407070370724612,10,34.86637846377248
70,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,25,169,48.31946563720703,28971.0,599.572021484375,287.0,83.65922752711946,25,605,3.165169569202566,3453.2,48.26111075017866,28971.0,1914.9275893675524,1897.747116947611,0.00010925303127964399,0.0660980839241846,90,48.31946615566849
25,OzaBagExecutorMAXChunk,elecNormNew,4,2000,1664,837.810302734375,45287.0,54.05400085449219,1734.0,76.05285651581306,25,61,3.5482142857142853,397.4,823.3605291370632,45312.0,216.4410714285714,191.79517803192135,7.83495105817185e-05,0.004779320145484828,50,837.8103245661306
42,OzaBagExecutorMAXChunk,elecNormNew,4,500,1664,835.2884521484375,45286.0,54.21599960327149,400.0,77.68945652659313,25,61,3.3171171171171165,368.19999999999993,823.3306077950396,45312.0,202.3441441441441,179.84082030562666,7.324818083109828e-05,0.004468139030696995,10,835.2884818389913
75,OzaBagExecutorMAXChunk,elecNormNew,4,50,1664,703.08935546875,45312.0,64.4469985961914,48.0,78.77910830277054,25,71,3.4728682170542635,448.0,696.7111029106508,45312.0,246.5736434108527,223.81593310925388,7.664345464897297e-05,0.005441685280077081,90,703.0893755644624
2,OzaBagExecutorMAXChunk,elecNormNew,4,25,1664,491.8427734375,45312.0,92.1269989013672,30.0,79.8330646763972,25,98,3.530337078651686,628.4000000000001,486.9378324646714,45312.0,345.9730337078652,325.23936016639976,7.791174696883135e-05,0.007635351202945472,50,491.8427881115701
12,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,2000,1208,330.5008850097656,45312.0,137.1009979248047,3580.0,76.29525304765423,25,144,3.167816091954023,826.8,328.1504602304411,45312.0,456.1655172413793,434.3107474491514,6.99111955321774e-05,0.010067212156633547,10,330.50087662273705
74,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,500,1208,544.4517822265625,45312.0,83.2249984741211,566.0,78.28483441935195,25,89,3.5543209876543207,575.8,539.1012599493165,45312.0,316.33456790123455,295.8083587740674,7.844105287019599e-05,0.006981253705447443,90,544.4517973057076
