dataset,algorithm,ensemble_size,cores,instances,time,delay,out_rate,acc
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,330102.0,120.0009994506836,154.0,2750.8271484375,78.38000000000001
GMSC,LBagExecutorMAXChunk,25,4,89105.0,119.43199920654297,289.0,746.0730590820312,93.46179775280899
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,139285.0,120.11100006103516,278.0,1159.6356201171875,84.99533213644524
airlines,OzaBagASHTExecutorMAXChunk,25,4,192751.0,120.25599670410156,271.0,1602.8389892578125,65.30376134889754
airlines,OzaBagAdwinExecutorMAXChunk,25,4,51426.0,120.01000213623047,58.0,428.5142822265625,69.30870199319396
elecNormNew,LBagExecutorMAXChunk,25,4,26001.0,119.30699920654297,1395.0,217.93356323242188,89.28846153846153
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,26001.0,119.10800170898438,580.0,218.2976837158203,72.42692307692307
airlines,LBagExecutorMAXChunk,25,4
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,8501.0,125.47200012207031,7293.0,67.75216674804688,65.05882352941177
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,90001.0,120.37899780273438,595.0,747.6470336914062,93.51222222222222
GMSC,OzaBagExecutorMAXChunk,25,4,85935.0,119.08699798583984,691.0,721.6152954101562,93.31952662721893
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,12751.0,122.3550033569336,2372.0,104.21315002441406,65.89019607843137
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,28501.0,119.53800201416016,1421.0,238.42626953125,89.15789473684211
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,27751.0,120.00900268554688,1562.0,231.24098205566406,90.59099099099099
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,39001.0,121.43800354003906,1522.0,321.1597595214844,93.92820512820514
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,28751.0,119.23999786376953,640.0,241.11875915527344,86.35478260869566
GMSC,OzaBagASHTExecutorMAXChunk,25,4,91501.0,119.23600006103516,344.0,767.3941040039062,93.36502732240437
covtypeNorm,LBagExecutorMAXChunk,25,4,93501.0,120.18900299072266,630.0,777.94970703125,91.09732620320855
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,88751.0,119.36699676513672,205.0,743.5137329101562,93.41070422535212
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,131001.0,120.76399993896484,1708.0,1084.7686767578125,90.09847328244275
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,85501.0,119.34300231933594,912.0,716.4307861328125,93.52865497076024
airlines,OzaBagExecutorMAXChunk,25,4,261513.0,120.0270004272461,123.0,2178.78466796875,63.67456978967495
elecNormNew,OzaBagExecutorMAXChunk,25,4,25501.0,119.08000183105469,1285.0,214.150146484375,79.05098039215687
covtypeNorm,OzaBagExecutorMAXChunk,25,4,325501.0,120.01300048828125,158.0,2712.214599609375,74.33118279569892
