,algorithm,dataset,cores_x,instances,time,delay,acc,ensemble_size,inc_rate_x,cores_y,duration,avg_measure,sum_measure,inc_rate_y,prod_rate,tt_inst_prod,avg_times_duration,joules,IPS,JPI,tput
13,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,27365.0,119.697998046875,1414.0,90.48888888888888,25,100,4,131,3.814767932489452,904.1000000000001,,,,499.73459915611824,456.62008453240384,228.61702322944095,0.018261816157724035,228.61702322944095
22,OzaBagExecutorMAXChunk,elecNormNew,4,28501.0,119.1719970703125,1214.0,76.05614035087719,25,100,4,133,3.167219917012448,763.3,,,,421.2402489626556,377.44392267124283,239.15853305021116,0.01477984102181171,239.15853305021116
15,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,26001.0,119.18099975585938,659.0,86.52307692307693,25,100,4,132,3.0741666666666663,737.8,,,,405.78999999999996,366.38225674947097,218.16396953593852,0.015606707434329448,218.16396953593852
6,OzaBagASHTExecutorMAXChunk,elecNormNew,4,27185.0,119.1999969482422,959.0,78.36296296296297,25,100,4,133,2.906639004149377,700.4999999999999,,,,386.5829875518671,346.4713604242475,228.06208637575713,0.014220451997493732,228.06208637575713
5,LBagExecutorMAXChunk,elecNormNew,4,28119.0,119.08399963378906,1317.0,89.15714285714286,25,100,4,133,3.212448132780083,774.2,,,,427.25560165975105,382.55117226754976,236.1274401806494,0.015194551785616524,236.1274401806494
12,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,28001.0,119.46499633789062,1369.0,89.1392857142857,25,100,4,131,3.695798319327731,879.5999999999999,,,,484.1495798319327,441.51853268406967,234.3866476235679,0.01729043890689378,234.3866476235679
14,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,40001.0,121.44400024414062,1483.0,94.2275,25,100,4,132,5.7375,1377.0,,,,757.35,696.7849514007568,329.37814893766193,0.0189332766680833,329.37814893766193
23,OzaBagExecutorMAXChunk,covtypeNorm,4,320501.0,119.81199645996094,159.0,77.77223088923557,25,100,4,133,4.46804979253112,1076.7999999999997,,,,594.2506224066389,535.3259659256677,2675.032630034721,0.0018541303222349972,2675.032630034721
2,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,149501.0,120.08499908447266,198.0,84.26354515050167,25,100,4,133,4.95103734439834,1193.2,,,,658.4879668049792,594.5453149692646,1244.9598296189763,0.004404572322626465,1244.9598296189763
0,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,314001.0,120.02400207519533,166.0,77.66337579617834,25,100,4,133,4.703319502074689,1133.5,,,,625.5414937759336,564.5112296773191,2616.1517244132356,0.001992164017872343,2616.1517244132356
17,LBagExecutorMAXChunk,covtypeNorm,4,94001.0,120.15399932861328,626.0,91.0372340425532,25,100,4,132,5.259832635983263,1257.1,,,,694.2979079497907,631.9899270125512,782.3376710326008,0.007386069381706478,782.3376710326008
19,AdaptiveRandomForestExecutorMAXChunk,covtypeNorm,4,129001.0,121.63099670410156,1689.0,89.7015503875969,25,100,4,133,5.451867219917013,1313.9,,,,725.0983402489627,663.1160438569256,1060.5931341155401,0.005620873793605962,1060.5931341155401
