dataset,algorithm,ensemble_size,cores,batch_size,inc_rate,instances,time,delay,out_rate
covtypeNorm,OzaBagExecutorMAXChunk,25,4,500,85,10184.0,120.00199890136719,4223.0,84.86524963378906
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,2000,3562,139996.0,42.125,598.0,3323.34716796875
covtypeNorm,LBagExecutorMAXChunk,25,4,500,46,5400.0,119.9729995727539,7125.0,45.010128021240234
covtypeNorm,OzaBagExecutorMAXChunk,25,4,500,76,9000.0,121.5979995727539,4693.0,74.01437377929688
GMSC,LBagExecutorMAXChunk,25,4,50,41,4800.0,120.02400207519531,650.0,39.992000579833984
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,500,599,71000.0,120.48899841308594,834.0,589.2654418945312
GMSC,OzaBagASHTExecutorMAXChunk,25,4,500,2459,149864.0,61.1870002746582,160.0,2449.2783203125
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,500,33,3600.0,119.96600341796875,9320.0,30.008501052856445
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,126,14976.0,120.00599670410156,10794.0,124.79376220703125
covtypeNorm,OzaBagExecutorMAXChunk,25,4,500,47,5400.0,119.97599792480469,6993.0,45.009002685546875
elecNormNew,OzaBagExecutorMAXChunk,25,4,500,1487,41439.0,30.496999740600586,308.0,1358.7894287109375
airlines,LBagExecutorMAXChunk,25,4,500,149,7500.0,134.67599487304688,8864.0,55.689212799072266
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,160,8000.0,136.38999938964844,32539.0,58.65532684326172
elecNormNew,OzaBagExecutorMAXChunk,25,4,500,297,35341.0,119.88099670410156,970.0,294.8006896972656
airlines,LBagExecutorMAXChunk,25,4,2000,97
GMSC,LBagExecutorMAXChunk,25,4,500,173,20366.0,119.81700134277344,1753.0,169.9758758544922
GMSC,OzaBagASHTExecutorMAXChunk,25,4,2000,4285,143697.0,35.53200149536133,483.0,4044.1572265625
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,2000,1200,41521.0,37.763999938964844,1561.0,1099.486328125
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,2000,61,7200.0,120.0,19913.0,60.0
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,112,13178.0,119.81600189208984,13173.0,109.98530578613281
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,340,40000.0,120.16999816894531,5160.0,332.8617858886719
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,76,9000.0,119.99700164794922,16986.0,75.00187683105469
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,50,37,4200.0,120.052001953125,821.0,34.984840393066406
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,70,8387.0,120.0009994506836,17120.0,69.89108276367188
