,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,joules,JPI,freq_minimum,freq_maximum,PERC
40,OzaBag,elecNormNew,1,1,64,60.0009994506836,7200.0,119.9980010986328,19.0,87.52777777777779,128,3.2038793103448278,743.3000000000001,59.90515017888344,7200.0,384.45911300264555,0.05339709902814522,600,600,0
107,LeveragingBag,elecNormNew,1,1,276,244.12741088867188,29297.0,120.00700378417967,7314.0,90.0126292794484,128,3.462931034482758,803.3999999999999,274.41589271583854,32945.0,415.5759777595256,0.01418493285181164,600,600,0
138,LeveragingBag,elecNormNew,1,1,153,149.86865234375,17970.0,119.90499877929688,823.0,91.13522537562604,128,3.381304347826087,777.7,149.72754086886968,17970.0,405.4352936985182,0.022561785959850762,600,600,0
134,LeveragingBag,elecNormNew,1,1,30,30.005250930786133,3600.0,119.97899627685548,42.0,90.63888888888889,128,3.20948275862069,744.6000000000001,29.959055956858958,3600.0,385.07051994718364,0.10696403331866212,600,600,0
140,LBagExecutorRUNPER,elecNormNew,4,1,276,274.6034545898437,32945.0,119.9729995727539,1031.0,89.91045682197603,128,3.582327586206896,831.0999999999999,274.41132128905434,32945.0,429.7825859694645,0.013045457154938973,600,600,0
119,LBagExecutorRUNPER,elecNormNew,4,1,153,149.889892578125,17970.0,119.88800048828124,291.0,91.21313299944352,128,3.420689655172414,793.6,149.7337788406256,17970.0,410.09964304956895,0.022821349084561432,600,600,0
98,LBagExecutorRUNPER,elecNormNew,4,1,30,30.00625228881836,3600.0,119.9749984741211,22.0,90.88888888888889,128,3.2475770925110132,737.2,29.96030259905625,3600.0,389.62805671859945,0.10823001575516651,600,600,0
96,AdaptiveRandomForestSequential,elecNormNew,1,1,184,135.9788055419922,16318.0,120.00399780273438,11417.0,89.49626179678883,125,3.5189427312775323,798.7999999999998,179.66257029785461,21564.0,422.2871957921771,0.02587861231720659,600,600,0
45,AdaptiveRandomForestSequential,elecNormNew,1,1,102,99.8416519165039,11980.0,119.98999786376952,1157.0,89.55759599332221,125,3.446902654867256,778.9999999999999,99.82917378442565,11980.0,413.5938421941435,0.03452369300451949,600,600,0
32,AdaptiveRandomForestSequential,elecNormNew,1,1,20,20.00300025939941,2400.0,119.98200225830078,56.0,86.66666666666667,125,3.2572072072072085,723.1000000000003,19.975363718081034,2400.0,390.80624249088885,0.1628359343712037,600,600,0
17,AdaptiveRandomForestExecutorRUNPER,elecNormNew,4,1,184,179.78089904785156,21564.0,119.9459991455078,1673.0,89.57521795585235,125,3.7176211453744497,843.9000000000001,179.66556410021414,21564.0,445.9137827264055,0.020678620975997288,600,600,0
128,AdaptiveRandomForestExecutorRUNPER,elecNormNew,4,1,102,99.9307632446289,11980.0,119.88300323486328,446.0,89.31552587646077,126,3.4803493449781664,797.0000000000001,99.83083756239428,11980.0,417.23473178247184,0.034827606993528534,600,600,0
136,AdaptiveRandomForestExecutorRUNPER,elecNormNew,4,1,20,20.00416755676269,2400.0,119.9749984741211,35.0,86.95833333333334,126,3.2733624454148478,749.6000000000001,19.975696236245902,2400.0,392.72165439389164,0.16363402266412153,600,600,0
5,StreamingRandomPatchesExecutorRUNPER,covtypeNorm,4,1,46,44.85646438598633,5383.0,120.00499725341795,1133.0,82.37042541333828,125,3.603964757709251,818.0999999999999,44.93970589459142,5400.0,432.4937808503137,0.0803443768995567,600,600,0
9,StreamingRandomPatchesExecutorRUNPER,covtypeNorm,4,1,25,24.99020767211914,2999.0,120.00700378417967,417.0,79.99333111037012,125,3.4863013698630136,763.5,24.970243792813562,3000.0,418.3805816859415,0.13950669612735628,600,600,0
102,StreamingRandomPatchesExecutorRUNPER,covtypeNorm,4,1,5,5.002793312072754,600.0,119.93299865722656,152.0,77.16666666666666,125,3.2203539823008853,727.8000000000001,4.994963411893008,600.0,386.2267098350863,0.6437111830584772,600,600,0
125,StreamingRandomPatches,covtypeNorm,1,1,46,41.63125991821289,4997.0,120.02999877929688,4927.0,82.9097458475085,125,3.5515418502202634,806.1999999999998,44.93858393528844,5400.0,426.29156394655996,0.08530949848840504,600,600,0
109,StreamingRandomPatches,covtypeNorm,1,1,25,24.9743766784668,2997.0,120.00299835205078,360.0,79.9466132799466,125,3.3656387665198237,764.0,24.96920464760129,3000.0,403.88674335227665,0.13476367812888776,600,600,0
135,StreamingRandomPatches,covtypeNorm,1,1,5,5.0010833740234375,600.0,119.9739990234375,106.0,77.0,125,3.2149779735682826,729.8000000000002,4.995004995004995,600.0,385.7137642612542,0.642856273768757,600,600,0
59,OzaBagExecutorRUNPER,covtypeNorm,4,1,135,131.05723571777344,15727.0,120.0009994506836,1005.0,66.27455967444521,127,3.599130434782609,827.8000000000001,134.75366400319948,16173.0,431.8992493272865,0.027462278204825236,600,600,0
78,OzaBagExecutorRUNPER,covtypeNorm,4,1,75,74.8752212524414,8986.0,120.01300048828124,225.0,62.75317160026708,127,3.4595652173913045,795.7,74.88081470326397,9000.0,415.1928021240234,0.04620440709147823,600,600,0
16,OzaBagExecutorRUNPER,covtypeNorm,4,1,15,15.004752159118652,1800.0,119.96199798583984,52.0,67.38888888888889,128,3.2090517241379315,744.5000000000001,14.983268683303644,1800.0,384.96425646749043,0.21386903137082802,600,600,0
44,OzaBagAdwinExecutorRUNPER,covtypeNorm,4,1,150,108.8556137084961,13063.0,120.00299835205078,9497.0,74.3244277730996,128,3.669527896995709,855.0000000000001,149.72629333688832,17970.0,440.3543501759804,0.033710047475769764,600,600,0
86,OzaBagAdwinExecutorRUNPER,covtypeNorm,4,1,83,79.86302185058594,9585.0,120.01799774169922,221.0,74.66875326030255,128,3.525,817.8,79.86688851913478,9600.0,423.06344203948976,0.044138074286853395,600,600,0
12,OzaBagAdwinExecutorRUNPER,covtypeNorm,4,1,16,15.004250526428224,1800.0,119.96600341796876,54.0,69.33333333333334,128,3.23146551724138,749.7000000000002,14.983518130056936,1800.0,387.6660032864276,0.2153700018257931,600,600,0
64,OzaBagAdwin,covtypeNorm,1,1,150,90.2706069946289,10835.0,120.02799987792967,12009.0,70.30918320258421,128,3.4229074889867834,776.9999999999999,149.73003599520064,17970.0,410.8447396702702,0.03791829623168161,600,600,0
1,OzaBagAdwin,covtypeNorm,1,1,83,79.9106216430664,9584.0,119.93399810791016,379.0,69.36560934891486,128,3.4271551724137925,795.0999999999999,79.86134257716152,9584.0,411.0324219637903,0.04288735621491969,600,600,0
74,OzaBagAdwin,covtypeNorm,1,1,16,15.004250526428224,1800.0,119.96600341796876,60.0,67.72222222222221,128,3.209913793103449,744.7000000000002,14.983518130056936,1800.0,385.0805290748334,0.21393362726379633,600,600,0
48,OzaBagASHTExecutorRUNPER,covtypeNorm,4,1,108,104.8818130493164,12579.0,119.93499755859376,331.0,64.61562922330869,128,3.5200892857142856,788.5,104.82412646561278,12579.0,422.1818998881749,0.03356243738676961,600,600,0
31,OzaBagASHTExecutorRUNPER,covtypeNorm,4,1,60,59.913673400878906,7190.0,120.00599670410156,153.0,64.40890125173853,128,3.3698275862068963,781.8,59.90714392691328,7200.0,404.39951820373534,0.056244717413593236,600,600,0
116,OzaBagASHTExecutorRUNPER,covtypeNorm,4,1,12,10.004502296447754,1200.0,119.9459991455078,50.0,62.083333333333336,128,3.2150862068965522,745.9000000000001,9.989344698987747,1200.0,385.63672742514774,0.32136393952095643,600,600,0
141,OzaBagASHT,covtypeNorm,1,1,108,102.05663299560548,12247.0,120.0019989013672,431.0,64.59541112109089,127,3.453478260869565,794.3,104.8188855650087,12579.0,414.42429446676505,0.03383884171362497,600,600,0
130,OzaBagASHT,covtypeNorm,1,1,60,59.91167449951172,7190.0,120.01000213623048,135.0,64.47844228094576,128,3.3274678111587983,775.3,59.90913780765838,7200.0,399.32941912540554,0.055539557597413844,600,600,0
7,OzaBagASHT,covtypeNorm,1,1,12,10.00458526611328,1200.0,119.94499969482422,48.0,61.75000000000001,128,3.192241379310345,740.6,9.989511013435893,1200.0,382.8933912671846,0.31907782605598717,600,600,0
20,OzaBag,covtypeNorm,1,1,135,128.7373809814453,15449.0,120.00399780273438,1878.0,65.16926661919865,128,3.4545064377682397,804.8999999999999,134.75029577910715,16173.0,414.5545829674716,0.02683374865476546,600,600,0
68,OzaBag,covtypeNorm,1,1,75,74.87834167480469,8986.0,120.00800323486328,162.0,62.85332739817494,128,3.323175965665236,774.3000000000001,74.8814377236043,9000.0,398.8077120375736,0.04438100512325546,600,600,0
131,OzaBag,covtypeNorm,1,1,15,15.004752159118652,1800.0,119.96199798583984,58.0,67.11111111111111,128,3.179310344827587,737.6000000000001,14.983518130056936,1800.0,381.39642118256677,0.21188690065698154,600,600,0
81,LeveragingBag,covtypeNorm,1,1,117,63.7714729309082,7655.0,120.03800201416016,13637.0,72.42325277596342,128,3.468965517241378,804.7999999999997,114.8016365712,13777.0,416.40768974567266,0.054396824264620856,600,600,0
