,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,joules,JPI,PERC,tput
47,OzaBagExecutorMAXChunk,elecNormNew,4,50,1288,1281.3392333984375,45312.0,35.362998962402344,29.0,78.73050240820115,41,4.5473684210526315,345.59999999999997,1275.352528920037,45312.0,160.80858475534538,0.0035489182723195925,50,1281.3392904876466
272,OzaBagExecutorMAXChunk,elecNormNew,4,50,257,254.84683227539065,30549.0,119.87200164794922,107.0,79.63539788189776,125,3.821238938053098,863.6000000000001,254.4753304955559,30549.0,458.0595602795087,0.014994257104308116,10,254.84683312220835
242,OzaBagExecutorMAXChunk,elecNormNew,4,25,2328,2265.4794921875,44272.0,19.54199981689453,11.0,79.49465500485908,24,5.162222222222223,232.3,2303.492450815922,45312.0,100.88014572143555,0.002278644419078324,90,2265.479501321343
164,OzaBagExecutorMAXChunk,elecNormNew,4,25,1293,1289.5074462890625,45312.0,35.138999938964844,14.0,79.66966237551615,41,4.606578947368422,350.1000000000001,1284.0625708456134,45312.0,161.87057735041572,0.0035723556088986517,50,1289.5073871967127
189,OzaBagExecutorMAXChunk,elecNormNew,4,25,258,254.829833984375,30549.0,119.87999725341795,52.0,79.28515266675403,125,3.823348017621146,867.9000000000002,254.45837324559577,30549.0,458.34294985128395,0.015003533662355035,10,254.82983566826036
233,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,100,2096,2023.0738525390625,43927.0,21.71299934387207,48.0,79.10420517032878,28,5.1811320754717,274.6000000000001,2072.0687762941284,45312.0,112.49791735523155,0.0025610198136734024,90,2023.0737957626868
284,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,100,1164,1157.010498046875,45312.0,39.16299819946289,64.0,79.08741042201186,44,4.47875,358.29999999999995,1152.1855213975132,45312.0,175.4012781858444,0.003870967474087315,50,1157.0104967249786
234,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,100,232,229.8944549560547,27554.0,119.8550033569336,245.0,80.69133823850805,126,3.8807860262008735,888.7,229.53059269440627,27554.0,465.1316221978467,0.016880729556429074,10,229.89444936180885
210,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,75,2108,2020.99365234375,43609.0,21.577999114990234,36.0,78.66265447696054,26,5.4375,261.0,2091.1943880376593,45312.0,117.3303701877594,0.0026905081562924944,90,2020.9936874872162
59,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,75,1171,1168.5277099609375,45312.0,38.777000427246094,50.0,79.15423215509428,45,4.642168674698795,385.3,1163.9053710410728,45312.0,180.00937668214362,0.0039726645630769695,50,1168.5277226384478
278,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,75,234,229.8139190673828,27554.0,119.89700317382812,184.0,80.70526583936825,125,3.882378854625551,881.3000000000001,229.522944797541,27554.0,465.48558985504286,0.01689357588208764,10,229.8139175343013
132,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,50,1931,1806.4461669921875,42484.0,23.51799964904785,26.0,79.48343309610219,29,5.20188679245283,275.7,1914.564583597414,45312.0,122.3379717592923,0.002879624605952648,90,1806.446153328351
230,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,50,1072,1067.873291015625,45312.0,42.43199920654297,35.0,79.56343069241306,47,4.607317073170733,377.80000000000007,1064.4865741067024,45312.0,195.4976743930724,0.004314479042926209,50,1067.873323136114
268,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,50,214,209.8913726806641,25158.0,119.86199951171876,130.0,81.64330093993945,126,3.882532751091704,889.1000000000001,209.59061599213555,25158.0,465.3681387155859,0.01849781933045496,10,209.89137593637702
112,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,25,1652,1606.7171630859375,44204.0,27.511999130249023,15.0,80.85968446547001,32,5.1576271186440685,304.30000000000007,1638.4148105293607,45312.0,141.8966328022844,0.0032100405574672967,90,1606.7171197093553
285,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,25,917,912.7387084960938,45312.0,49.64400100708008,21.0,80.3939320334754,56,4.595744680851064,432.00000000000006,909.9160608859793,45312.0,228.15115356445315,0.005035115500627939,50,912.7386810248782
259,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,25,183,179.9339141845703,21564.0,119.84400177001952,76.0,83.94540136496587,125,3.9411504424778765,890.7,179.66406718656268,21564.0,472.32324060423184,0.021903322231693185,10,179.93391143080558
188,OzaBagASHTExecutorMAXChunk,elecNormNew,4,100,2573,2417.632080078125,42780.0,17.69499969482422,41.0,78.3950328022493,23,5.167441860465116,222.2,2535.6463346390597,45312.0,91.43788214395212,0.0021373978995781234,90,2417.6321411586764
151,OzaBagASHTExecutorMAXChunk,elecNormNew,4,100,1429,1426.7001953125,45312.0,31.76000022888184,53.0,78.22259577103424,38,4.458571428571429,312.1,1421.5975403149903,45312.0,141.60422959191462,0.0031250933437481157,50,1426.7002416075009
257,OzaBagASHTExecutorMAXChunk,elecNormNew,4,100,285,284.7694091796875,34143.0,119.89700317382812,198.0,78.12178715154363,125,3.8132158590308376,865.6000000000001,284.3685972715007,34143.0,457.19315395271207,0.013390538439876755,10,284.7694195533734
1,OzaBagASHTExecutorMAXChunk,elecNormNew,4,75,2493,2220.780517578125,44158.0,19.88400077819824,33.0,79.29814214096137,26,5.089583333333334,244.3,2481.4895947426066,45312.0,101.20127896070478,0.002291799423902912,90,2220.780440142455
87,OzaBagASHTExecutorMAXChunk,elecNormNew,4,75,1385,1384.587158203125,45312.0,32.72600173950195,41.0,79.23381302915755,38,4.492957746478872,318.99999999999994,1377.5994162714337,45312.0,147.03654302677634,0.0032449802045104244,50,1384.5871047945984
142,OzaBagASHTExecutorMAXChunk,elecNormNew,4,75,277,274.761474609375,32945.0,119.90399932861328,144.0,78.32978399756617,126,3.838914027149322,848.4000000000001,274.41589271583854,32945.0,460.3011449339164,0.01397180588659634,10,274.7614773858354
66,OzaBagASHTExecutorMAXChunk,elecNormNew,4,50,2439,2295.923095703125,43758.0,19.05900001525879,21.0,79.36762148805711,25,5.042553191489361,236.99999999999997,2401.5263938944245,45312.0,96.10602135353899,0.0021963074490045018,90,2295.9231840582925
146,OzaBagASHTExecutorMAXChunk,elecNormNew,4,50,1355,1351.14501953125,45312.0,33.5359992980957,30.0,79.36679775529142,38,4.774647887323945,339.00000000000006,1344.0911248220218,45312.0,160.12258819794994,0.0035337788708940223,50,1351.1450664472366
114,OzaBagASHTExecutorMAXChunk,elecNormNew,4,50,271,269.8265686035156,32346.0,119.8769989013672,99.0,78.99430270002476,126,3.8517543859649126,878.2,269.42426867461853,32346.0,461.73675629465214,0.014274925996866758,10,269.8265747094132
43,OzaBagASHTExecutorMAXChunk,elecNormNew,4,25,2303,2188.123779296875,43187.0,19.73699951171875,11.0,80.06811547194292,26,4.977083333333334,238.9,2280.422747861097,45312.0,98.23269131978354,0.0022745893745753014,90,2188.1238824755465
