,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,methodology_x,ensemble_size,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,methodology_y,avg_times_duration,joules,JPI,PERC,tput
82,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,500,358,350.2685546875,42000.0,119.90799713134766,1317.0,89.7277108433735,3,25,124,4.9044444444444455,1103.5000000000002,354.1338795766614,42529.0,"3
",608.1511111111113,588.0821103752985,0.014479788359788364,90,350.2685475931438
203,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,500,231,228.3275604248047,27500.0,120.44100189208984,1843.0,79.63333333333334,2,25,125,4.182743362831858,945.3,229.522944797541,27554.0,"2
",522.8429203539823,503.77380127695807,0.019012469831053903,50,228.32755928615458
188,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,500,198,191.92095947265625,23000.0,119.84100341796876,2075.0,90.42666666666666,3,25,124,4.037333333333333,908.3999999999999,194.6247219468304,23361.0,"3
",500.62933333333325,483.83807779947915,0.021766492753623183,10,191.92095646748746
91,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,500,128,124.97078704833984,14975.0,119.8280029296875,2907.0,81.40241796200345,2,25,125,3.825550660792951,868.3999999999999,124.777109337244,14975.0,"2
",478.1938325991189,458.40809578916566,0.03193281019025836,90,124.9707884123464
175,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,500,39,33.338890075683594,4000.0,119.9800033569336,8385.0,92.57142857142856,3,25,124,3.207555555555555,721.6999999999999,34.95077765480282,4200.0,"3
",397.7368888888888,384.8425263231065,0.0994342222222222,50,33.33888888217673
66,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,500,25,24.818002700805664,3000.0,120.87999725341795,11941.0,78.72,2,25,125,3.116740088105727,707.5,24.967749989596772,3000.0,"2
",389.59251101321587,376.7515332898379,0.12986417033773862,10,24.81800188753043
124,StreamingRandomPatches,elecNormNew,1,1,153,137.59681701660156,16539.0,120.1989974975586,6166.0,91.3779551363444,1,25,125,3.692951541850221,838.3000000000002,149.72754086886968,17970.0,"1
",461.6189427312776,443.8890731374599,0.027910934320773784,90,137.59682147378916
83,StreamingRandomPatches,elecNormNew,1,1,85,84.93406677246094,10183.0,119.89299774169922,1430.0,91.5545517038201,1,25,125,3.437004405286344,780.2,84.85621192803514,10183.0,"1
",429.625550660793,412.0727614012059,0.04219046947469243,50,84.93406780885182
58,StreamingRandomPatches,elecNormNew,1,1,17,15.00100040435791,1800.0,119.99199676513672,120.0,92.2777777777778,1,25,124,3.0257777777777775,680.8,14.982021574111066,1800.0,"1
",375.1964444444444,363.06911732313364,0.20844246913580244,10,15.001000471082952
59,OzaBagExecutorMAXChunk,elecNormNew,4,500,4365,3574.879150390625,37000.0,10.350000381469728,137.0,78.30410958904109,3,25,16,4.6,138.0,4343.141953417042,45312.0,"3
",73.6,47.610001754760745,0.001989189189189189,90,3574.879095293898
36,OzaBagExecutorMAXChunk,elecNormNew,4,500,2425,2193.686279296875,41000.0,18.690000534057617,185.0,76.82716049382717,3,25,25,4.3319148936170215,203.60000000000002,2400.8901605468127,45312.0,"3
",108.29787234042554,80.96349167519428,0.002641411520498184,50,2193.686400665868
31,OzaBagExecutorMAXChunk,elecNormNew,4,500,1205,1199.9364013671875,45312.0,37.762001037597656,328.0,77.30295456574132,2,25,43,3.84,307.2,1193.99209486166,45312.0,"2
",165.12,145.00608398437498,0.0036440677966101697,10,1199.9364110732693
157,OzaBagExecutorMAXChunk,elecNormNew,4,500,669,664.2235107421875,45312.0,68.21800231933594,510.0,77.1645987681871,2,25,73,3.3496240601503757,445.5,662.4174024910824,45312.0,"2
",244.52255639097743,228.5046619042418,0.00539641941187715,90,664.2234961365413
79,OzaBagExecutorMAXChunk,elecNormNew,4,500,485,480.4201965332031,45000.0,93.66799926757812,607.0,77.1370786516854,3,25,99,3.1672222222222217,570.0999999999999,482.782134333447,45312.0,"3
",313.55499999999995,296.66736879136823,0.006967888888888888,50,480.4202112980983
147,OzaBagExecutorMAXChunk,elecNormNew,4,500,133,129.9718017578125,15574.0,119.82599639892578,2121.0,80.68196895316439,2,25,126,3.0315789473684207,691.1999999999999,129.76819371073375,15574.0,"2
",381.978947368421,363.26196803042757,0.024526707805857265,10,129.9717963383413
62,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,500,2160,1927.561767578125,40500.0,21.01099967956543,241.0,84.57000000000001,3,25,26,4.538775510204082,222.4,2150.64787128008,45312.0,"3
",118.00816326530612,95.36421079051739,0.0029137818090199043,90,1927.561782764144
44,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,500,1200,1165.31591796875,44000.0,37.757999420166016,334.0,83.9287356321839,3,25,43,4.035443037974684,318.8,1194.2438458700121,45312.0,"3
",173.5240506329114,152.3702558879611,0.00394372842347526,50,1165.3159774270302
207,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,500,1018,1011.6995849609376,45312.0,44.78799819946289,383.0,77.84298848522717,2,25,51,3.8212765957446813,359.20000000000005,1007.4482513284569,45312.0,"2
",194.88510638297873,171.14732928986245,0.004300960151460512,10,1011.6996030544494
87,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,500,565,564.839599609375,45312.0,80.22100067138672,615.0,77.77827367669374,2,25,85,3.3722580645161293,522.7,563.4839704529062,45312.0,"2
",286.641935483871,270.52591645763766,0.006325960793694187,90,564.8396257934229
50,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,500,240,237.76353454589844,28500.0,119.86699676513672,1210.0,84.59642857142858,3,25,126,3.1043668122270747,710.9000000000001,239.496218305401,28752.0,"3
",391.1502183406114,372.11112663902054,0.013724569064582855,50,237.76352765258582
