,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,ensemble_size,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,avg_times_duration,joules,JPIold,JPI,frequency_maximum,PERC,tput
29,OzaBag,elecNormNew,1,1,694,688.1615600585938,45312.0,65.84500122070312,119.0,82.48366878531074,25,72,3.7401515151515152,493.7,686.5142493523022,45312.0,269.2909090909091,246.27028108076615,8.254218562746106e-05,0.005943037365177196,1200,50,688.1615788588201
138,OzaBag,elecNormNew,1,1,138,134.9639434814453,16173.0,119.83200073242188,12.0,86.44654671365856,25,126,3.45391304347826,794.3999999999999,134.7648926330525,16173.0,435.1930434782608,413.88931035580833,0.00021356044292822977,0.026908615808956954,1200,10,134.96394870443163
45,LeveragingBag,elecNormNew,1,1,620,513.362548828125,44200.0,86.0989990234375,5475.0,89.78054298642533,25,92,4.225,709.8,617.2119759174,45312.0,388.7,363.7682708740234,9.558823529411764e-05,0.008794117647058824,1200,90,513.3625303584315
84,LeveragingBag,elecNormNew,1,1,344,339.1235656738281,40705.0,120.02999877929688,347.0,89.80469229824347,25,125,3.9317180616740086,892.5,339.164827844623,40732.0,491.4647577092511,471.92411414327074,9.659054321763932e-05,0.012073817902204916,1200,50,339.123555894103
57,LeveragingBag,elecNormNew,1,1,68,64.89620971679688,7788.0,120.00700378417967,23.0,90.80636877247046,25,125,3.5628318584070793,805.1999999999999,64.89616613418531,7800.0,445.3539823008849,427.5647763142543,0.0004574771261436928,0.0571846407679616,1200,10,64.89621234112236
71,LBagExecutorRUNPER,elecNormNew,4,1,620,610.88818359375,44761.0,73.27200317382812,957.0,89.9622439176962,25,78,4.549295774647887,646.0,617.17834863385,45312.0,354.8450704225352,333.33601443868287,0.00010163525780585525,0.00792755010885671,1200,90,610.888170940413
105,LBagExecutorRUNPER,elecNormNew,4,1,344,339.3275451660156,40721.0,120.00499725341795,184.0,89.77677365487095,25,126,4.053508771929825,924.2,339.1902469896574,40732.0,510.74210526315795,486.4413090421442,9.954344863657142e-05,0.012542474528208,1200,50,339.3275357859332
23,LBagExecutorRUNPER,elecNormNew,4,1,68,64.89567565917969,7788.0,120.00800323486328,16.0,91.2300975860298,25,126,3.5991266375545843,824.1999999999998,64.89346655906553,7800.0,453.48995633187764,431.9240011623331,0.00046213747272144125,0.058229321562901594,1200,10,64.89567187246995
119,AdaptiveRandomForestSequential,elecNormNew,1,1,395,302.6699523925781,36321.0,120.0019989013672,9620.0,88.55758376696676,25,124,4.249115044247788,960.3000000000001,393.71611288752956,45312.0,526.8902654867258,509.9022988716059,0.00011698783194977529,0.014506491161772135,1200,90,302.66995827172167
65,AdaptiveRandomForestSequential,elecNormNew,1,1,219,214.7526092529297,25757.0,119.93800354003906,488.0,89.19905268470707,25,123,4.012053571428572,898.7,214.57014328557148,25757.0,493.48258928571437,481.1976954528264,0.00015576556165036967,0.01915916408299547,1200,50,214.75261584958355
26,AdaptiveRandomForestSequential,elecNormNew,1,1,43,39.97466659545898,4797.0,120.0009994506836,26.0,89.03481342505732,25,124,3.53111111111111,794.4999999999998,39.942083978231565,4800.0,437.85777777777764,423.7368625047471,0.0007361082157830123,0.09127741875709353,1200,10,39.974667060764
72,AdaptiveRandomForestExecutorRUNPER,elecNormNew,4,1,395,394.0516662597656,45312.0,114.98999786376952,1341.0,88.76677259887006,25,119,4.642995169082125,961.0999999999999,393.69216734002345,45312.0,552.5164251207729,533.8980045742458,0.00010246723095608503,0.012193600483774119,1200,90,394.0516639863047
