dataset,algorithm,ensemble_size,cores,instances,time,delay,out_rate,acc
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,324501.0,120.0199966430664,161.0,2703.724365234375,77.17195685670262
GMSC,LBagExecutorMAXChunk,25,4,99579.0,119.37000274658203,260.0,834.2045288085938,93.47580645161291
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,140598.0,120.177001953125,255.0,1169.92431640625,83.23772241992883
airlines,OzaBagASHTExecutorMAXChunk,25,4,213501.0,120.14399719238281,280.0,1777.0426025390625,65.00889929742388
airlines,OzaBagAdwinExecutorMAXChunk,25,4,45089.0,120.03099822998047,556.0,375.6446228027344,70.14888888888889
elecNormNew,LBagExecutorMAXChunk,25,4,25001.0,119.40399932861328,1317.0,209.381591796875,89.63600000000001
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,27501.0,119.08999633789062,851.0,230.9261932373047,79.87636363636364
airlines,LBagExecutorMAXChunk,25,4,9501.0,120.02400207519531,629.0,79.15916442871094,61.28421052631579
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,8501.0,120.54900360107422,7006.0,70.51904296875,65.12941176470588
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,89001.0,119.66799926757812,595.0,743.732666015625,93.51460674157303
GMSC,OzaBagExecutorMAXChunk,25,4,84501.0,119.19400024414062,409.0,708.9367065429688,93.20473372781065
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,10251.0,120.21299743652344,2898.0,85.27364349365234,65.20975609756098
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,27501.0,119.41899871826172,1442.0,230.2899932861328,89.07272727272726
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,26251.0,119.16500091552734,1496.0,220.29119873046875,90.57904761904761
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,39501.0,123.04399871826172,1522.0,321.031494140625,93.4379746835443
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,26751.0,119.17900085449219,612.0,224.46067810058594,85.81682242990655
GMSC,OzaBagASHTExecutorMAXChunk,25,4,93001.0,119.25700378417969,364.0,779.8367919921875,93.36236559139785
covtypeNorm,LBagExecutorMAXChunk,25,4,99001.0,120.52100372314453,596.0,821.44189453125,92.75454545454545
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,86895.0,119.2699966430664,303.0,728.5570678710938,93.3878962536023
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,129501.0,120.20800018310547,1445.0,1077.3076171875,90.24092664092665
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,86024.0,120.12799835205078,1299.0,716.1028442382812,93.48452380952381
airlines,OzaBagExecutorMAXChunk,25,4,280739.0,120.11299896240234,135.0,2337.290771484375,59.68663101604278
elecNormNew,OzaBagExecutorMAXChunk,25,4,27001.0,119.08799743652344,1178.0,226.7314910888672,79.57777777777778
covtypeNorm,OzaBagExecutorMAXChunk,25,4,345501.0,120.03099822998047,147.0,2878.431396484375,77.6451519536903
