,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,ensemble_size,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,avg_times_duration,joules,JPIold,JPI,frequency_maximum,PERC,tput
12,StreamingRandomPatchesExecutorRUNPER,elecNormNew,4,1,97,94.84130859375,11382.0,120.01100158691406,819.0,91.33719908627656,25,125,3.463274336283186,782.7,94.84271915739731,11400.0,432.90929203539827,415.63102186760017,0.0003042764308806173,0.03803455386007716,600,90,94.8413049595037
10,StreamingRandomPatchesExecutorRUNPER,elecNormNew,4,1,54,49.790565490722656,5991.0,120.3239974975586,236.0,91.13670505758635,25,126,3.237991266375546,741.5000000000001,49.92428150638199,6000.0,407.9868995633188,389.6080530324878,0.000540475924950016,0.06809996654370201,600,50,49.790566508742856
18,StreamingRandomPatchesExecutorRUNPER,elecNormNew,4,1,10,10.00341796875,1200.0,119.95899963378906,35.0,90.58333333333334,25,125,3.0378854625550655,689.5999999999999,9.988513209808719,1200.0,379.7356828193832,364.4217010901362,0.002531571218795888,0.316446402349486,600,10,10.003417864965206
6,StreamingRandomPatches,elecNormNew,1,1,97,94.07941436767578,11290.0,120.00499725341795,3092.0,91.6829052258636,25,125,3.336563876651983,757.4000000000001,94.83771509520437,11381.0,417.07048458149785,400.40433885347477,0.0002955326728655432,0.0369415841081929,600,90,94.07941551099398
9,StreamingRandomPatches,elecNormNew,1,1,54,49.930419921875,5992.0,120.00700378417967,377.0,91.53871829105476,25,125,3.148672566371681,711.5999999999999,49.925112331502746,6000.0,393.58407079646014,377.86276058770903,0.0005254794002622965,0.06568492503278707,600,50,49.93041915100221
20,StreamingRandomPatches,elecNormNew,1,1,10,10.003334045410156,1200.0,119.95999908447266,60.0,90.75,25,126,3.017030567685589,690.8999999999999,9.988596352497565,1200.0,380.1458515283842,361.9229841373893,0.002514192139737991,0.31678820960698684,600,10,10.003334521159772
29,OzaBagExecutorRUNPER,elecNormNew,4,1,577,567.2259521484375,44829.0,79.03199768066406,1182.0,82.54478127997503,25,87,3.364150943396227,534.9000000000001,571.9767735420348,45312.0,292.68113207547174,265.8755695558944,7.504407734716873e-05,0.006528834729203679,600,90,567.2259504452314
26,OzaBagExecutorRUNPER,elecNormNew,4,1,320,319.5652160644531,38336.0,119.96299743652344,307.0,82.11602671118531,25,128,3.1849137931034486,738.9000000000001,319.2804197551429,38336.0,407.6689655172414,382.07180519761715,8.30789282424731e-05,0.010634102815036557,600,50,319.5652060985297
2,OzaBagExecutorRUNPER,elecNormNew,4,1,64,59.941165924072266,7193.0,120.0009994506836,29.0,87.66856666203253,25,128,3.01244635193133,701.8999999999999,59.90515017888344,7200.0,385.59313304721024,361.4965730233253,0.00041880249575021965,0.053606719456028115,600,10,59.94116743132696
28,OzaBagAdwinExecutorRUNPER,elecNormNew,4,1,444,439.1974487304688,45312.0,103.16999816894533,1160.0,86.11184675141243,25,111,3.3643564356435647,679.6,438.7933956325957,45312.0,373.4435643564357,347.100647305026,7.424868546176653e-05,0.008241604086256083,600,90,439.1974489114524
22,OzaBagAdwinExecutorRUNPER,elecNormNew,4,1,247,244.71401977539065,29351.0,119.94000244140624,337.0,86.9374126946271,25,128,3.211637931034483,745.1,244.47961351047437,29351.0,411.0896551724138,385.20386128918875,0.0001094217550010045,0.014005984640128576,600,50,244.7140186972959
13,OzaBagAdwinExecutorRUNPER,elecNormNew,4,1,49,45.00187301635742,5400.0,119.99500274658205,21.0,90.53703703703704,25,127,3.037391304347825,698.5999999999998,44.93372275893058,5400.0,385.7486956521738,364.4717779076617,0.0005624798711755232,0.07143494363929144,600,10,45.00187404807418
