dataset,algorithm,ensemble_size,cores,batch_size,inc_rate,instances,time,delay,out_rate
airlines,OzaBagAdwinExecutorMAXChunk,25,4,2000,61,7200.0,119.98899841308594,20506.0,60.00550079345703
airlines,LBagExecutorMAXChunk,25,4,2000,164,8000.0,790.3300170898438,195713.0,10.122353553771973
GMSC,LBagExecutorMAXChunk,25,4,50,135,16174.0,120.00900268554688,223.0,134.77322387695312
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,500,685,81500.0,120.3290023803711,711.0,677.3096923828125
elecNormNew,OzaBagExecutorMAXChunk,25,4,500,2632,41293.0,17.530000686645508,204.0,2355.561767578125
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,50,37,4200.0,120.1050033569336,860.0,34.96940231323242
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,71,8400.0,120.0,17567.0,70.0
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,500,81,9500.0,120.96099853515625,5210.0,78.53771209716797
airlines,OzaBagASHTExecutorMAXChunk,25,4,50,450,32950.0,121.48500061035156,184.0,271.2268981933594
GMSC,OzaBagASHTExecutorMAXChunk,25,4,50,3740,149768.0,43.39400100708008,14.0,3451.3525390625
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,500,16,1800.0,119.95099639892578,19197.0,15.006128311157227
airlines,OzaBagASHTExecutorMAXChunk,25,4,2000,92,10800.0,119.99800109863281,15279.0,90.00150299072266
airlines,LBagExecutorMAXChunk,25,4,2000,91,8000.0,443.4159851074219,107973.0,18.041749954223633
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,2000,659,77083.0,119.97899627685547,3065.0,642.4707641601562
elecNormNew,OzaBagExecutorMAXChunk,25,4,2000,279,32945.0,119.87200164794922,4205.0,274.8348083496094
airlines,LBagExecutorMAXChunk,25,4,50,136,9850.0,120.25800323486328,609.0,81.90723419189453
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,500,715,85500.0,120.0510025024414,692.0,712.1973266601562
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,50,1127,45312.0,40.40599822998047,32.0,1121.4176025390625
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,355,41069.0,119.88099670410156,4639.0,342.5813903808594
airlines,OzaBagAdwinExecutorMAXChunk,25,4,500,44,4800.0,119.98300170898438,7288.0,40.00566864013672
airlines,OzaBagAdwinExecutorMAXChunk,25,4,2000,308,30000.0,125.66400146484375,8104.0,238.7318572998047
elecNormNew,OzaBagExecutorMAXChunk,25,4,50,2459,42581.0,18.513999938964844,21.0,2299.935302734375
GMSC,LBagExecutorMAXChunk,25,4,50,675,80800.0,120.00199890136719,52.0,673.3221435546875
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,500,481,57500.0,120.48699951171875,953.0,477.22991943359375
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,50,700,43819.0,64.86799621582031,69.0,675.5103149414062
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,500,148,12000.0,123.26200103759766,5064.0,97.35360717773438
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,2000,3429,146160.0,44.165000915527344,589.0,3309.40771484375
airlines,OzaBagASHTExecutorMAXChunk,25,4,500,83,9500.0,120.17400360107422,4234.0,79.05204010009766
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,500,82,9500.0,126.46700286865234,6292.0,75.118408203125
covtypeNorm,LBagExecutorMAXChunk,25,4,500,255,30500.0,120.37999725341797,1711.0,253.36434936523438
GMSC,OzaBagExecutorMAXChunk,25,4,2000,2260,20000.0,140.05599975585938,13962.0,142.80001831054688
covtypeNorm,LBagExecutorMAXChunk,25,4,500,460,54500.0,120.00800323486328,1030.0,454.1363830566406
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,2000,244,28752.0,119.86599731445312,4807.0,239.86785888671875
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,16,1800.0,119.94999694824219,77163.0,15.006253242492676
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,50,58,6590.0,120.01799774169922,593.0,54.90843200683594
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,500,18,1800.0,119.95099639892578,21521.0,15.006128311157227
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,500,61,7200.0,120.0,5118.0,60.0
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,50,2029,43054.0,22.408000946044922,25.0,1921.3673095703125
elecNormNew,LBagExecutorMAXChunk,25,4,2000,1142,39463.0,39.75199890136719,1929.0,992.72998046875
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,80,9585.0,120.00800323486328,20521.0,79.86967468261719
GMSC,OzaBagASHTExecutorMAXChunk,25,4,500,491,58702.0,119.9219970703125,630.0,489.50152587890625
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,50,3523,149035.0,42.74700164794922,13.0,3486.443359375
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,353,40000.0,121.94100189208984,5686.0,328.0274963378906
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,50,14,1200.0,120.33300018310547,2998.0,9.97232723236084
airlines,OzaBagAdwinExecutorMAXChunk,25,4,50,228,26955.0,119.93000030517578,184.0,224.756103515625
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,500,94,8500.0,127.48799896240234,7334.0,66.67294311523438
GMSC,OzaBagASHTExecutorMAXChunk,25,4,2000,2286,150000.0,66.23600006103516,726.0,2264.62939453125
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,286,34000.0,121.5719985961914,5815.0,279.669677734375
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,500,380,45500.0,120.33100128173828,1154.0,378.1236572265625
GMSC,OzaBagExecutorMAXChunk,25,4,50,393,46722.0,119.91799926757812,74.0,389.6162414550781
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,530,63494.0,119.9229965209961,3040.0,529.4564208984375
airlines,OzaBagASHTExecutorMAXChunk,25,4,2000,831,32000.0,122.40599822998047,7574.0,261.42510986328125
elecNormNew,LBagExecutorMAXChunk,25,4,500,131,15574.0,119.8280029296875,2317.0,129.96961975097656
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,2000,306,36000.0,120.96600341796875,6047.0,297.6042785644531
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,500,126,14976.0,120.00399780273438,2351.0,124.79584503173828
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,50,159,8400.0,120.01899719238281,713.0,69.98892211914062
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,50,130,10200.0,120.18000030517578,588.0,84.87268829345703
airlines,OzaBagASHTExecutorMAXChunk,25,4,2000,461,12000.0,152.3699951171875,25031.0,78.75566101074219
covtypeNorm,LBagExecutorMAXChunk,25,4,50,44,4800.0,120.20500183105469,807.0,39.93178176879883
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,500,3699,145328.0,40.62699890136719,131.0,3577.128662109375
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,50,527,60100.0,120.03800201416016,88.0,500.6747741699219
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,50,559,65850.0,120.55400085449219,80.0,546.228271484375
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,144,14000.0,122.16699981689453,15726.0,114.59722900390625
GMSC,OzaBagExecutorMAXChunk,25,4,50,1967,150000.0,76.4749984741211,20.0,1961.42529296875
GMSC,OzaBagASHTExecutorMAXChunk,25,4,2000,4115,145165.0,36.54499816894531,477.0,3972.226318359375
airlines,OzaBagExecutorMAXChunk,25,4,500,581,25500.0,132.42300415039062,2588.0,192.56472778320312
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,2000,551,64000.0,121.25399780273438,3549.0,527.817626953125
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,106,12600.0,120.0,11319.0,105.0
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,500,554,62500.0,120.10399627685547,884.0,520.38232421875
airlines,OzaBagExecutorMAXChunk,25,4,500,116,13780.0,120.0009994506836,3365.0,114.8323745727539
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,500,718,42381.0,63.40800094604492,715.0,668.3856811523438
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,50,77,8986.0,120.00399780273438,389.0,74.8808364868164
GMSC,OzaBagASHTExecutorMAXChunk,25,4,50,2077,150000.0,72.46600341796875,18.0,2069.93603515625
airlines,OzaBagExecutorMAXChunk,25,4,50,107,12588.0,120.0009994506836,357.0,104.89912414550781
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,50,61,7200.0,120.39700317382812,564.0,59.802154541015625
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,2000,73,8000.0,120.98799896240234,19718.0,66.12226104736328
covtypeNorm,LBagExecutorMAXChunk,25,4,2000,47,5400.0,119.9739990234375,26368.0,45.0097541809082
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,500,2335,43425.0,19.91900062561035,228.0,2180.079345703125
GMSC,LBagExecutorMAXChunk,25,4,2000,836,100000.0,121.83399963378906,2084.0,820.7889404296875
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,500,411,49118.0,119.89299774169922,755.0,409.6819763183594
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,50,391,46722.0,119.94499969482422,76.0,389.5285339355469
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,144,8000.0,124.71099853515625,29396.0,64.1483154296875
GMSC,OzaBagExecutorMAXChunk,25,4,2000,4068,133214.0,37.09000015258789,550.0,3591.641845703125
airlines,OzaBagExecutorMAXChunk,25,4,50,966,24800.0,122.02999877929688,245.0,203.2287139892578
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,500,170,9000.0,125.76599884033203,6906.0,71.56147003173828
covtypeNorm,OzaBagExecutorMAXChunk,25,4,50,69,7788.0,120.00199890136719,516.0,64.89891815185547
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,2000,1411,42404.0,32.38100051879883,1255.0,1309.5333251953125
airlines,OzaBagExecutorMAXChunk,25,4,2000,113,13200.0,119.99700164794922,13694.0,110.00274658203125
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,50,627,74850.0,120.05500030517578,54.0,623.4642333984375
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,500,377,44500.0,120.33699798583984,1314.0,369.7948303222656
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,500,397,47321.0,119.94000244140625,1161.0,394.5389404296875
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,50,293,34687.0,119.96099853515625,129.0,289.1523132324219
airlines,OzaBagASHTExecutorMAXChunk,25,4,500,752,34000.0,120.24800109863281,1763.0,282.7489929199219
airlines,LBagExecutorMAXChunk,25,4,500,153,8000.0,169.39700317382812,10485.0,47.22633743286133
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,500,41,4800.0,119.98400115966797,7471.0,40.005332946777344
airlines,OzaBagExecutorMAXChunk,25,4,50,536,25200.0,122.71099853515625,243.0,205.36056518554688
airlines,LBagExecutorMAXChunk,25,4,500,85,7500.0,120.1709976196289,7728.0,62.41106414794922
