dataset,algorithm,ensemble_size,cores,batch_size,inc_rate,methodology,instances,time,delay,out_rate,acc
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,500,4351,3,135500.0,37.4640007019043,137.0,3616.805419921875,93.43629629629629
airlines,LBagExecutorMAXChunk,25,4,500,232,3,7500.0,143.13999938964844,9473.0,52.39625549316406,61.771428571428565
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,500,240,3,28500.0,119.86699676513672,1210.0,237.76353454589844,84.59642857142858
elecNormNew,LBagExecutorMAXChunk,25,4,500,106,3,12500.0,119.81500244140625,2808.0,104.32749938964844,90.30833333333334
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,500,1491,3,148000.0,101.0,326.0,1465.3465576171875,93.53152542372881
airlines,OzaBagExecutorMAXChunk,25,4,500,3095,3,272000.0,120.01799774169922,220.0,2266.32666015625,63.08618784530387
airlines,OzaBag,25,1,1,152,1,12234.0,120.00700378417969,9084.0,101.94405364990234,63.72404773581821
GMSC,OzaBagASHT,25,1,1,2018,1,143240.0,80.41699981689453,4125.0,1781.2154541015625,93.37824629991623
airlines,OzaBagAdwinExecutorMAXChunk,25,4,500,674,3,33500.0,121.5999984741211,1809.0,275.4934387207031,65.73333333333333
elecNormNew,LeveragingBag,25,1,1,463,1,42670.0,101.58300018310547,5301.0,420.05059814453125,89.75626904148113
elecNormNew,StreamingRandomPatches,25,1,1,17,1,1800.0,119.99199676513672,120.0,15.00100040435791,92.27777777777779
elecNormNew,OzaBagExecutorMAXChunk,25,4,500,4365,3,37000.0,10.350000381469727,137.0,3574.879150390625,78.30410958904109
airlines,OzaBag,25,1,1,84,1,9583.0,120.00299835205078,1574.0,79.85633850097656,64.05092351038297
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,500,211,2,25158.0,119.88700103759766,2039.0,209.8476104736328,68.23748884743289
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,500,2160,3,40500.0,21.01099967956543,241.0,1927.561767578125,84.57000000000001
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,500,136,3,12500.0,121.6500015258789,4766.0,102.75379943847656,65.14166666666667
GMSC,OzaBagASHTExecutorMAXChunk,25,4,500,4379,3,146000.0,34.3650016784668,90.0,4248.50830078125,93.35051546391753
airlines,OzaBagASHTExecutorMAXChunk,25,4,500,482,2,36500.0,121.60600280761719,1658.0,300.149658203125,65.26944444444445
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,500,25,2,3000.0,120.87999725341797,11941.0,24.818002700805664,78.72
airlines,OzaBagExecutorMAXChunk,25,4,500,101,2,11981.0,120.0009994506836,3645.0,99.84083557128906,62.44229596725024
covtypeNorm,OzaBagAdwin,25,1,1,28,1,3000.0,120.00499725341797,103.0,24.998958587646484,65.96666666666667
airlines,OzaBagExecutorMAXChunk,25,4,500,5571,3,281500.0,120.22100067138672,213.0,2341.52099609375,61.21281138790036
elecNormNew,OzaBag,25,1,1,166,1,19767.0,119.86100006103516,114.0,164.91603088378906,86.73040926797188
GMSC,StreamingRandomPatches,25,1,1,147,1,17372.0,120.01300048828125,1091.0,144.75099182128906,93.57011282523601
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,500,857,2,102429.0,119.99299621582031,395.0,853.6248168945312,93.45721041116856
GMSC,OzaBagExecutorMAXChunk,25,4,500,178,2,20965.0,119.81700134277344,1593.0,174.9751739501953,93.65257757146347
covtypeNorm,AdaptiveRandomForestSequential,25,1,1,105,1,12349.0,120.00700378417969,1873.0,102.90232849121094,75.17207871082678
covtypeNorm,AdaptiveRandomForestSequential,25,1,1,189,1,20361.0,120.02100372314453,7552.0,169.6453094482422,78.63562693384412
GMSC,OzaBagASHTExecutorMAXChunk,25,4,500,933,2,111229.0,120.01100158691406,354.0,926.8233642578125,93.35946319392392
airlines,StreamingRandomPatches,25,1,1,61,1,2699.0,120.06500244140625,24134.0,22.479490280151367,73.24935161170804
GMSC,OzaBagExecutorMAXChunk,25,4,500,890,2,106484.0,120.0009994506836,370.0,887.3592529296875,93.4141002415459
elecNormNew,OzaBagExecutorMAXChunk,25,4,500,485,3,45000.0,93.66799926757812,607.0,480.4201965332031,77.1370786516854
covtypeNorm,LBagExecutorMAXChunk,25,4,500,77,3,8500.0,120.00499725341797,4281.0,70.83038330078125,69.5625
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,500,213,2,25000.0,120.09600067138672,2010.0,208.1667938232422,64.98367346938775
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,500,358,3,42000.0,119.90799713134766,1317.0,350.2685546875,89.7277108433735
elecNormNew,StreamingRandomPatches,25,1,1,85,1,10183.0,119.89299774169922,1430.0,84.93406677246094,91.5545517038201
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,500,562,2,67000.0,120.23999786376953,733.0,557.2189331054688,93.45413533834586
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,500,1031,3,123000.0,120.11699676513672,449.0,1024.0015869140625,86.75591836734694
airlines,OzaBag,25,1,1,16,1,1798.0,119.96700286865234,136.0,14.987454414367676,73.63737486095661
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,500,565,2,45312.0,80.22100067138672,615.0,564.839599609375,77.77827367669374
airlines,OzaBagAdwinExecutorMAXChunk,25,4,500,374,3,44000.0,120.03099822998047,1331.0,366.57196044921875,67.45747126436783
GMSC,OzaBag,25,1,1,2008,1,143609.0,78.78099822998047,3456.0,1822.8887939453125,93.44609321142825
elecNormNew,OzaBag,25,1,1,1498,1,36801.0,39.81999969482422,4704.0,924.183837890625,82.2287437841363
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,500,128,2,14975.0,119.8280029296875,2907.0,124.97078704833984,81.40241796200345
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,500,828,3,98500.0,119.97899627685547,505.0,820.97705078125,93.4908163265306
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,500,87,2,8500.0,124.90399932861328,7172.0,68.05226135253906,64.3125
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,500,11,2,1200.0,119.947998046875,27489.0,10.004335403442383,53.714285714285715
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,500,114,3,13000.0,119.81600189208984,2950.0,108.49969482421875,67.808
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,500,482,3,55500.0,120.18099975585938,917.0,461.8034362792969,88.88727272727273
airlines,StreamingRandomPatches,25,1,1,34,1,2699.0,120.08599853515625,9680.0,22.47555923461914,73.24935161170804
GMSC,LBagExecutorMAXChunk,25,4,500,1082,3,129000.0,119.99700164794922,394.0,1075.02685546875,93.47859922178988
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,500,42,2,4800.0,119.97799682617188,7525.0,40.0073356628418,56.30232558139535
airlines,LBagExecutorMAXChunk,25,4,500,158,2,8000.0,144.51400756835938,8933.0,55.35795593261719,61.546666666666674
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,500,611,2,45312.0,74.43099975585938,553.0,608.7786254882812,77.65107560474873
elecNormNew,OzaBagAdwin,25,1,1,607,1,43900.0,75.06199645996094,781.0,584.8499145507812,84.28018223234625
elecNormNew,LeveragingBag,25,1,1,257,1,30549.0,119.9489974975586,1241.0,254.68324279785156,89.97675865003765
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,500,45,2,5400.0,119.98699951171875,6500.0,45.00487518310547,77.85714285714286
GMSC,OzaBagAdwin,25,1,1,171,1,20367.0,120.00900268554688,80.0,169.71226501464844,93.53365738694947
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,500,96,3,11000.0,119.81800079345703,3311.0,91.805908203125,76.77142857142857
airlines,OzaBagASHTExecutorMAXChunk,25,4,500,2436,3,31500.0,120.27100372314453,1906.0,261.90850830078125,64.23870967741937
