,dataset,algorithm,batch_size,acc,instances,time,JPI,joules,cores,label,delay,IPS,delay_s
64,airlines,SRPMB,500,68.85405405405406,37500.0,601.85498046875,0.0869816065873742,3239.4995751104325,4,MB-LF-500,7680.0,62.30736841422068,7.68
46,airlines,OBMB,500,61.66,410500.0,601.8660278320312,0.0059908354596939824,2434.4272700567317,4,MB-LF-500,574.0,682.0454736059007,0.574
38,airlines,OBAdwinMB,500,67.61041666666667,48500.0,674.0759887695312,0.07269248366013072,3500.018414236829,4,MB-LF-500,6371.0,71.95034507686982,6.371
96,airlines,OBASHTMB,500,61.96781395348837,538000.0,432.4389953613281,0.003941711448872994,2093.7163460222073,4,MB-LF-500,347.0,1244.106118483763,0.347
76,airlines,LBagMB,500,62.09230769230769,7000.0,2049.8310546875,1.7685517041726175,12348.722839530279,4,MB-LF-500,146221.0,3.414915577550932,146.221
39,airlines,ARFMB,500,66.07540983606557,31000.0,602.6649780273438,0.1101402341216017,3389.962957300608,4,MB-LF-500,9618.0,51.43819722438474,9.618
70,GMSC,SRPMB,500,93.51839464882944,150000.0,477.7980041503906,0.012737094036697247,1889.9869904999339,4,MB-LF-500,1140.0,313.94019794353585,1.14
4,GMSC,OBMB,500,93.34161073825504,149500.0,69.37000274658203,0.0016691802410914078,227.77316009741034,4,MB-LF-500,153.0,2155.110192890487,0.153
86,GMSC,OBAdwinMB,500,93.51919191919193,149000.0,124.38099670410156,0.0032333588196981284,457.42817184512626,4,MB-LF-500,274.0,1197.9321917998957,0.274
61,GMSC,OBASHTMB,500,93.30684931506848,146500.0,88.65299987792969,0.0022242695653889397,304.08491403215874,4,MB-LF-500,179.0,1652.510351614976,0.179
95,GMSC,LBagMB,500,93.50969899665552,150000.0,293.77899169921875,0.007374595061728394,1086.8734622531467,4,MB-LF-500,627.0,510.5879053243374,0.627
92,GMSC,ARFMB,500,93.52727272727272,149000.0,333.5039978027344,0.00812889195946835,1191.568368620031,4,MB-LF-500,715.0,446.7712560619217,0.715
73,elecNormNew,SRPMB,500,91.8,12000.0,599.2789916992188,0.14911885521885523,1775.4396794482916,4,MB-LF-500,13786.0,20.02406252549374,13.786
71,elecNormNew,OBMB,500,77.20224719101122,45000.0,210.13900756835935,0.014795510319479786,644.7471127886201,4,MB-LF-500,1201.0,214.1439636587284,1.201
33,elecNormNew,OBAdwinMB,500,83.00674157303371,45000.0,221.1580047607422,0.014759741100323623,644.2568866840843,4,MB-LF-500,1386.0,203.4744347087181,1.386
0,elecNormNew,OBASHTMB,500,77.66516853932585,45000.0,214.21499633789065,0.014996077777777776,654.1054913177492,4,MB-LF-500,1252.0,210.0693264677863,1.252
95,elecNormNew,LBagMB,500,88.44473684210527,38500.0,599.3369750976562,0.04586296560582275,1746.3098785400393,4,MB-LF-500,4063.0,64.23765193817184,4.063
42,elecNormNew,ARFMB,500,88.68787878787879,33500.0,599.333984375,0.05653299041000315,1876.118628265353,4,MB-LF-500,4893.0,55.89537865925392,4.893
39,covtypeNorm,SRPMB,500,82.36470588235294,9000.0,599.2919921875,0.19978034894398533,1784.0080626936985,4,MB-LF-500,18079.0,15.017721106448853,18.079
24,covtypeNorm,OBMB,500,82.17063492063492,126500.0,599.4829711914062,0.014113826759580372,1766.1985945384874,4,MB-LF-500,1283.0,211.01516820168422,1.283
70,covtypeNorm,OBAdwinMB,500,77.85753424657534,37000.0,599.3159790039062,0.046186127939467365,1690.0381614692037,4,MB-LF-500,4425.0,61.737049062993265,4.425
3,covtypeNorm,OBASHTMB,500,80.23084112149532,107500.0,599.3619995117188,0.016772711755920634,1786.2637205631363,4,MB-LF-500,1477.0,179.35738349707998,1.477
53,covtypeNorm,LBagMB,500,81.49642857142857,28500.0,599.3189697265625,0.06483510699826489,1827.428913460197,4,MB-LF-500,5864.0,47.55397616231477,5.864
77,covtypeNorm,ARFMB,500,83.49855072463768,35000.0,599.3690185546875,0.05242225274725275,1817.7018120398889,4,MB-LF-500,4736.0,58.39474333257774,4.736
62,airlines,SRPMB,500,67.12,5500.0,599.260986328125,0.3434500458295142,1871.0564838021312,4,MB-LF-500,29121.0,9.1779710768431,29.121
44,airlines,OBMB,500,66.72439678284182,187000.0,599.489990234375,0.01046058661778185,1938.3143359777798,4,MB-LF-500,975.0,311.93181378539947,0.975
36,airlines,OBAdwinMB,500,64.81304347826087,23500.0,599.2760009765625,0.08085819625858949,1879.0839071792088,4,MB-LF-500,7274.0,39.213984811180644,7.274
94,airlines,OBASHTMB,500,66.29442379182157,135000.0,599.5900268554688,0.01506614163614164,2012.41520826738,4,MB-LF-500,1309.0,225.15384504976393,1.309
74,airlines,LBagMB,500,61.0125,8500.0,599.2890014648438,0.24221066580478343,2035.991086569985,4,MB-LF-500,21924.0,14.183474048786858,21.924
37,airlines,ARFMB,500,65.63636363636364,6500.0,602.1510009765625,0.28985049525816653,1868.9777233050622,4,MB-LF-500,28931.0,10.794634550898968,28.931
68,GMSC,SRPMB,500,93.54615384615384,26500.0,599.2769775390625,0.06967500043314795,1831.9495484183096,4,MB-LF-500,6179.0,44.21995336584185,6.179
4,GMSC,OBMB,500,93.19197324414716,150000.0,365.3039855957031,0.007341687034277199,1081.4304575071606,4,MB-LF-500,666.0,410.61692703788657,0.666
84,GMSC,OBAdwinMB,500,93.44563758389262,149500.0,599.4390258789062,0.0124404204491161,1839.7069151378814,4,MB-LF-500,1098.0,249.3998447645295,1.098
59,GMSC,OBASHTMB,500,93.32508361204012,150000.0,257.2309875488281,0.005271050420168067,773.3141663495232,4,MB-LF-500,469.0,583.1334763721914,0.469
93,GMSC,LBagMB,500,93.35602836879433,71000.0,599.6649780273438,0.025917190586230494,1823.893947376842,4,MB-LF-500,2295.0,118.39944402549804,2.295
90,GMSC,ARFMB,500,93.50322580645162,62500.0,599.3400268554688,0.030591464220183488,1894.0794408339752,4,MB-LF-500,2622.0,104.28137150778338,2.622
73,elecNormNew,SRPMB,500,92.06363636363636,11500.0,599.2479858398438,0.15510162196628544,1766.7104917083936,4,MB-LF-500,13620.0,19.1907194879976,13.62
71,elecNormNew,OBMB,500,78.36629213483147,45000.0,291.2239990234375,0.01894581005586592,835.9809953345044,4,MB-LF-500,1733.0,154.5202323671767,1.733
33,elecNormNew,OBAdwinMB,500,84.62022471910112,45000.0,236.17300415039065,0.015937995444191343,697.0600489240572,4,MB-LF-500,1380.0,190.53828849695634,1.38
0,elecNormNew,OBASHTMB,500,78.90561797752808,45000.0,102.08399963378906,0.007309483726150393,308.0565140464089,4,MB-LF-500,642.0,440.81344933026435,0.642
95,elecNormNew,LBagMB,500,88.29090909090908,39000.0,599.2949829101562,0.0470892223161454,1816.1601528796523,4,MB-LF-500,4125.0,65.07646670195254,4.125
42,elecNormNew,ARFMB,500,88.92923076923077,33000.0,599.281005859375,0.0572920867705469,1872.766875689233,4,MB-LF-500,4961.0,55.065986869845254,4.961
39,covtypeNorm,SRPMB,500,82.54285714285714,11000.0,599.2440185546875,0.16733409715857012,1823.162851318583,4,MB-LF-500,15977.0,18.356461907672976,15.977
24,covtypeNorm,OBMB,500,81.72589285714285,112500.0,599.3090209960938,0.016043691369319914,1784.9868133126108,4,MB-LF-500,1460.0,187.71617989833874,1.46
70,covtypeNorm,OBAdwinMB,500,72.065,20500.0,599.2440185546875,0.08559889114931479,1738.0822844312127,4,MB-LF-500,7650.0,34.2097699188451,7.65
3,covtypeNorm,OBASHTMB,500,80.97514792899409,85000.0,599.3209838867188,0.022080284421460893,1856.1387980813945,4,MB-LF-500,1875.0,141.82717155798161,1.875
