,dataset,algorithm,batch_size,acc,instances,time,JPI,joules,cores,label,delay,IPS,delay_s
21,airlines,OBMB,,63.23619218679838,224531.0,599.843994140625,0.009724222945884726,2136.5303096277576,4,MB-D,247.0,374.3156590601153,0.247
4,airlines,OBAdwinMB,,66.73913043478261,31707.0,600.323974609375,0.06443432865264805,2000.7723352690932,4,MB-D,2469.0,52.81648133515147,2.469
3,airlines,OBASHTMB,,67.17217146872804,142987.0,599.4869995117188,0.013952324318155811,1951.0231025813387,4,MB-D,281.0,238.51559769680193,0.281
7,airlines,LBagMB,,61.10344827586207,16217.0,599.4829711914062,0.1157847128957217,1836.276669507965,4,MB-D,3011.0,27.05164413222698,3.011
11,airlines,ARFMB,,65.61748633879782,10784.0,599.2100219726562,0.17650873008072723,1866.7404051128185,4,MB-D,6025.0,17.997028762132597,6.025
9,GMSC,SRPMB,,93.53338334583648,33571.0,599.2780151367188,0.05798669654302154,1906.2048472391484,4,MB-D,772.0,56.01907487352284,0.772
10,GMSC,OBMB,,93.15879111704793,149978.0,298.20098876953125,0.006074060494471573,873.4848179935984,4,MB-D,108.0,502.9426650087756,0.108
18,GMSC,OBAdwinMB,,93.36988133043624,149983.0,594.3469848632812,0.012364438475483042,1812.8126317109661,4,MB-D,132.0,252.34922329840853,0.132
16,GMSC,OBASHTMB,,93.25792459125792,149996.0,515.291015625,0.009851825740563166,1442.1653172597166,4,MB-D,77.0,291.0898801875457,0.077
1,GMSC,LBagMB,,93.5256371814093,84936.0,599.3880004882812,0.020849394703972512,1731.5411829155569,4,MB-D,680.0,141.7045385139648,0.68
20,GMSC,ARFMB,,93.44285714285714,49880.0,599.4119873046875,0.03466624253926301,1696.357681313184,4,MB-D,949.0,83.21488568203335,0.949
13,elecNormNew,SRPMB,,91.43739279588335,15511.0,599.2479858398438,0.11399634324963308,1731.3540174745362,4,MB-D,1871.0,25.884108693767896,1.871
22,elecNormNew,OBMB,,76.9463087248322,45309.0,230.26199340820312,0.015300313700139824,656.902324702582,4,MB-D,156.0,196.77150939832808,0.156
15,elecNormNew,OBAdwinMB,,84.0945945945946,45311.0,445.37298583984375,0.028491854759169648,1255.4018437420195,4,MB-D,443.0,101.73719879879255,0.443
6,elecNormNew,OBASHTMB,,74.79266259032796,45306.0,166.10899353027344,0.011410750455186934,477.0792964490644,4,MB-D,167.0,272.74862749525334,0.167
5,elecNormNew,LBagMB,,90.17699115044248,40240.0,599.2680053710938,0.046974627349028,1847.9147524900131,4,MB-D,916.0,67.14858734212179,0.916
12,elecNormNew,ARFMB,,89.28118393234672,24491.0,599.3099975585938,0.07058093713598705,1695.525208156468,4,MB-D,1019.0,40.86532862753645,1.019
14,covtypeNorm,SRPMB,,81.84397163120568,7051.0,599.3599853515625,0.24434646615364697,1690.0646265711844,4,MB-D,1112.0,11.764215450359341,1.112
23,covtypeNorm,OBMB,,79.99428244711264,87996.0,599.5250244140625,0.02005327370906822,1725.8182354377295,4,MB-D,314.0,146.7761918462064,0.314
2,covtypeNorm,OBAdwinMB,,83.92173017507723,48779.0,599.3469848632812,0.038475133808323236,1834.9780855121871,4,MB-D,660.0,81.38691147520683,0.66
0,covtypeNorm,OBASHTMB,,82.35747303543913,131266.0,599.5800170898438,0.013420459565545651,1725.898961251363,4,MB-D,417.0,218.92991136882821,0.417
17,covtypeNorm,LBagMB,,77.18120805369128,19822.0,599.3469848632812,0.09396233719926347,1821.0385221538284,4,MB-D,2218.0,33.072661581039995,2.218
