dataset,algorithm,ensemble_size,cores,instances,time,delay,out_rate,acc
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,98206.0,599.3569946289062,478.0,163.85226440429688,77.57441320608717
GMSC,LBagExecutorMAXChunk,25,4,61886.0,599.2940063476562,438.0,103.26483917236328,93.4061099796334
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,29787.0,599.4619750976562,1766.0,49.68955612182617,79.31216931216932
airlines,OzaBagASHTExecutorMAXChunk,25,4,120949.0,599.5130004882812,353.0,201.74542236328125,66.0132945575405
airlines,OzaBagAdwinExecutorMAXChunk,25,4,32448.0,599.2540283203125,1965.0,54.14731979370117,67.11004784688996
elecNormNew,LBagExecutorMAXChunk,25,4,45157.0,599.3090209960938,653.0,75.34844207763672,90.30357142857143
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,45306.0,162.1790008544922,378.0,279.3580017089844,77.68957871396896
airlines,LBagExecutorMAXChunk,25,4,14109.0,599.4749755859375,1741.0,23.535594940185547,61.46306306306306
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,7883.0,599.9219970703125,3966.0,13.14004135131836,66.06802721088435
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,29976.0,599.3309936523438,1200.0,50.015769958496094,93.6156462585034
GMSC,OzaBagExecutorMAXChunk,25,4,149995.0,354.23199462890625,136.0,423.43719482421875,93.35760815099383
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,8195.0,599.2119750976562,4427.0,13.676295280456543,64.71428571428571
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,25108.0,599.2689819335938,1505.0,41.89771270751953,89.04850361197111
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,13887.0,599.2869873046875,1767.0,23.172536849975586,91.61869158878505
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,9326.0,599.1519775390625,846.0,15.565333366394043,82.29490616621985
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,45294.0,487.3330078125,376.0,92.9426040649414,84.15204024594746
GMSC,OzaBagASHTExecutorMAXChunk,25,4,149990.0,376.3089904785156,77.0,398.58203125,93.30531932632982
covtypeNorm,LBagExecutorMAXChunk,25,4,17572.0,599.385986328125,2677.0,29.316667556762695,77.08157099697885
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,138182.0,599.426025390625,165.0,230.52386474609375,93.47777172926874
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,23268.0,599.260986328125,1940.0,38.827823638916016,79.01573033707865
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,53075.0,599.43701171875,928.0,88.54141235351562,93.4661508704062
airlines,OzaBagExecutorMAXChunk,25,4,141466.0,599.27197265625,422.0,236.06309509277344,63.908993192404154
elecNormNew,OzaBagExecutorMAXChunk,25,4,45301.0,165.20199584960938,416.0,274.2158203125,77.20309050772627
covtypeNorm,OzaBagExecutorMAXChunk,25,4,108772.0,599.4340209960938,508.0,181.4578399658203,82.48688790902762
