dataset,algorithm,ensemble_size,cores,batch_size,inc_rate,instances,time,delay,out_rate
GMSC,OzaBagASHTExecutorMAXChunk,25,4,50,1381,150000.0,109.12699890136719,24.0,1374.5452880859375
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,500,552,65890.0,119.9229965209961,549.0,549.4359130859375
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,50,61,7200.0,120.1719970703125,547.0,59.91412353515625
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,50,79,8986.0,120.00800323486328,330.0,74.87834167480469
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,500,32,3600.0,119.96800231933594,9074.0,30.00800132751465
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,4
GMSC,OzaBagExecutorMAXChunk,25,4,50,109,12580.0,120.00700378417969,248.0,104.82721710205078
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,32,3600.0,119.96900177001953,35813.0,30.00775146484375
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,500,19,1800.0,119.95700073242188,18269.0,15.005376815795898
covtypeNorm,OzaBagExecutorMAXChunk,25,4,2000,9,600.0,119.93099975585938,63174.0,5.0028767585754395
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,500,995,119002.0,119.91600036621094,338.0,992.3779907226562
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,97,11381.0,119.80999755859375,13819.0,94.99207305908203
GMSC,OzaBagASHTExecutorMAXChunk,25,4,2000,1381,150000.0,109.41600036621094,1039.0,1370.9146728515625
covtypeNorm,LBagExecutorMAXChunk,25,4,500,36,4200.0,119.96800231933594,8705.0,35.009334564208984
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,50,59,6600.0,120.12999725341797,571.0,54.94048309326172
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,500,33,3600.0,119.96199798583984,9778.0,30.009504318237305
GMSC,OzaBagASHTExecutorMAXChunk,25,4,50,153,17970.0,119.82099914550781,147.0,149.9737091064453
GMSC,OzaBagExecutorMAXChunk,25,4,500,985,117806.0,119.83599853515625,330.0,983.0601806640625
GMSC,OzaBagExecutorMAXChunk,25,4,2000,109,12600.0,119.99800109863281,10054.0,105.00174713134766
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,50,23,2400.0,120.11399841308594,1369.0,19.98101806640625
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,500,23,2400.0,119.95700073242188,14285.0,20.007169723510742
GMSC,LBagExecutorMAXChunk,25,4,50,371,44326.0,119.91300201416016,86.0,369.6513366699219
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,175,20935.0,119.83699798583984,8056.0,174.6956329345703
GMSC,OzaBagASHTExecutorMAXChunk,25,4,50,767,91550.0,120.00199890136719,39.0,762.9039306640625
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,50,33,3600.0,120.0999984741211,933.0,29.975021362304688
GMSC,LBagExecutorMAXChunk,25,4,2000,206,24559.0,119.83300018310547,6065.0,204.94354248046875
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,500,59,6500.0,120.0510025024414,6160.0,54.143653869628906
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,500,6,600.0,119.93800354003906,45524.0,5.002584457397461
elecNormNew,LBagExecutorMAXChunk,25,4,500,31,3600.0,119.97000122070312,9158.0,30.00750160217285
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,19,1800.0,119.9520034790039,76649.0,15.006002426147461
GMSC,OzaBagExecutorMAXChunk,25,4,2000,985,117806.0,119.8280029296875,1367.0,983.1257934570312
covtypeNorm,OzaBagExecutorMAXChunk,25,4,50,47,5400.0,120.14600372314453,690.0,44.945316314697266
covtypeNorm,OzaBagExecutorMAXChunk,25,4,50,85,10183.0,119.80799865722656,430.0,84.99432373046875
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,500,4,2400.0,119.9520034790039,16125.0,20.00800323486328
GMSC,OzaBagExecutorMAXChunk,25,4,500,109,12600.0,119.9990005493164,2544.0,105.0008773803711
covtypeNorm,LBagExecutorMAXChunk,25,4,2000,66,7800.0,119.99700164794922,22060.0,65.00162506103516
elecNormNew,OzaBagExecutorMAXChunk,25,4,500,835,45312.0,54.4109992980957,389.0,832.7727661132812
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,50,290,34742.0,119.9020004272461,105.0,289.7532958984375
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,500,209,24559.0,119.84400177001953,1369.0,204.9247283935547
elecNormNew,OzaBagExecutorMAXChunk,25,4,500,463,45312.0,98.66699981689453,671.0,459.24169921875
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,2000,209,24559.0,119.84600067138672,5514.0,204.9213104248047
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,500,23,2400.0,119.95600128173828,15623.0,20.007335662841797
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,23,2400.0,119.96499633789062,55531.0,20.005836486816406
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,50,32,3600.0,120.00299835205078,870.0,29.999250411987305
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,2000,6,600.0,119.93599700927734,63144.0,5.002668380737305
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,500,14,1200.0,119.94499969482422,25462.0,10.004585266113281
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,500,399,45312.0,114.89199829101562,769.0,394.3877868652344
GMSC,OzaBagExecutorMAXChunk,25,4,50,985,117806.0,119.88999938964844,32.0,982.617431640625
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,500,79,8986.0,120.00199890136719,3567.0,74.88208770751953
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,500,110,13179.0,120.00800323486328,2432.0,109.81767272949219
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,50,42,4800.0,120.21399688720703,872.0,39.928794860839844
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,50,718,45312.0,63.45399856567383,48.0,714.0921020507812
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,50,62,7200.0,120.06600189208984,501.0,59.967018127441406
covtypeNorm,LBagExecutorMAXChunk,25,4,50,36,4200.0,120.11699676513672,873.0,34.96590805053711
GMSC,OzaBagASHTExecutorMAXChunk,25,4,2000,767,91647.0,119.97599792480469,1648.0,763.8778076171875
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,500,97,11382.0,120.00900268554688,3374.0,94.84288787841797
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,500,6,600.0,119.93699645996094,46542.0,5.002626419067383
elecNormNew,OzaBagExecutorMAXChunk,25,4,500,92,10782.0,119.81400299072266,2947.0,89.9894790649414
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,50,377,44925.0,119.9229965209961,50.0,374.6153869628906
GMSC,OzaBagASHTExecutorMAXChunk,25,4,2000,153,17970.0,119.8219985961914,7321.0,149.9724578857422
GMSC,LBagExecutorMAXChunk,25,4,500,206,24559.0,119.89600372314453,1509.0,204.83584594726562
covtypeNorm,OzaBagExecutorMAXChunk,25,4,500,9,600.0,119.93499755859375,45555.0,5.002709865570068
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,4,2400.0,119.95999908447266,54993.0,20.006668090820312
elecNormNew,OzaBagExecutorMAXChunk,25,4,2000,92,10782.0,119.81400299072266,11682.0,89.9894790649414
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,23
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,500,70,8400.0,119.99800109863281,4265.0,70.00116729736328
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,500,62,7200.0,119.9990005493164,5158.0,60.0004997253418
elecNormNew,LBagExecutorMAXChunk,25,4,500,159,18569.0,119.83300018310547,1972.0,154.9573211669922
