,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,ensemble_size,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,avg_times_duration,joules,JPIold,JPI,frequency_maximum,PERC,tput
86,OzaBagAdwinExecutorRUNPER,covtypeNorm,4,1,83,79.86302185058594,9585.0,120.01799774169922,221.0,74.66875326030255,25,128,3.525,817.8,79.86688851913478,9600.0,451.2,423.06344203948976,0.0003677621283255086,0.0470735524256651,600,50,79.86302204964859
12,OzaBagAdwinExecutorRUNPER,covtypeNorm,4,1,16,15.004250526428224,1800.0,119.96600341796876,54.0,69.33333333333334,25,128,3.23146551724138,749.7000000000002,14.983518130056936,1800.0,413.62758620689664,387.6660032864276,0.0017952586206896556,0.22979310344827591,600,10,15.004250777019651
64,OzaBagAdwin,covtypeNorm,1,1,150,90.2706069946289,10835.0,120.02799987792967,12009.0,70.30918320258421,25,128,3.4229074889867834,776.9999999999999,149.73003599520064,17970.0,438.1321585903083,410.8447396702702,0.0003159120894311752,0.040436747447190426,600,90,90.27060361765056
1,OzaBagAdwin,covtypeNorm,1,1,83,79.9106216430664,9584.0,119.93399810791016,379.0,69.36560934891486,25,128,3.4271551724137925,795.0999999999999,79.86134257716152,9584.0,438.67586206896544,411.0324219637903,0.0003575913159864141,0.045771688446261005,600,50,79.91061876697242
74,OzaBagAdwin,covtypeNorm,1,1,16,15.004250526428224,1800.0,119.96600341796876,60.0,67.72222222222221,25,128,3.209913793103449,744.7000000000002,14.983518130056936,1800.0,410.86896551724146,385.0805290748334,0.001783285440613027,0.22826053639846747,600,10,15.004250777019651
48,OzaBagASHTExecutorRUNPER,covtypeNorm,4,1,108,104.8818130493164,12579.0,119.93499755859376,331.0,64.61562922330869,25,128,3.5200892857142856,788.5,104.82412646561278,12579.0,450.57142857142856,422.1818998881749,0.00027983856313811,0.03581933608167808,600,90,104.8818131159304
31,OzaBagASHTExecutorRUNPER,covtypeNorm,4,1,60,59.913673400878906,7190.0,120.00599670410156,153.0,64.40890125173853,25,128,3.3698275862068963,781.8,59.90714392691328,7200.0,431.3379310344827,404.39951820373534,0.0004686825571915016,0.059991367320512204,600,50,59.913672628613405
116,OzaBagASHTExecutorRUNPER,covtypeNorm,4,1,12,10.004502296447754,1200.0,119.9459991455078,50.0,62.083333333333336,25,128,3.2150862068965522,745.9000000000001,9.989344698987747,1200.0,411.5310344827587,385.63672742514774,0.002679238505747127,0.34294252873563225,600,10,10.004502097183474
141,OzaBagASHT,covtypeNorm,1,1,108,102.05663299560548,12247.0,120.0019989013672,431.0,64.59541112109089,25,127,3.453478260869565,794.3,104.8188855650087,12579.0,438.59173913043475,414.42429446676505,0.0002819856504343566,0.03581217760516328,600,90,102.05663332380098
130,OzaBagASHT,covtypeNorm,1,1,60,59.91167449951172,7190.0,120.01000213623048,135.0,64.47844228094576,25,128,3.3274678111587983,775.3,59.90913780765838,7200.0,425.9158798283262,399.32941912540554,0.0004627910724838384,0.05923725727793132,600,50,59.911672960710426
7,OzaBagASHT,covtypeNorm,1,1,12,10.00458526611328,1200.0,119.94499969482422,48.0,61.75000000000001,25,128,3.192241379310345,740.6,9.989511013435893,1200.0,408.60689655172416,382.8933912671846,0.0026602011494252873,0.3405057471264368,600,10,10.00458546044568
20,OzaBag,covtypeNorm,1,1,135,128.7373809814453,15449.0,120.00399780273438,1878.0,65.16926661919865,25,128,3.4545064377682397,804.8999999999999,134.75029577910715,16173.0,442.1768240343347,414.5545829674716,0.0002236071226466593,0.02862171169877239,600,90,128.73737777799252
68,OzaBag,covtypeNorm,1,1,75,74.87834167480469,8986.0,120.00800323486328,162.0,62.85332739817494,25,128,3.323175965665236,774.3000000000001,74.8814377236043,9000.0,425.36652360515023,398.8077120375736,0.0003698170449215709,0.047336581749961075,600,50,74.87833942552838
131,OzaBag,covtypeNorm,1,1,15,15.004752159118652,1800.0,119.96199798583984,58.0,67.11111111111111,25,128,3.179310344827587,737.6000000000001,14.983518130056936,1800.0,406.95172413793114,381.39642118256677,0.001766283524904215,0.2260842911877395,600,10,15.004751756572691
81,LeveragingBag,covtypeNorm,1,1,117,63.7714729309082,7655.0,120.03800201416016,13637.0,72.42325277596342,25,128,3.468965517241378,804.7999999999997,114.8016365712,13777.0,444.0275862068964,416.40768974567266,0.0004531633595351245,0.05800491002049594,600,90,63.77147129703963
19,LeveragingBag,covtypeNorm,1,1,65,62.32292556762695,7479.0,120.00399780273438,755.0,72.40272763738467,25,127,3.494222222222222,786.1999999999999,64.89616613418531,7800.0,443.7662222222222,419.3206358778212,0.00046720446880896136,0.0593349675387381,600,50,62.32292371037647
43,LeveragingBag,covtypeNorm,1,1,13,9.963873863220217,1197.0,120.13400268554688,45.0,62.82372598162071,25,128,3.2030172413793108,743.1000000000001,9.989427855519576,1200.0,409.9862068965518,384.79128187771505,0.002675870711260911,0.34251145104139663,600,10,9.963873451658571
4,LBagExecutorRUNPER,covtypeNorm,4,1,117,102.35065460205078,12283.0,120.00900268554688,5819.0,74.62346332329236,25,128,3.703004291845494,862.8000000000001,114.79972335408178,13777.0,473.9845493562232,444.3938520046775,0.000301473930786086,0.038588663140619005,600,90,102.35065474366522
127,LBagExecutorRUNPER,covtypeNorm,4,1,65,64.89891815185547,7788.0,120.0019989013672,248.0,72.94555726759117,25,127,3.523478260869565,810.4,64.89886593391964,7800.0,447.48173913043473,422.82443438986076,0.00045242401911524974,0.057457850427636716,600,50,64.89891894551825
84,LBagExecutorRUNPER,covtypeNorm,4,1,13,9.995002746582031,1200.0,120.05999755859376,50.0,62.83333333333333,25,128,3.1995689655172423,742.3000000000002,9.989178390077416,1200.0,409.544827586207,384.1402421885525,0.002666307471264369,0.3412873563218392,600,10,9.99500270199785
71,AdaptiveRandomForestSequential,covtypeNorm,1,1,152,91.4401397705078,10973.0,120.0019989013672,13500.0,75.92271940216897,25,125,3.5044247787610607,791.9999999999998,149.73003599520064,17970.0,438.0530973451326,420.5379784508088,0.00031936797400538235,0.039920996750672795,600,90,91.44014350143448
93,AdaptiveRandomForestSequential,covtypeNorm,1,1,84,79.91728210449219,9584.0,119.92400360107422,1482.0,76.19991652754591,25,125,3.4881057268722464,791.8,79.86600111665736,9584.0,436.0132158590308,418.3076037503549,0.0003639509314349172,0.04549386642936465,600,50,79.91727854484463
23,AdaptiveRandomForestSequential,covtypeNorm,1,1,16,15.000624656677246,1800.0,119.99500274658205,135.0,68.66666666666667,25,126,3.262445414847162,747.1000000000001,14.983393405642081,1800.0,411.06812227074244,391.4771465151592,0.0018124696749150899,0.22837117903930135,600,10,15.000624682691392
49,AdaptiveRandomForestExecutorRUNPER,covtypeNorm,4,1,152,145.7551727294922,17481.0,119.93399810791016,1813.0,75.94531205308621,25,125,3.66359649122807,835.3,149.7225508656746,17970.0,457.9495614035087,439.3897746470936,0.0002095759104872759,0.026196988810909486,600,90,145.75516764038449
77,AdaptiveRandomForestExecutorRUNPER,covtypeNorm,4,1,84,79.86901092529297,9585.0,120.00900268554688,503.0,76.11893583724569,25,125,3.4999999999999996,794.4999999999999,79.87220447284345,9600.0,437.49999999999994,420.031509399414,0.0003651538862806468,0.04564423578508085,600,50,79.86900803696419
3,AdaptiveRandomForestExecutorRUNPER,covtypeNorm,4,1,16,15.004125595092772,1800.0,119.96700286865234,102.0,67.94444444444444,25,126,3.3091324200913244,724.7,14.98301924485583,1800.0,416.9506849315069,396.9866985338464,0.0018384069000507357,0.2316392694063927,600,10,15.004125775908204
95,StreamingRandomPatchesExecutorRUNPER,airlines,4,1,51,27.906938552856445,3349.0,120.00599670410156,14393.0,71.78262167811286,25,125,3.794273127753304,861.3,49.92968236400403,6000.0,474.284140969163,455.33552846362414,0.0011329570402368778,0.14161963002960973,600,90,27.906938752882656
113,StreamingRandomPatchesExecutorRUNPER,airlines,4,1,28,24.86459350585937,2984.0,120.01000213623048,679.0,72.62064343163539,25,126,3.7837719298245616,862.7,24.969412469724585,3000.0,476.7552631578948,454.0904773812546,0.0012680200837213679,0.15977053054889234,600,50,24.86459417451459
58,StreamingRandomPatchesExecutorRUNPER,airlines,4,1,5,4.98507833480835,598.0,119.95800018310548,53.0,75.75250836120402,25,126,3.25,715.0,4.994963411893008,600.0,409.5,389.86350059509283,0.005434782608695652,0.6847826086956522,600,10,4.985078103062779
39,StreamingRandomPatches,airlines,1,1,51,14.489734649658203,1739.0,120.01599884033205,22926.0,74.35307648073606,25,125,3.449779735682819,783.0999999999999,49.92843590853111,6000.0,431.2224669603524,414.0287607571102,0.0019837721309274403,0.24797151636593007,600,90,14.489734842048403
22,StreamingRandomPatches,airlines,1,1,28,14.507123947143556,1741.0,120.01000213623048,14112.0,74.38253877082137,25,125,3.451541850220264,783.5,24.969412469724585,3000.0,431.442731277533,414.2195448182228,0.0019825053706032532,0.24781317132540667,600,50,14.507124148066321
124,StreamingRandomPatches,airlines,1,1,5,4.98507833480835,598.0,119.95800018310548,147.0,75.58528428093646,25,126,3.271052631578948,745.8000000000001,4.995004995004995,600.0,412.1526315789474,392.38893217789513,0.005469987678225666,0.6892184474564338,600,10,4.985078103062779
92,OzaBagExecutorRUNPER,airlines,4,1,327,83.53330993652344,10025.0,120.01200103759766,17962.0,63.142144638403984,25,128,3.8720524017467244,886.6999999999999,324.30428879615516,38935.0,495.6227074235807,464.6927568560604,0.00038623964107199245,0.04943867405721503,600,90,83.53331261312228
103,OzaBagExecutorRUNPER,airlines,4,1,182,84.56102752685547,10148.0,120.00800323486328,14249.0,62.800551832873474,25,127,3.890434782608696,894.8000000000001,179.6865235107367,21564.0,494.0852173913044,466.88330997632903,0.0003833696080615585,0.048687940223817935,600,50,84.56102698533964
2,OzaBagExecutorRUNPER,airlines,4,1,36,34.941375732421875,4193.0,120.0009994506836,302.0,68.51896017171477,25,127,3.3713043478260873,775.4000000000001,34.953977263270026,4200.0,428.1556521739131,404.5598911915655,0.00080403156399382,0.10211200862721515,600,10,34.941375648485185
10,OzaBagAdwinExecutorRUNPER,airlines,4,1,91,80.69070434570312,9687.0,120.0510025024414,2526.0,64.30267368638381,25,128,3.801293103448276,881.9,89.85847290517435,10800.0,486.5655172413793,456.34904787458225,0.00039241179967464395,0.050228710358354425,600,90,80.69070476777569
89,OzaBagAdwinExecutorRUNPER,airlines,4,1,50,49.924583435058594,5991.0,120.0009994506836,528.0,66.59989984977466,25,128,3.524017467248908,807.0,49.92885138677384,6000.0,451.07423580786025,422.8856181515356,0.0005882185724000848,0.07529197726721086,600,50,49.924584190335025
129,OzaBagAdwinExecutorRUNPER,airlines,4,1,10,9.987327575683594,1198.0,119.9520034790039,40.0,74.20701168614357,25,128,3.2991379310344833,765.4000000000001,9.989178390077416,1200.0,422.28965517241386,395.7382045811621,0.0027538713948534917,0.35249553854124693,600,10,9.987327974973715
41,OzaBagAdwin,airlines,1,1,91,73.36054992675781,8804.0,120.01000213623048,7465.0,64.35711040436165,25,128,3.549568965517241,823.4999999999999,89.85922055446467,10800.0,454.34482758620686,425.9837791344215,0.00040317684751445265,0.05160663648184994,600,90,73.36055198137616
112,OzaBagAdwin,airlines,1,1,50,49.6825065612793,5962.0,120.0019989013672,2001.0,66.95739684669574,25,127,3.3778260869565218,776.9,49.92843590853111,6000.0,428.98391304347825,405.34588237596597,0.000566559222904482,0.07195302130886921,600,50,49.682505746427815
100,OzaBagAdwin,airlines,1,1,10,9.987078666687012,1198.0,119.95500183105467,78.0,75.12520868113522,25,128,3.2745689655172416,759.7,9.989344698987747,1200.0,419.14482758620693,392.8009262545355,0.0027333630763916876,0.349870473778136,600,10,9.987078335318357
14,OzaBagASHTExecutorRUNPER,airlines,4,1,210,81.19569396972656,9746.0,120.03099822998048,21467.0,63.43115124153499,25,129,3.825213675213676,895.1000000000001,209.61157121194447,25158.0,493.45256410256417,459.1442158788699,0.0003924906295109456,0.05063129120691198,600,90,81.19569231046947
47,OzaBagASHTExecutorRUNPER,airlines,4,1,117,82.69680786132812,9928.0,120.0530014038086,6744.0,63.39645447219984,25,128,3.8043290043290043,878.8,114.81247296083065,13800.0,486.95411255411256,456.7211152972597,0.0003831918819831793,0.04904856089384695,600,50,82.69680794240469
110,OzaBagASHTExecutorRUNPER,airlines,4,1,23,19.988996505737305,2398.0,119.96600341796876,93.0,72.18515429524604,25,128,3.321120689655173,770.5000000000001,19.975696236245902,2400.0,425.10344827586215,398.4215760066593,0.0013849544160363524,0.1772741652526531,600,10,19.988996312940625
65,OzaBagASHT,airlines,1,1,210,73.67938995361328,8843.0,120.0199966430664,17428.0,64.1298201967658,25,127,3.506306306306305,778.3999999999997,209.62729037687583,25158.0,445.30090090090073,420.8268711124453,0.00039650642387270216,0.05035631583183317,600,90,73.67938882966851
35,OzaBagASHT,airlines,1,1,117,73.05875396728516,8768.0,120.01300048828124,13456.0,64.38184306569343,25,128,3.5202586206896553,816.7,114.8096074010599,13800.0,450.5931034482759,422.4767995637038,0.00040148934998741507,0.05139063679838913,600,50,73.05875167129213
11,OzaBagASHT,airlines,1,1,23,19.98949813842773,2398.0,119.96299743652344,426.0,72.76897414512094,25,127,3.318614718614719,766.6000000000001,19.975862499479796,2400.0,421.46406926406934,398.1109689819865,0.0013839093905816176,0.17575649260386544,600,10,19.989497188654898
21,OzaBag,airlines,1,1,327,72.78030395507812,8734.0,120.00499725341795,13942.0,64.73551637279597,25,128,3.5303030303030294,815.4999999999998,324.29078309540074,38935.0,451.87878787878776,423.6540054552481,0.00040420231627009723,0.051737896482572446,600,90,72.78030248653866
34,OzaBag,airlines,1,1,182,76.2834701538086,9156.0,120.0260009765625,19074.0,64.19833988641328,25,128,3.5180257510729604,819.6999999999998,179.69101544922754,21564.0,450.30729613733894,422.25456223385515,0.00038423173340683273,0.04918166187607459,600,50,76.28347129375653
117,OzaBag,airlines,1,1,36,34.925079345703125,4193.0,120.05699920654295,1199.0,69.59217743858812,25,127,3.3233766233766238,767.7,34.954268165816394,4200.0,422.0688311688312,398.9946246357707,0.0007926011503402394,0.1006603460932104,600,10,34.92507748579049
