dataset,algorithm,ensemble_size,cores,batch_size,instances,time,acc,prec,recall,change
airlines,OzaBagAdwinExecutorMAXChunk,25,4,50,121,14350.0,120.04299926757812,64.53846153846153,64.4051531992636,62.83757492518562,0
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,50,204,23960.0,119.87799835205078,93.67210372229194,77.13873514934299,52.87333493951844,0
covtypeNorm,OzaBagExecutorMAXChunk,25,4,50,100,11980.0,119.81500244140625,62.238055322715844,50.377968775784765,?,0
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,500,103,11980.0,119.81700134277344,81.75087108013938,81.67147351758679,81.10026505012722,0
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,50,39,4150.0,120.8290023803711,69.92682926829268,61.6211027831356,57.23139511672852,0
GMSC,LBagExecutorMAXChunk,25,4,500,818,93865.0,119.98799896240234,93.41187811278317,74.92183667469345,52.406512058394384,108.0
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,50,34,3600.0,120.072998046875,94.36619718309859,77.2316384180791,51.425411358340135,0
GMSC,LBagExecutorMAXChunk,25,4,2000,749,86000.0,121.22899627685547,93.42968368671055,74.00412954659514,53.517752189831235,25.0
GMSC,OzaBagASHTExecutorMAXChunk,25,4,500,260,31148.0,119.8489990234375,93.53628295484208,75.5,51.0,
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,500,106,12500.0,121.72899627685547,56.89999999999999,45.91713871307647,?,0
airlines,OzaBagAdwinExecutorMAXChunk,25,4,500,109,12500.0,122.28099822998047,62.608333333333334,62.463973293441164,60.19214262828062,0
airlines,OzaBagExecutorMAXChunk,25,4,500,103,12000.0,123.10800170898438,62.57391304347826,62.4329418962819,59.746867519892135,0
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,77,4000.0,124.28800201416016,64.95,57.3963651324138,53.0587668593449,0
airlines,OzaBagAdwinExecutorMAXChunk,25,4,500,21,2400.0,119.9530029296875,71.57894736842105,57.82484812644482,53.95573445248814,0
airlines,OzaBagASHTExecutorMAXChunk,25,4,500,118,13500.0,121.552001953125,62.69230769230769,62.81645352076909,60.61510343029251,0
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,19,1800.0,119.9530029296875,40.33333333333333,?,50.0,0
GMSC,OzaBagASHTExecutorMAXChunk,25,4,50,1956,149592.0,76.9020004272461,93.32562089580185,75.9,51.3,
airlines,OzaBagAdwinExecutorMAXChunk,25,4,500,196,21000.0,121.4739990234375,63.951219512195124,62.74650291906947,61.16048329283045,0
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,500,337,40000.0,120.22100067138672,93.45569620253164,73.68083716962146,52.95292939697027,0
airlines,LBagExecutorMAXChunk,25,4,2000,5,3000.0,119.97000122070312,67.5,58.777907580477674,55.014482678716256,1.0
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,206,20000.0,120.94100189208984,51.98888888888889,31.208449341786128,25.093304510907107,0
elecNormNew,LBagExecutorMAXChunk,25,4,500,603,41768.0,75.67900085449219,77.64127168750605,77.39003504902142,76.57048817366886,84.0
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,500,190,22500.0,120.11900329589844,65.75,51.05991329723819,?,0
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,181,21564.0,119.81700134277344,93.51870783070947,71.36743414461391,50.98899380083054,0
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,500,234,27409.0,119.86399841308594,64.23873053625181,48.019219824073296,49.80713263106803,0
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,50,7,600.0,120.6989974975586,76.36363636363637,59.9286092014807,55.9669474018751,0
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,50,138,16173.0,119.86100006103516,82.14352167710723,82.02050489363756,81.69544560427582,0
airlines,OzaBagExecutorMAXChunk,25,4,50,181,20200.0,120.0790023803711,63.48387096774194,62.27358570713495,60.79737156919685,0
airlines,OzaBagExecutorMAXChunk,25,4,500,20,2400.0,119.94400024414062,70.84210526315789,57.05831888929741,54.0366958041708,0
airlines,OzaBagExecutorMAXChunk,25,4,500,186,20500.0,121.7040023803711,63.0,61.81329011218305,60.377604166666664,0
GMSC,OzaBagASHTExecutorMAXChunk,25,4,2000,252,29950.0,119.83799743652344,93.55635062611807,75.8,51.5,
covtypeNorm,OzaBagExecutorMAXChunk,25,4,2000,114,13179.0,120.01000213623047,48.966812773951155,?,?,0
covtypeNorm,OzaBagExecutorMAXChunk,25,4,500,22,2400.0,119.95500183105469,51.0,?,?,0
elecNormNew,OzaBagExecutorMAXChunk,25,4,2000,1364,38442.0,33.7760009765625,75.29498929806267,74.8051054653408,73.84253089947367,0
GMSC,LBagExecutorMAXChunk,25,4,50,753,89400.0,120.02999877929688,93.37213206491326,71.95719785196562,52.40067824127637,1644.0
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,50,40,4800.0,120.08100128173828,80.16842105263157,79.38117012785612,78.75162223885295,0
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,500,157,18569.0,119.8219985961914,80.44717471913222,80.37607384606574,79.63127902278929,0
covtypeNorm,LBagExecutorMAXChunk,25,4,2000,18,1800.0,119.9469985961914,0.0,?,?,1.0
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,500,207,24500.0,120.53700256347656,79.30416666666666,?,52.147429081899375,0
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,8,600.0,119.94100189208984,78.0,?,50.0,0
GMSC,LBagExecutorMAXChunk,25,4,500,454,53910.0,119.89800262451172,93.34768769893277,72.50864227942687,53.085261364929735,0.0
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,50,202,23960.0,119.96199798583984,80.98285236302803,80.91362176074932,80.03370741656973,0
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,2000,737,42673.0,61.78799819946289,75.28335750989599,?,?,0
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,22
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,50,37,4200.0,120.23500061035156,76.4578313253012,65.3934735941558,?,0
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,500,186,22000.0,120.63200378417969,80.0093023255814,80.1329350520711,78.83267797068547,0
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,50,70,5500.0,123.41300201416016,67.28440366972477,61.9116879242187,57.83701228304181,0
covtypeNorm,LBagExecutorMAXChunk,25,4,2000,162,19168.0,119.8290023803711,58.242078285181734,48.19709248610211,?,10.0
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,50,600,71800.0,120.06900024414062,93.42020905923346,75.00659781283015,53.81021611954749,0
airlines,OzaBagExecutorMAXChunk,25,4,2000,189,18000.0,121.05400085449219,60.58125,60.94802438448781,59.81995037731343,0
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,500,1805,148607.0,83.36299896240234,93.44933055156069,78.17447748009982,52.48741097571623,0
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,50,177,20950.0,120.00499725341797,82.88995215311004,82.99658947687777,82.12183165838185,0
airlines,LBagExecutorMAXChunk,25,4,50,6,600.0,120.0999984741211,76.72727272727272,58.65683229813665,53.98657238201176,0.0
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,40,4000.0,138.0850067138672,64.35,56.854327737673174,53.722976436690175,0
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,39,4200.0,119.97200012207031,77.22727272727272,83.6548084673602,71.549219544933,0
airlines,OzaBagAdwinExecutorMAXChunk,25,4,50,24,2400.0,120.10900115966797,72.08510638297872,57.08247702508822,53.681395833193356,0
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,50,8,600.0,120.51000213623047,77.81818181818181,60.370415057915054,53.41450818369617,0
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,50,186,22163.0,119.98100280761719,68.91873558540225,54.36377714668399,?,0
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,50,314,37138.0,119.9800033569336,93.52351164797238,77.23750837372422,52.093050103902094,0
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,500,8
covtypeNorm,OzaBagExecutorMAXChunk,25,4,2000,206,24000.0,123.51100158691406,58.60454545454545,?,?,0
covtypeNorm,LBagExecutorMAXChunk,25,4,50,139,16150.0,120.03099822998047,71.32919254658385,59.875162591532074,?,307.0
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,50,174,20366.0,119.93000030517578,93.59618035046269,74.844468568045,51.013287991517565,0
airlines,OzaBagAdwinExecutorMAXChunk,25,4,50,218,21700.0,120.05599975585938,67.27020785219399,66.32976601763612,64.07737854037912,0
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,50,95,11381.0,119.81099700927734,68.86417791898332,56.7724398891166,?,0
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,500,1213,41486.0,37.564998626708984,77.59234860684137,77.35040101806898,76.28338113689446,0
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,500,26,3000.0,122.10600280761719,51.04,?,?,0
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,500,373,42976.0,119.90299987792969,77.58028062906112,77.30994892428139,76.47682173246875,0
GMSC,OzaBagExecutorMAXChunk,25,4,50,205,24559.0,119.8550033569336,93.60643029091355,75.79132591194625,52.33157927068959,0
covtypeNorm,OzaBagExecutorMAXChunk,25,4,2000,22,2400.0,119.93599700927734,62.0,?,?,0
elecNormNew,LBagExecutorMAXChunk,25,4,50,544,43129.0,84.08899688720703,82.17925207177511,82.14087360363999,81.20034183101959,858.0
airlines,LBagExecutorMAXChunk,25,4,500,28,3000.0,132.2519989013672,69.6,56.84129298522711,53.77388947567707,3.0
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,327,38935.0,119.86499786376953,93.50751319886287,75.57787951327411,53.791594009753794,0
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,500,232,27500.0,120.56600189208984,66.87037037037037,51.52801777955504,?,0
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,500,67,7800.0,119.98899841308594,93.52054794520548,67.63899482223917,51.6484417096542,0
GMSC,OzaBagASHTExecutorMAXChunk,25,4,500,1301,150000.0,115.84300231933594,93.38929765886289,75.4,51.6,
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,198,21666.0,119.83999633789062,78.04840842062443,78.37961357876391,76.67974430470457,0
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,500,40,4800.0,119.97200012207031,58.18604651162791,49.21887573907622,?,0
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,500,36,4200.0,119.9729995727539,93.89189189189189,69.74543483082383,51.024780175859306,0
elecNormNew,OzaBagExecutorMAXChunk,25,4,50,1283,42968.0,35.54499816894531,79.04608788853162,78.65313473721845,78.221950058554,0
GMSC,LBagExecutorMAXChunk,25,4,2000,83,9585.0,120.0009994506836,93.35530652603823,66.05027625435788,51.34589904688636,0.0
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,500,41,4500.0,125.63500213623047,68.325,61.32491150606199,54.207603839008186,0
elecNormNew,OzaBagExecutorMAXChunk,25,4,500,782,45312.0,58.20000076293945,77.45246808890475,77.11204625693328,76.3805693124659,0
elecNormNew,OzaBagExecutorMAXChunk,25,4,2000,151,17970.0,119.81400299072266,79.23606762680025,79.19316098040561,78.5628224513479,0
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,50,1843,149800.0,81.71399688720703,93.31151919866444,69.68158212888883,50.13268960767512,0
elecNormNew,OzaBagExecutorMAXChunk,25,4,50,142,16772.0,119.83399963378906,82.4482717378304,82.39563644785075,81.8699124596319,0
covtypeNorm,OzaBagExecutorMAXChunk,25,4,500,111,13000.0,120.62999725341797,55.992,?,?,0
elecNormNew,LBagExecutorMAXChunk,25,4,50,302,35907.0,119.96900177001953,81.70789525057869,81.59331759868202,80.56261820494106,714.0
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,2000,198,23361.0,119.81999969482422,93.47876972051871,71.54888470615582,52.40278822259269,0
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,178,19932.0,119.81999969482422,78.96497880883338,80.61699856233258,77.44160690290582,0
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,50,72,4850.0,120.58300018310547,68.77083333333334,62.60942921720307,55.897270471464026,0
airlines,OzaBagASHTExecutorMAXChunk,25,4,2000,206,22000.0,129.78700256347656,63.04,61.88265670019799,60.633759687454535,0
airlines,OzaBagASHTExecutorMAXChunk,25,4,50,116,13778.0,120.00800323486328,63.43240093240093,63.4009626367551,61.15255724062554,0
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,500,674,45129.0,67.86299896240234,78.4310650025768,78.17352972337197,77.34471602295336,0
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,50,66,7800.0,120.0790023803711,93.56129032258065,66.15075366858534,51.36532298869961,0
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,358,37097.0,119.88600158691406,76.45382796250392,?,49.50195610391883,0
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,500,72,6000.0,126.33200073242188,66.36363636363637,62.91399335655803,58.69203957202844,0
covtypeNorm,LBagExecutorMAXChunk,25,4,500,19,1800.0,119.94400024414062,48.15384615384615,?,?,3.0
airlines,LBagExecutorMAXChunk,25,4,500,52,5000.0,121.1449966430664,65.04444444444445,57.781766009078794,54.735266283469656,7.0
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,50,1024,121992.0,119.92400360107422,93.50674911023273,77.85949268364,52.87841423070356,0
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,50,31,3600.0,120.10600280761719,69.88732394366197,61.331840822031026,?,0
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,50,171,20366.0,119.96099853515625,71.9088403228982,58.98207986103754,?,0
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,40,4000.0,126.9540023803711,29.099999999999998,?,34.916313850854245,0
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,2000,192,22000.0,126.4520034790039,60.915,46.21504413448213,45.82421513731945,0
GMSC,OzaBagASHTExecutorMAXChunk,25,4,500,2342,147367.0,64.25599670410156,93.31640191465748,75.5,51.4,
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,50,7,600.0,120.24400329589844,71.0909090909091,?,?,0
elecNormNew,OzaBagExecutorMAXChunk,25,4,50,712,45312.0,64.0250015258789,79.15248994741727,78.79904737243363,78.29239404015746,0
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,2000,147,17371.0,119.81500244140625,79.01893175460283,79.04657556718855,78.20802875795492,0
elecNormNew,LBagExecutorMAXChunk,25,4,50,60,7200.0,120.0979995727539,82.2937062937063,81.59901411498944,81.34989071533974,140.0
airlines,LBagExecutorMAXChunk,25,4,50,57,5800.0,120.47000122070312,64.83478260869565,58.47738983898358,55.582968031647596,75.0
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,50,285,32082.0,119.93699645996094,80.01685814185814,63.073542204630805,60.77428353300907,0
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,500,787,45092.0,57.98699951171875,77.09006099748834,76.68094277067989,76.10388753252946,0
airlines,OzaBagASHTExecutorMAXChunk,25,4,2000,114,12000.0,122.55699920654297,60.440000000000005,61.03918118050237,58.96261317157505,0
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,50,1060,43693.0,42.90399932861328,80.01054006369864,79.94057981975591,78.84237966312432,0
airlines,LBagExecutorMAXChunk,25,4,50,32,3600.0,120.82099914550781,68.90140845070422,56.59286402387642,53.84964071272636,31.0
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,500,134,15574.0,119.8270034790039,80.37017380920791,80.10864816365849,80.22452243513727,0
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,50,1243,42683.0,36.82500076293945,79.30241831445124,79.00518830193262,78.40021907373213,0
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,43,4000.0,142.74099731445312,65.05,57.592388253286096,53.03313535203549,0
covtypeNorm,LBagExecutorMAXChunk,25,4,2000,90,10156.0,120.0009994506836,49.95095635115253,?,?,6.0
GMSC,OzaBagExecutorMAXChunk,25,4,500,1236,147500.0,120.03500366210938,93.43877551020408,77.16598142862495,52.29878811191765,0
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,500,128,14000.0,121.03199768066406,51.37777777777778,43.28152009895013,42.921593048691506,0
GMSC,OzaBagExecutorMAXChunk,25,4,50,1852,150000.0,81.26899719238281,93.48782927642547,77.93364827443881,53.13485821444951,0
airlines,OzaBagExecutorMAXChunk,25,4,50,100,11984.0,120.00499725341797,62.96296296296296,62.38054844808805,59.74698950104482,0
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,2000,128,14975.0,119.81800079345703,79.6917148362235,79.54288877836876,79.43421681665635,0
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,2000,113,12000.0,122.68800354003906,50.8,?,?,0
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,2000,21,2400.0,119.947998046875,61.5,?,?,0
GMSC,LBagExecutorMAXChunk,25,4,50,83,9585.0,120.0009994506836,93.5186156266387,68.07836664960175,52.24155499164467,0.0
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,500,200,23960.0,119.8270034790039,93.59335038363172,74.8434715546189,52.67211228407833,0
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,326,38000.0,121.50499725341797,93.475,75.29857239534658,52.21094780784289,0
covtypeNorm,OzaBagExecutorMAXChunk,25,4,50,20,2400.0,120.18000030517578,64.08510638297872,?,?,0
airlines,OzaBagAdwinExecutorMAXChunk,25,4,2000,20
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,65,7800.0,119.99400329589844,93.32758620689656,66.63212832911198,52.00891332392623,0
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,500,1003,119600.0,119.96700286865234,93.48866498740554,78.49105659587688,52.48503736703043,0
GMSC,OzaBagExecutorMAXChunk,25,4,50,1029,122590.0,119.97200012207031,93.50987432675045,77.71536048314891,52.92316184573417,0
airlines,OzaBagASHTExecutorMAXChunk,25,4,2000,22,2400.0,119.93499755859375,70.25,61.187845303867405,54.60241035916146,0
GMSC,OzaBagExecutorMAXChunk,25,4,2000,1202,143153.0,119.88999938964844,93.4730398928822,79.48367543589359,52.21729213170039,0
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,8,600.0,119.93800354003906,0.0,?,?,0
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,2000,1160,39068.0,39.215999603271484,75.01618646811265,?,49.18949310750047,0
GMSC,OzaBagExecutorMAXChunk,25,4,2000,240,28752.0,119.83899688720703,93.57057416267942,75.90499899416616,53.75130759482389,0
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,50,68,7782.0,120.0009994506836,76.53905845835489,64.47750051479133,?,0
GMSC,LBagExecutorMAXChunk,25,4,500,90,10800.0,119.99600219726562,93.24271844660194,64.00967691837222,51.34312472380073,0.0
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,8,600.0,119.93599700927734,78.0,?,50.0,0
covtypeNorm,OzaBagExecutorMAXChunk,25,4,50,181,21564.0,119.98999786376953,68.26717486287998,54.18436316139752,?,0
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,99,11381.0,119.81500244140625,81.41989126958747,81.7054280915496,80.5826126462855,0
