dataset,algorithm,ensemble_size,cores,batch_size,inc_rate,methodology,instances,time,delay,out_rate,acc
elecNormNew,StreamingRandomPatches,25,1,1,147,1,16550.0,120.01200103759766,5170.0,137.9028778076172,91.38368580060423
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,50,25,3,3000.0,120.14900207519531,1175.0,24.968996047973633,79.28813559322035
elecNormNew,LeveragingBag,25,1,1,457,1,42498.0,100.33300018310547,4663.0,423.56951904296875,89.54774342321991
airlines,StreamingRandomPatches,25,1,1,6,1,598.0,119.95700073242188,119.0,4.985119819641113,75.58528428093646
GMSC,StreamingRandomPatches,25,1,1,269,1,28092.0,120.0009994506836,7979.0,234.09805297851562,93.54976505766767
airlines,OzaBagExecutorMAXChunk,25,4,50,4525,3,190000.0,120.01200103759766,31.0,1583.175048828125,62.624374835483025
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,50,896,3,105350.0,120.0009994506836,51.0,877.9093627929688,87.6286799620133
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,50,3625,3,148900.0,41.45399856567383,13.0,3591.933349609375,93.45246892845147
covtypeNorm,OzaBagExecutorMAXChunk,25,4,50,271,2,32346.0,119.9530029296875,158.0,269.6556091308594,71.7426306663364
covtypeNorm,OzaBagAdwin,25,1,1,27,1,2999.0,120.00199890136719,104.0,24.99125099182129,65.95531843947983
airlines,OzaBag,25,1,1,17,1,1798.0,119.97200012207031,147.0,14.986830711364746,73.63737486095661
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,50,79,2,8986.0,120.00499725341797,391.0,74.88021850585938,80.93106535362578
covtypeNorm,StreamingRandomPatches,25,1,1,6,1,600.0,119.96900177001953,214.0,5.001291751861572,77.0
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,50,127,3,14950.0,119.85900115966797,318.0,124.72988891601562,80.73154362416108
airlines,OzaBagASHT,25,1,1,165,1,12420.0,120.70700073242188,11432.0,102.89378356933594,63.80032206119163
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,50,270,3,32300.0,119.90899658203125,108.0,269.3709411621094,69.8046511627907
covtypeNorm,OzaBagExecutorMAXChunk,25,4,50,150,2,17970.0,119.99199676513672,256.0,149.75999450683594,64.87723214285714
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,50,911,3,103550.0,119.97100067138672,54.0,863.125244140625,90.64057971014493
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,50,1261,3,45300.0,36.0,31.0,1258.3333740234375,85.58232044198894
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,50,2270,3,42950.0,20.113000869750977,23.0,2135.434814453125,85.64335664335664
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,50,197,2,23361.0,119.91799926757812,207.0,194.80812072753906,82.75921238900091
elecNormNew,OzaBagAdwin,25,1,1,1051,1,39257.0,49.888999938964844,3652.0,786.8869018554688,84.14805002929414
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,50,230,3,27550.0,119.99400329589844,214.0,229.5948028564453,87.65454545454546
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,50,99,3,11350.0,120.00599670410156,339.0,94.57860565185547,76.38938053097345
elecNormNew,LBagExecutorMAXChunk,25,4,50,1080,2,42589.0,42.10300064086914,47.0,1011.5430908203125,81.90836644020781
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,50,2070,3,45100.0,21.92799949645996,19.0,2056.731201171875,76.92341842397337
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,50,715,2,44081.0,63.474998474121094,67.0,694.46240234375,80.54552474393041
covtypeNorm,OzaBag,25,1,1,31,1,3600.0,119.99199676513672,109.0,30.00200080871582,66.25
elecNormNew,LBagExecutorMAXChunk,25,4,50,1184,3,42050.0,38.44599914550781,43.0,1093.741943359375,90.51190476190476
elecNormNew,OzaBag,25,1,1,155,1,18569.0,119.85099792480469,101.0,154.93405151367188,86.61748074748236
airlines,LBagExecutorMAXChunk,25,4,50,107,3,9600.0,123.55799865722656,631.0,77.69630432128906,61.633507853403145
airlines,OzaBagAdwinExecutorMAXChunk,25,4,50,341,3,40700.0,120.05500030517578,137.0,339.01129150390625,86.13038130381304
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,50,355,2,42529.0,119.98999786376953,134.0,354.4378662109375,81.1224369688552
GMSC,LBagExecutorMAXChunk,25,4,50,818,2,97550.0,120.02300262451172,48.0,812.7608642578125,93.33538461538463
GMSC,StreamingRandomPatches,25,1,1,29,1,3000.0,119.99099731445312,176.0,25.001874923706055,94.19999999999999
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,50,2013,3,150000.0,74.85900115966797,19.0,2003.76708984375,93.34444814938313
elecNormNew,LeveragingBag,25,1,1,254,1,29950.0,119.92900085449219,1225.0,249.73109436035156,90.03005008347246
airlines,OzaBag,25,1,1,154,1,12357.0,120.00800323486328,9320.0,102.96813201904297,63.648134660516305
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,50,479,3,56900.0,119.98200225830078,81.0,474.23779296875,93.44942832014073
GMSC,OzaBagASHT,25,1,1,1115,1,132813.0,119.9530029296875,696.0,1107.2086181640625,93.35833088628372
covtypeNorm,LeveragingBag,25,1,1,75,1,8986.0,120.01200103759766,508.0,74.87584686279297,73.0135766748275
airlines,LeveragingBag,25,1,1,23,1,2397.0,120.03800201416016,1089.0,19.96867561340332,71.88151856487276
elecNormNew,LBagExecutorMAXChunk,25,4,50,131,3,15550.0,119.94000244140625,233.0,129.6481475830078,92.24516129032259
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,50,862,3,101450.0,120.08200073242188,58.0,844.83935546875,93.4585798816568
GMSC,AdaptiveRandomForestSequential,25,1,1,52,1,5995.0,120.0009994506836,176.0,49.957916259765625,93.7114261884904
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,50,2437,3,286750.0,120.0009994506836,19.0,2389.5634765625,78.4293686780607
airlines,OzaBagExecutorMAXChunk,25,4,50,178,2,20965.0,119.88999938964844,234.0,174.86863708496094,63.356442744441786
GMSC,OzaBagExecutorMAXChunk,25,4,50,3318,2,150000.0,45.43600082397461,14.0,3301.346923828125,93.44648216072025
GMSC,LBagExecutorMAXChunk,25,4,50,203,3,23950.0,119.87899780273438,132.0,199.7847900390625,93.52301255230125
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,50,402,3,47900.0,119.93099975585938,65.0,399.3963317871094,93.54858934169279
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,50,397,2,45312.0,114.93199920654297,98.0,394.2505187988281,80.23286642216428
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,50,110,3,10850.0,121.38800048828125,558.0,89.38280487060547,65.32407407407408
elecNormNew,AdaptiveRandomForestSequential,25,1,1,31,1,3600.0,119.99400329589844,111.0,30.00149917602539,88.75
airlines,OzaBagASHTExecutorMAXChunk,25,4,50,1899,3,130650.0,120.05899810791016,45.0,1088.2149658203125,66.21745788667688
elecNormNew,OzaBagExecutorMAXChunk,25,4,50,1276,2,45312.0,35.63100051879883,29.0,1271.7015380859375,78.67968715478769
airlines,OzaBagASHTExecutorMAXChunk,25,4,50,353,2,33950.0,121.1709976196289,177.0,280.18255615234375,65.03244837758112
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,50,215,2,25757.0,119.88200378417969,135.0,214.85293579101562,81.73649200606839
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,50,215,3,8600.0,120.23100280761719,698.0,71.52896881103516,65.50877192982456
airlines,OzaBagAdwinExecutorMAXChunk,25,4,50,44,2,4800.0,120.1510009765625,748.0,39.949729919433594,67.51578947368421
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,50,198,3,9600.0,122.18000030517578,635.0,78.57260131835938,64.93193717277487
GMSC,LBagExecutorMAXChunk,25,4,50,1833,3,145900.0,82.16300201416016,27.0,1775.7384033203125,93.37127185464519
airlines,OzaBagASHT,25,1,1,18,1,1798.0,119.96499633789062,125.0,14.98770523071289,73.63737486095661
GMSC,OzaBagASHTExecutorMAXChunk,25,4,50,3642,3,150000.0,41.310001373291016,10.0,3631.08203125,93.30776925641881
GMSC,OzaBagASHTExecutorMAXChunk,25,4,50,3318,2,150000.0,45.40700149536133,14.0,3303.455322265625,93.36378792930977
elecNormNew,OzaBag,25,1,1,1395,1,37864.0,39.35599899291992,3595.0,962.0896606445312,82.35527149799282
elecNormNew,LBagExecutorMAXChunk,25,4,50,600,2,45312.0,75.69599914550781,62.0,598.60498046875,81.41266404489417
