,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,methodology_x,ensemble_size,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,methodology_y,avg_times_duration,joules,JPIold,JPI,PERC,tput
1,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,50,440,391.18743896484375,45100.0,115.29000091552734,127.0,89.56048834628191,3,25,119,5.310185185185185,1147.0,438.7339149294629,45312.0,3,631.9120370370371,612.2112548616198,0.00011774246530344092,0.014011353371109469,90,391.18743726131675
182,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,50,355,354.4378662109375,42529.0,119.98999786376952,134.0,81.1224369688552,2,25,125,5.18898678414097,1177.9,354.172218520986,42529.0,2,648.6233480176212,622.6265131442033,0.00012201055242636718,0.015251319053295897,50,354.43787613268603
55,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,50,244,239.7391662597656,28750.0,119.9219970703125,163.0,90.1602787456446,3,25,124,4.691150442477876,1060.2,239.50419832067172,28752.0,3,581.7026548672567,562.572129619227,0.00016317045017314352,0.020233135821469798,10,239.7391696466107
170,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,50,197,194.80812072753903,23361.0,119.91799926757812,207.0,82.75921238900091,2,25,124,4.310185185185185,931.0,194.63282955359674,23361.0,2,534.4629629629629,516.8687838801632,0.00018450345384123904,0.022878428276313638,90,194.80812007106297
2,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,50,48,44.94269943237305,5400.0,120.15299987792967,680.0,91.1588785046729,3,25,124,3.4888392857142856,781.5,44.93372275893058,5400.0,3,432.6160714285714,419.1945062705448,0.0006460813492063492,0.0801140873015873,50,44.9426981056334
24,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,50,39,34.97406005859375,4200.0,120.08899688720705,867.0,82.0,2,25,124,3.409734513274336,770.6,34.95194108101361,4200.0,2,422.8070796460177,409.4715973508042,0.0008118415507796039,0.10066835229667088,10,34.97406181138167
150,StreamingRandomPatches,elecNormNew,1,1,147,137.9028778076172,16550.0,120.01200103759766,5170.0,91.38368580060424,1,25,125,3.9292035398230087,888.0,144.74265287927142,17371.0,1,491.1504424778761,471.5515792981713,0.0002374141111675534,0.029676763895944175,90,137.9028751867505
38,StreamingRandomPatches,elecNormNew,1,1,82,79.85601806640625,9584.0,120.01599884033205,1235.0,91.35016694490818,1,25,125,3.6065789473684213,822.3000000000001,79.86533557774037,9584.0,1,450.82236842105266,432.84717476493444,0.0003763124945083912,0.0470390618135489,50,79.85601996905802
123,StreamingRandomPatches,elecNormNew,1,1,16,15.001375198364258,1800.0,119.98899841308594,117.0,92.2777777777778,1,25,125,3.287168141592921,742.9000000000001,14.982146275688137,1800.0,1,410.8960176991151,394.4240129251396,0.0018262045231071781,0.22827556538839727,10,15.001375324453853
146,OzaBagExecutorMAXChunk,elecNormNew,4,50,3745,3542.111328125,43150.0,12.182000160217283,14.0,77.35962877030163,3,25,17,4.75,152.0,3702.868350085805,45312.0,3,80.75,57.8645007610321,0.0001100811123986095,0.0018713789107763616,90,3542.1112651857293
79,OzaBagExecutorMAXChunk,elecNormNew,4,50,2296,2209.946533203125,43726.0,19.785999298095703,21.0,79.05256891656745,2,25,26,4.485416666666667,215.3,2278.93175074184,45312.0,2,116.62083333333334,88.74845101833344,0.00010258008202594947,0.002667082132674686,50,2209.9465051638
