dataset,algorithm,ensemble_size,cores,instances,time,delay,out_rate,acc
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,94999.0,599.3209838867188,568.0,158.51104736328125,81.16142781033564
GMSC,LBagExecutorMAXChunk,25,4,84936.0,599.3880004882812,680.0,141.7045440673828,93.5256371814093
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,30815.0,599.2849731445312,666.0,51.41960906982422,79.85111662531017
airlines,OzaBagASHTExecutorMAXChunk,25,4,142987.0,599.4869995117188,281.0,238.51559448242188,67.17217146872804
airlines,OzaBagAdwinExecutorMAXChunk,25,4,31707.0,600.323974609375,2469.0,52.81648254394531,66.73913043478261
elecNormNew,LBagExecutorMAXChunk,25,4,38359.0,599.2750244140625,990.0,64.0090103149414,90.09460359760159
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,45301.0,175.28599548339844,54.0,258.44049072265625,74.74613686534217
airlines,LBagExecutorMAXChunk,25,4,16217.0,599.4829711914062,3011.0,27.05164337158203,61.10344827586207
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,7257.0,600.2839965820312,6654.0,12.089278221130371,66.54135338345864
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,33571.0,599.2780151367188,772.0,56.019073486328125,93.53338334583647
GMSC,OzaBagExecutorMAXChunk,25,4,149978.0,298.20098876953125,108.0,502.9426574707031,93.15879111704793
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,10784.0,599.2100219726562,6025.0,17.997028350830078,65.61748633879782
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,29933.0,599.2780151367188,1825.0,49.94843673706055,89.07067137809187
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,16190.0,599.6329956054688,2089.0,26.999849319458008,91.0096463022508
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,9512.0,599.2319946289062,2610.0,15.873651504516602,82.48314606741573
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,45294.0,448.2969970703125,302.0,101.03569793701172,84.32240133407448
GMSC,OzaBagASHTExecutorMAXChunk,25,4,149996.0,515.291015625,77.0,291.0898742675781,93.25792459125792
covtypeNorm,LBagExecutorMAXChunk,25,4,21077.0,599.3660278320312,2233.0,35.165489196777344,79.55061728395061
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,149983.0,594.3469848632812,132.0,252.34922790527344,93.36988133043623
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,30069.0,599.3070068359375,878.0,50.172950744628906,82.40871021775544
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,49880.0,599.4119873046875,949.0,83.21488189697266,93.44285714285714
airlines,OzaBagExecutorMAXChunk,25,4,224531.0,599.843994140625,247.0,374.315673828125,63.23619218679838
elecNormNew,OzaBagExecutorMAXChunk,25,4,45298.0,225.15699768066406,139.0,201.18406677246094,77.32075471698113
covtypeNorm,OzaBagExecutorMAXChunk,25,4,110881.0,599.3150024414062,154.0,185.0128936767578,81.24937712344281
