,index,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,joules,JPI,PERC
214,214,OzaBagExecutorMAXChunk,elecNormNew,4,50,2398,2211.9296875,43387.0,19.614999771118164,22.0,25,5.552631578947366,210.99999999999991,2375.9635047978604,45312.0,108.91486715015608,0.0025103110874260975,0
131,131,OzaBagExecutorMAXChunk,elecNormNew,4,50,1332,1327.5518798828125,45312.0,34.13199996948242,28.0,39,4.819444444444445,347.0,1321.1265963029914,45312.0,164.4972776307,0.0036303248064684856,0
207,207,OzaBagExecutorMAXChunk,elecNormNew,4,50,266,264.7966613769531,31747.0,119.89199829101562,103.0,126,4.0473913043478245,930.8999999999996,264.42171544701904,31747.0,485.24983134394085,0.015284903497777455,0
29,29,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,2000,2161,1804.7484130859373,37703.0,20.891000747680664,1104.0,27,5.4079999999999995,270.4,2151.05625445051,45312.0,112.97853204345702,0.0029965395868619743,0
12,12,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,2000,1200,1099.486328125,41521.0,37.76399993896485,1561.0,44,4.7320987654321,383.30000000000007,1194.055022662591,45312.0,178.70297748895345,0.004303917956912248,0
164,164,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,2000,240,239.8758544921875,28752.0,119.86199951171876,4779.0,126,4.2471615720524,972.5999999999997,239.50619340758203,28752.0,509.07327827553553,0.017705664937240385,0
100,100,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,500,2356,2186.851806640625,42180.0,19.288000106811523,223.0,25,5.586956521739132,257.00000000000006,2327.392264625815,45312.0,107.7612179880557,0.002554794167568888,0
21,21,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,500,1308,1303.9049072265625,45312.0,34.750999450683594,310.0,40,5.0094594594594595,370.7,1297.0002289901533,45312.0,174.0837229238974,0.00384189007159025,0
213,213,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,500,261,259.86334228515625,31148.0,119.86299896240234,1112.0,126,4.134210526315789,942.5999999999999,259.4455920570401,31148.0,495.5388720261422,0.015909171440418077,0
193,193,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,50,1994,1894.4342041015625,43159.0,22.78199958801269,25.0,29,5.422222222222219,292.79999999999984,1982.238943085874,45312.0,123.52906443277985,0.0028621855101550048,0
199,199,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,50,1108,1100.4468994140625,45312.0,41.17599868774414,34.0,46,4.817647058823531,409.5000000000001,1095.3129154681042,45312.0,198.37142897213212,0.004377900533459837,0
90,90,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,50,221,219.87335205078125,26356.0,119.86900329589844,124.0,126,4.189035087719298,955.0999999999999,219.54917281708677,26356.0,502.13546073645875,0.019052035996982044,0
47,47,OzaBagASHTExecutorMAXChunk,elecNormNew,4,2000,2354,1862.9786376953125,36438.0,19.55900001525879,1024.0,24,5.019565217391305,230.90000000000003,2328.1097466988645,45312.0,98.17767616354902,0.002694376095382541,0
178,178,OzaBagASHTExecutorMAXChunk,elecNormNew,4,2000,1308,1237.677734375,44044.0,35.58599853515625,1341.0,41,4.782666666666667,358.7,1298.4497234719317,45312.0,170.19596899414063,0.0038642259784338532,0
26,26,OzaBagASHTExecutorMAXChunk,elecNormNew,4,2000,261,259.8655090332031,31148.0,119.86199951171876,4375.0,126,4.075109170305676,933.1999999999998,259.4563976976452,31148.0,488.45073338137956,0.015681608237491318,0
58,58,OzaBagASHTExecutorMAXChunk,elecNormNew,4,500,2597,2304.170166015625,40611.0,17.625,208.0,23,5.337209302325581,229.49999999999997,2563.7659839311987,45312.0,94.06831395348837,0.0023163259696507934,0
198,198,OzaBagASHTExecutorMAXChunk,elecNormNew,4,500,1442,1439.070068359375,45312.0,31.48699951171875,284.0,36,5.132835820895522,343.9,1430.7546574044836,45312.0,161.61759898626983,0.0035667725764978336,0
92,92,OzaBagASHTExecutorMAXChunk,elecNormNew,4,500,288,284.8169250488281,34143.0,119.8769989013672,1008.0,126,4.1039301310043665,939.8,284.3685972715007,34143.0,491.9668278056982,0.014409009981715086,0
40,40,OzaBagASHTExecutorMAXChunk,elecNormNew,4,50,2431,2268.281005859375,42435.0,18.70800018310547,21.0,24,5.331818181818182,234.6,2401.5263938944245,45312.0,99.74765552173962,0.00235059869262966,0
24,24,OzaBagASHTExecutorMAXChunk,elecNormNew,4,50,1350,1349.9776611328125,45312.0,33.564998626708984,27.0,39,4.875,351.0,1344.9688334817454,45312.0,163.6293683052063,0.0036111707341367916,0
108,108,OzaBagASHTExecutorMAXChunk,elecNormNew,4,50,270,269.7748107910156,32346.0,119.9000015258789,99.0,125,4.081057268722466,926.3999999999999,269.4040727939033,32346.0,489.3187727470229,0.015127643997620196,0
133,133,LBagExecutorMAXChunk,elecNormNew,4,2000,1171,980.5562744140624,38781.0,39.54999923706055,1954.0,46,5.652941176470589,480.5,1163.9651673559556,45312.0,223.57381921655994,0.005765034919588457,0
113,113,LBagExecutorMAXChunk,elecNormNew,4,2000,650,612.6754760742188,42777.0,69.81999969482422,2721.0,76,4.895652173913043,675.5999999999999,647.2495607582099,45312.0,341.8144332885742,0.007990612555545602,0
70,70,LBagExecutorMAXChunk,elecNormNew,4,2000,130,129.98155212402344,15574.0,119.81700134277344,9413.0,126,4.205240174672488,962.9999999999998,129.77035629770356,15574.0,503.8592676554183,0.032352591990202795,0
166,166,LBagExecutorMAXChunk,elecNormNew,4,500,1142,1040.039306640625,42314.0,40.685001373291016,477.0,45,5.43855421686747,451.4,1133.5651564806244,45312.0,221.26758578197064,0.005229181495060043,0
117,117,LBagExecutorMAXChunk,elecNormNew,4,500,634,602.7315673828125,43513.0,72.19300079345703,698.0,77,4.972857142857143,696.2,627.5813354385674,45312.0,359.0054796600342,0.008250533855630139,0
159,159,LBagExecutorMAXChunk,elecNormNew,4,500,126,124.9728775024414,14975.0,119.82599639892578,2331.0,126,4.090829694323144,936.8,124.77295072405806,14975.0,490.18774422058374,0.03273373918000559,0
30,30,LBagExecutorMAXChunk,elecNormNew,4,50,1012,946.0293579101562,42612.0,45.042999267578125,49.0,51,5.617204301075269,522.4,1002.8994488833803,45312.0,253.01572921917003,0.005937663785299212,0
116,116,LBagExecutorMAXChunk,elecNormNew,4,50,562,558.73828125,45312.0,81.09700012207031,65.0,87,4.89622641509434,778.5,557.81659711194,45312.0,397.06927418258954,0.008763004815117176,0
